"dataset","layerForm","valAccuracy","learningrate","testAccuracy","nhidden","nlayers"
"planning","cone",0.829999995231629,1,0.622222244739532,256,4
"planning","cone",0.820000004768372,0.01,0.711111128330231,1024,4
"planning","cone",0.820000004768372,0.01,0.688888907432556,256,4
"planning","rect",0.81000000834465,1,0.666666686534882,512,2
"planning","rect",0.81000000834465,1,0.533333361148834,256,2
"planning","cone",0.800000011920929,0.01,0.711111128330231,1024,32
"planning","cone",0.800000011920929,0.01,0.711111128330231,512,32
"planning","rect",0.800000011920929,0.01,0.711111128330231,512,32
"planning","cone",0.800000011920929,0.01,0.711111128330231,256,32
"planning","cone",0.800000011920929,0.1,0.711111128330231,1024,32
"planning","cone",0.800000011920929,0.1,0.711111128330231,512,32
"planning","cone",0.800000011920929,0.1,0.711111128330231,256,32
"planning","rect",0.800000011920929,0.1,0.711111128330231,256,32
"planning","rect",0.800000011920929,1,0.711111128330231,512,32
"planning","cone",0.800000011920929,1,0.711111128330231,256,32
"planning","rect",0.800000011920929,1,0.711111128330231,256,32
"planning","cone",0.800000011920929,0.01,0.711111128330231,1024,16
"planning","rect",0.800000011920929,0.01,0.711111128330231,1024,16
"planning","cone",0.800000011920929,0.01,0.711111128330231,512,16
"planning","rect",0.800000011920929,0.01,0.711111128330231,512,16
"planning","cone",0.800000011920929,0.01,0.711111128330231,256,16
"planning","rect",0.800000011920929,0.01,0.711111128330231,256,16
"planning","cone",0.800000011920929,0.1,0.711111128330231,1024,16
"planning","cone",0.800000011920929,0.1,0.711111128330231,512,16
"planning","cone",0.800000011920929,0.1,0.711111128330231,256,16
"planning","cone",0.800000011920929,1,0.711111128330231,1024,16
"planning","cone",0.800000011920929,0.01,0.711111128330231,1024,8
"planning","rect",0.800000011920929,0.01,0.711111128330231,1024,8
"planning","cone",0.800000011920929,0.01,0.711111128330231,512,8
"planning","rect",0.800000011920929,0.01,0.711111128330231,512,8
"planning","cone",0.800000011920929,0.01,0.711111128330231,256,8
"planning","rect",0.800000011920929,0.01,0.711111128330231,256,8
"planning","cone",0.800000011920929,0.1,0.711111128330231,1024,8
"planning","rect",0.800000011920929,0.1,0.711111128330231,1024,8
"planning","cone",0.800000011920929,0.1,0.711111128330231,512,8
"planning","rect",0.800000011920929,0.1,0.711111128330231,512,8
"planning","cone",0.800000011920929,0.1,0.711111128330231,256,8
"planning","rect",0.800000011920929,0.1,0.711111128330231,256,8
"planning","cone",0.800000011920929,1,0.711111128330231,512,8
"planning","cone",0.800000011920929,1,0.711111128330231,256,8
"planning","rect",0.800000011920929,0.01,0.711111128330231,1024,4
"planning","cone",0.800000011920929,0.01,0.711111128330231,512,4
"planning","rect",0.800000011920929,0.01,0.711111128330231,512,4
"planning","rect",0.800000011920929,0.01,0.711111128330231,256,4
"planning","cone",0.800000011920929,0.1,0.711111128330231,1024,4
"planning","rect",0.800000011920929,0.1,0.711111128330231,1024,4
"planning","cone",0.800000011920929,0.1,0.711111128330231,512,4
