"dataset","learningrate","layerForm","testAccuracy","valAccuracy","nlayers","nhidden"
"hill-valley",0.01,"cone",0.504950523376465,0.615254265069962,3,1024
"hill-valley",0.1,"cone",0.516501605510712,0.61186443567276,2,512
"hill-valley",0.1,"cone",0.506600677967072,0.610169529914856,32,1024
"hill-valley",0.1,"cone",0.506600677967072,0.610169529914856,32,512
"hill-valley",1,"rect",0.506600677967072,0.610169529914856,32,1024
"hill-valley",1,"rect",0.506600677967072,0.610169529914856,32,256
"hill-valley",0.01,"cone",0.506600677967072,0.610169529914856,16,1024
"hill-valley",1,"cone",0.506600677967072,0.610169529914856,16,1024
"hill-valley",0.01,"cone",0.501650154590607,0.600000023841858,8,1024
"hill-valley",0.1,"cone",0.506600677967072,0.593220376968384,8,256
"hill-valley",0.01,"cone",0.490099012851715,0.593220353126526,8,512
"hill-valley",0.01,"rect",0.495049476623535,0.593220353126526,8,256
"hill-valley",0.01,"cone",0.488448858261108,0.586440688371658,4,1024
"hill-valley",0.01,"cone",0.503300309181213,0.58474577665329,3,256
"hill-valley",0.01,"cone",0.511551201343536,0.572881358861923,2,1024
"hill-valley",0.01,"cone",0.488448858261108,0.571186459064484,3,512
"hill-valley",1,"cone",0.506600677967072,0.566101723909378,32,1024
"hill-valley",0.01,"cone",0.490099042654037,0.555932223796844,4,256
"hill-valley",0.01,"rect",0.51980197429657,0.552542391419411,4,512
"hill-valley",1,"rect",0.493399322032928,0.544067820906639,16,1024
"hill-valley",0.1,"cone",0.508250832557678,0.538983044028282,2,1024
"hill-valley",0.1,"cone",0.508250832557678,0.533898293972015,3,1024
"hill-valley",0.01,"rect",0.503300309181213,0.528813588619232,4,256
"hill-valley",0.1,"cone",0.508250832557678,0.52372881770134,2,256
"hill-valley",1,"rect",0.493399322032928,0.5220339179039,8,1024
"hill-valley",0.1,"rect",0.493399322032928,0.516949164867401,8,512
"hill-valley",0.1,"cone",0.486798644065857,0.515254259109497,3,256
"hill-valley",1,"cone",0.516501665115356,0.515254244208336,3,256
"hill-valley",1,"rect",0.496699661016464,0.515254244208336,2,256
"hill-valley",1,"rect",0.493399322032928,0.513559326529503,2,512
"hill-valley",0.01,"rect",0.498349815607071,0.510169497132301,3,1024
"hill-valley",0.1,"rect",0.506600677967072,0.500000014901161,32,512
"hill-valley",1,"rect",0.506600677967072,0.500000014901161,16,512
"hill-valley",1,"cone",0.506600677967072,0.500000014901161,16,256
"hill-valley",1,"cone",0.488448858261108,0.49830510020256,8,512
"hill-valley",0.01,"rect",0.546204626560211,0.496610176563263,2,1024
"hill-valley",1,"cone",0.508250832557678,0.494915252923966,4,256
"hill-valley",1,"rect",0.493399381637573,0.493220338225365,2,1024
"hill-valley",1,"cone",0.478547871112823,0.49152544438839,2,512
"hill-valley",0.1,"rect",0.501650214195251,0.491525438427925,8,1024
"hill-valley",0.1,"rect",0.50495046377182,0.491525435447693,3,256
"hill-valley",1,"rect",0.493399322032928,0.488135609030724,3,512
"hill-valley",0.1,"cone",0.490099012851715,0.484745773673058,8,1024
"hill-valley",0.1,"rect",0.483498364686966,0.483050864934921,4,256
"hill-valley",1,"cone",0.496699690818787,0.481355941295624,3,1024
"hill-valley",0.01,"rect",0.513201355934143,0.481355929374695,3,512
"hill-valley",1,"cone",0.493399322032928,0.477966111898422,16,512
"hill-valley",0.1,"rect",0.493399322032928,0.477966111898422,32,256
"hill-valley",1,"rect",0.506600677967072,0.477966111898422,16,256
"hill-valley",0.1,"cone",0.501650214195251,0.477966088056564,16,256
"hill-valley",0.1,"rect",0.493399322032928,0.476271194219589,16,512
"hill-valley",1,"cone",0.503300309181213,0.476271194219589,2,1024
