"dataset","layerForm","valAccuracy","testAccuracy","nhidden","nlayers","learningrate"
"ecoli","rect",0.743902409076691,0.726190447807312,512,3,1
"ecoli","rect",0.743902397155762,0.702380955219269,256,16,0.1
"ecoli","rect",0.736585342884064,0.726190507411957,1024,4,0.01
"ecoli","cone",0.729268193244934,0.714285731315613,1024,3,0.01
"ecoli","rect",0.726829248666763,0.761904835700989,1024,3,1
"ecoli","cone",0.714634126424789,0.761904835700989,1024,4,0.01
"ecoli","rect",0.7121950507164,0.63095235824585,512,16,0.1
"ecoli","rect",0.709756076335907,0.761904835700989,256,4,0.01
"ecoli","rect",0.704878008365631,0.785714328289032,256,4,1
"ecoli","cone",0.697560918331146,0.761904835700989,512,4,1
"ecoli","cone",0.692682898044586,0.666666686534882,512,4,0.01
"ecoli","cone",0.682926833629608,0.761904776096344,512,3,0.1
"ecoli","rect",0.680487775802612,0.702380955219269,256,8,0.1
"ecoli","rect",0.675609731674194,0.809523820877075,1024,4,1
"ecoli","cone",0.660975581407547,0.714285731315613,512,16,0.1
"ecoli","cone",0.64878049492836,0.714285731315613,256,8,0.1
"ecoli","cone",0.634146332740784,0.666666746139526,512,4,0.1
"ecoli","rect",0.629268282651901,0.595238089561462,256,8,1
"ecoli","cone",0.621951222419739,0.678571462631226,1024,4,0.1
"ecoli","cone",0.612195122241974,0.630952417850494,256,4,0.1
"ecoli","cone",0.609756058454514,0.69047623872757,256,4,0.01
"ecoli","cone",0.607317033410072,0.642857193946838,256,8,1
"ecoli","rect",0.59756096303463,0.630952417850494,1024,8,1
"ecoli","rect",0.575609746575356,0.595238149166107,512,8,0.01
"ecoli","cone",0.575609731674194,0.547619044780731,256,16,0.1
"ecoli","cone",0.57560972571373,0.571428596973419,512,8,0.1
"ecoli","cone",0.556097513437271,0.583333373069763,1024,8,0.1
"ecoli","rect",0.507317048311233,0.523809552192688,256,8,0.01
"ecoli","rect",0.475609743595123,0.452380955219269,1024,8,0.01
"ecoli","rect",0.460975605249405,0.452380955219269,512,8,1
"ecoli","cone",0.439024388790131,0.452380955219269,512,32,0.01
"ecoli","cone",0.439024388790131,0.452380955219269,256,32,0.01
"ecoli","cone",0.439024388790131,0.452380955219269,512,32,1
"ecoli","rect",0.439024388790131,0.452380955219269,512,32,1
"ecoli","cone",0.439024388790131,0.452380955219269,256,32,1
"ecoli","rect",0.439024388790131,0.452380955219269,256,32,1
"ecoli","cone",0.439024388790131,0.452380955219269,1024,16,0.01
"ecoli","rect",0.439024388790131,0.452380955219269,1024,16,0.01
"ecoli","cone",0.439024388790131,0.452380955219269,512,16,0.01
"ecoli","rect",0.439024388790131,0.452380955219269,512,16,0.01
"ecoli","cone",0.439024388790131,0.452380955219269,256,16,0.01
"ecoli","rect",0.439024388790131,0.452380955219269,256,16,0.01
"ecoli","cone",0.439024388790131,0.452380955219269,1024,16,0.1
"ecoli","cone",0.439024388790131,0.452380955219269,1024,16,1
"ecoli","cone",0.439024388790131,0.452380955219269,1024,8,0.01
"ecoli","cone",0.439024388790131,0.452380955219269,512,8,0.01
"ecoli","cone",0.439024388790131,0.452380955219269,256,8,0.01
"ecoli","cone",0.414634144306183,0.452380955219269,1024,32,1
