"dataset","layerForm","testAccuracy","valAccuracy","nhidden","learningrate","nlayers"
"car","rect",0.96064817905426,0.983333349227905,512,1,3
"car","cone",0.951388895511627,0.979166692495346,512,1,8
"car","rect",0.946759283542633,0.960833370685577,1024,1,3
"car","rect",0.942129671573639,0.954166710376739,1024,1,4
"car","cone",0.962962985038757,0.950000041723251,256,1,4
"car","rect",0.958333373069763,0.942500054836273,512,1,4
"car","rect",0.898148238658905,0.935833394527435,256,1,4
"car","rect",0.89814817905426,0.898333311080933,512,0.1,4
"car","rect",0.870370388031006,0.898333311080933,512,0.01,3
"car","rect",0.881944417953491,0.895833313465119,1024,0.1,4
"car","rect",0.851851940155029,0.894166648387909,512,0.01,4
"car","cone",0.798611104488373,0.865833359956741,256,1,8
"car","rect",0.814814805984497,0.832500040531159,256,0.01,3
"car","rect",0.787037014961243,0.805833387374878,1024,0.1,8
"car","rect",0.740740716457367,0.781666654348374,1024,1,2
"car","cone",0.754629611968994,0.780000025033951,1024,1,3
"car","rect",0.740740716457367,0.77749999165535,256,1,3
"car","cone",0.738425970077515,0.776666676998138,1024,1,4
"car","rect",0.731481492519379,0.775833320617676,512,1,2
"car","cone",0.73842591047287,0.774999976158142,1024,1,8
"car","rect",0.72685182094574,0.774166709184647,1024,0.01,3
"car","rect",0.736111104488373,0.774166643619537,1024,1,8
"car","rect",0.72222226858139,0.773333352804184,256,0.01,2
"car","rect",0.724537074565887,0.773333311080933,512,1,8
"car","rect",0.726851880550385,0.768333345651627,512,0.01,2
"car","rect",0.73842591047287,0.764166676998138,1024,0.01,2
"car","cone",0.73842591047287,0.762499994039535,512,1,4
"car","rect",0.717592656612396,0.758333349227905,1024,0.1,3
"car","rect",0.703703701496124,0.757500004768372,256,1,8
"car","cone",0.724537014961243,0.754166674613952,1024,1,2
"car","rect",0.708333373069763,0.750833332538605,256,1,2
"car","cone",0.701388835906982,0.750000017881393,1024,0.1,3
"car","cone",0.717592656612396,0.750000011920929,256,0.01,2
"car","cone",0.729166686534882,0.750000011920929,512,1,2
"car","rect",0.715277850627899,0.749166667461395,1024,0.1,2
"car","cone",0.719907402992249,0.749166667461395,512,0.01,2
"car","rect",0.72222226858139,0.747500002384186,512,0.1,3
"car","cone",0.701388835906982,0.74416669011116,512,0.01,3
"car","cone",0.701388895511627,0.740833348035812,1024,0.1,2
"car","rect",0.717592597007751,0.739166676998138,1024,0.1,16
"car","rect",0.706018567085266,0.739166676998138,512,0.1,2
"car","cone",0.701388955116272,0.737500017881393,256,0.01,3
"car","cone",0.701388955116272,0.737500011920929,512,1,3
"car","rect",0.701388955116272,0.736666679382324,1024,0.01,4
"car","cone",0.701388955116272,0.735833346843719,1024,0.01,2
"car","cone",0.701388835906982,0.735833346843719,256,0.1,2
"car","rect",0.701388955116272,0.735000020265579,256,0.01,4
"car","cone",0.703703761100769,0.735000014305115,1024,0.01,3
"car","cone",0.701388835906982,0.733333349227905,1024,0.01,32
"car","cone",0.701388835906982,0.733333349227905,512,0.01,32
"car","rect",0.701388955116272,0.733333349227905,512,0.01,32
"car","cone",0.701388955116272,0.733333349227905,256,0.01,32
"car","rect",0.701388955116272,0.733333349227905,256,0.01,32
"car","rect",0.701388835906982,0.733333349227905,1024,0.1,32
"car","cone",0.701388955116272,0.733333349227905,256,0.1,32
"car","cone",0.701388835906982,0.733333349227905,1024,1,32
"car","rect",0.701388955116272,0.733333349227905,1024,1,32
"car","cone",0.701388955116272,0.733333349227905,512,1,32
"car","cone",0.701388955116272,0.733333349227905,256,1,32
"car","rect",0.701388955116272,0.733333349227905,256,1,32
"car","cone",0.701388835906982,0.733333349227905,1024,0.01,16
"car","rect",0.701388955116272,0.733333349227905,1024,0.01,16
"car","cone",0.701388835906982,0.733333349227905,512,0.01,16
"car","rect",0.701388955116272,0.733333349227905,512,0.01,16
"car","cone",0.701388835906982,0.733333349227905,256,0.01,16
"car","rect",0.701388955116272,0.733333349227905,256,0.01,16
"car","cone",0.701388955116272,0.733333349227905,1024,0.1,16
"car","cone",0.701388955116272,0.733333349227905,512,0.1,16
"car","rect",0.701388955116272,0.733333349227905,512,0.1,16
"car","cone",0.701388955116272,0.733333349227905,256,0.1,16
"car","rect",0.701388955116272,0.733333349227905,256,0.1,16
"car","rect",0.701388955116272,0.733333349227905,1024,1,16
"car","rect",0.701388955116272,0.733333349227905,512,1,16
"car","rect",0.701388955116272,0.733333349227905,256,1,16
"car","cone",0.701388955116272,0.733333349227905,1024,0.01,8
"car","rect",0.701388955116272,0.733333349227905,1024,0.01,8
"car","cone",0.701388955116272,0.733333349227905,512,0.01,8
"car","rect",0.701388835906982,0.733333349227905,512,0.01,8
"car","cone",0.701388955116272,0.733333349227905,256,0.01,8
"car","rect",0.701388835906982,0.733333349227905,256,0.01,8
"car","cone",0.701388835906982,0.733333349227905,1024,0.1,8
"car","cone",0.701388835906982,0.733333349227905,512,0.1,8
"car","rect",0.701388955116272,0.733333349227905,512,0.1,8
"car","cone",0.701388835906982,0.733333349227905,256,0.1,8
"car","rect",0.701388835906982,0.733333349227905,256,0.1,8
"car","cone",0.701388955116272,0.733333349227905,1024,0.01,4
"car","cone",0.701388955116272,0.733333349227905,512,0.01,4
"car","cone",0.701388835906982,0.733333349227905,256,0.01,4
"car","cone",0.701388955116272,0.733333349227905,1024,0.1,4
"car","cone",0.701388835906982,0.733333349227905,512,0.1,4
"car","cone",0.701388955116272,0.733333349227905,256,0.1,4
"car","rect",0.701388835906982,0.733333349227905,256,0.1,4
"car","cone",0.701388835906982,0.733333349227905,512,0.1,3
"car","cone",0.701388955116272,0.733333349227905,256,0.1,3
"car","rect",0.701388955116272,0.733333349227905,256,0.1,3
"car","cone",0.701388955116272,0.733333349227905,256,1,3
"car","cone",0.701388955116272,0.733333349227905,512,0.1,2
"car","rect",0.701388955116272,0.733333349227905,256,0.1,2
"car","cone",0.701388955116272,0.733333349227905,256,1,2
"car","rect",0.567129611968994,0.613333404064178,1024,0.01,32
"car","cone",0.430555552244186,0.389166699722409,256,1,16
"car","rect",0.701388955116272,0.34500000923872,512,1,32
"car","rect",0.0370370373129845,0.131666673719883,512,0.1,32
"car","rect",0.0370370373129845,0.0716666698455811,256,0.1,32
"car","cone",0.0393518507480621,0.0691666696220636,1024,1,16
"car","cone",0.0370370373129845,0.0533333364874124,512,1,16
"car","cone",0.0370370373129845,0.0416666679084301,1024,0.1,32
"car","cone",0.0393518507480621,0.0333333350718021,512,0.1,32
