"dataset","nlayers","valAccuracy","nhidden","testAccuracy","learningrate","layerForm"
"spambase",3,0.955389243364334,1024,0.942608714103699,0.01,"rect"
"spambase",8,0.95179643034935,256,0.939999938011169,0.1,"cone"
"spambase",8,0.95149701833725,256,0.928695678710938,1,"cone"
"spambase",4,0.950598812103272,512,0.938260972499847,1,"cone"
"spambase",2,0.950598800182343,1024,0.944347858428955,0.1,"rect"
"spambase",4,0.950000023841858,512,0.930434823036194,0.1,"rect"
"spambase",8,0.949401211738587,512,0.936521828174591,1,"cone"
"spambase",4,0.94910181760788,512,0.93478262424469,0.01,"rect"
"spambase",2,0.947005993127823,256,0.942608714103699,0.1,"rect"
"spambase",3,0.946706581115723,512,0.939130485057831,0.1,"rect"
"spambase",3,0.945808386802674,256,0.944347858428955,0.01,"rect"
"spambase",3,0.945509004592896,512,0.942608714103699,1,"cone"
"spambase",3,0.944610816240311,256,0.940000057220459,0.1,"rect"
"spambase",2,0.944311386346817,256,0.933912992477417,1,"cone"
"spambase",2,0.943413174152374,512,0.939130485057831,0.01,"cone"
"spambase",3,0.943113785982132,512,0.920000016689301,0.01,"rect"
"spambase",8,0.942814391851425,512,0.933043539524078,0.1,"cone"
"spambase",2,0.941916209459305,256,0.939130485057831,0.1,"cone"
"spambase",4,0.941916167736054,256,0.935652256011963,1,"cone"
"spambase",4,0.941616767644882,512,0.937391400337219,0.01,"cone"
"spambase",8,0.941616761684418,1024,0.935652196407318,0.1,"cone"
"spambase",4,0.941018003225327,1024,0.925217390060425,0.01,"rect"
"spambase",3,0.940718573331833,512,0.937391340732574,0.1,"cone"
"spambase",3,0.940119785070419,1024,0.938260912895203,0.01,"cone"
"spambase",16,0.940119779109955,512,0.934782683849335,1,"cone"
"spambase",3,0.93862276673317,1024,0.916521906852722,0.1,"cone"
"spambase",8,0.938622754812241,256,0.924347877502441,0.1,"rect"
"spambase",16,0.938323360681534,512,0.939999938011169,1,"rect"
"spambase",2,0.938023996353149,1024,0.936521828174591,1,"cone"
"spambase",3,0.93712574839592,1024,0.933043599128723,1,"cone"
"spambase",3,0.935928136110306,256,0.93478262424469,0.1,"cone"
"spambase",4,0.935628771781921,256,0.936521768569946,0.1,"cone"
"spambase",2,0.934431183338165,512,0.933913052082062,1,"cone"
"spambase",3,0.934131783246994,256,0.939130485057831,0.01,"cone"
"spambase",16,0.934131753444672,1024,0.921739220619202,1,"cone"
"spambase",4,0.933233547210693,256,0.933043539524078,0.1,"rect"
"spambase",4,0.932335358858109,1024,0.932173907756805,1,"rect"
"spambase",4,0.932035946846008,512,0.921739161014557,0.1,"cone"
"spambase",16,0.931736576557159,512,0.91565215587616,0.1,"cone"
"spambase",8,0.930538958311081,256,0.924347817897797,0.01,"cone"
"spambase",16,0.928143739700318,1024,0.920000016689301,0.1,"cone"
"spambase",8,0.926646733283997,1024,0.91043484210968,0.01,"cone"
"spambase",8,0.925748538970947,1024,0.911304414272308,1,"cone"
"spambase",2,0.923652702569962,1024,0.933043599128723,0.01,"cone"
"spambase",3,0.923353326320648,512,0.908695757389069,1,"rect"
"spambase",4,0.922754544019699,256,0.935652256011963,0.01,"cone"
"spambase",8,0.922155702114105,512,0.93739128112793,0.01,"cone"
"spambase",3,0.921856337785721,1024,0.93217396736145,0.1,"rect"
"spambase",2,0.921556907892227,1024,0.922608733177185,1,"rect"
"spambase",4,0.920658719539642,1024,0.910434901714325,1,"cone"
"spambase",4,0.919461131095886,512,0.933043479919434,1,"rect"
"spambase",8,0.917365294694901,1024,0.908695697784424,1,"rect"
"spambase",4,0.917365252971649,256,0.917391359806061,0.01,"rect"
"spambase",8,0.915568917989731,512,0.889565229415894,0.01,"rect"
"spambase",4,0.911377286911011,1024,0.906087040901184,0.1,"rect"
"spambase",4,0.909281468391419,256,0.921739161014557,1,"rect"
"spambase",8,0.906886267662048,256,0.906086981296539,1,"rect"
"spambase",16,0.903892254829407,1024,0.893043518066406,0.1,"rect"
"spambase",2,0.897006022930145,512,0.899130463600159,1,"rect"
"spambase",8,0.897006011009216,512,0.86956524848938,1,"rect"
"spambase",3,0.879640734195709,256,0.849565267562866,1,"rect"
"spambase",2,0.8670658826828,256,0.843478322029114,0.01,"rect"
"spambase",3,0.862574875354767,256,0.841739118099213,1,"cone"
"spambase",2,0.852994042634964,256,0.809565246105194,0.01,"cone"
"spambase",2,0.851796436309815,256,0.793913066387177,1,"rect"
"spambase",2,0.845808392763138,512,0.824347853660583,0.01,"rect"
"spambase",2,0.820059937238693,1024,0.800869643688202,0.01,"rect"
"spambase",2,0.813772481679916,512,0.784347891807556,0.1,"cone"
"spambase",16,0.81077846288681,1024,0.817391335964203,1,"rect"
"spambase",2,0.810479074716568,512,0.792173862457275,0.1,"rect"
"spambase",2,0.802994048595428,1024,0.773913025856018,0.1,"cone"
"spambase",3,0.776646763086319,1024,0.760000050067902,1,"rect"
"spambase",3,0.735329413414001,512,0.755652129650116,0.01,"cone"
"spambase",4,0.732335352897644,1024,0.71739137172699,0.1,"cone"
"spambase",4,0.676347327232361,1024,0.634782612323761,0.01,"cone"
"spambase",8,0.616766464710236,1024,0.617391347885132,0.1,"rect"
"spambase",8,0.612275457382202,512,0.611304402351379,0.1,"rect"
"spambase",32,0.607784450054169,256,0.60608696937561,0.01,"rect"
"spambase",16,0.607185658812523,256,0.607826113700867,1,"rect"
"spambase",8,0.60568864941597,1024,0.606956541538239,0.01,"rect"
"spambase",32,0.605389243364334,1024,0.60608696937561,0.01,"rect"
"spambase",32,0.604790449142456,1024,0.60608696937561,0.01,"cone"
"spambase",32,0.604790449142456,512,0.60608696937561,0.01,"cone"
"spambase",32,0.604790449142456,256,0.60608696937561,0.01,"cone"
"spambase",32,0.604790449142456,1024,0.60608696937561,0.1,"cone"
"spambase",32,0.604790449142456,1024,0.60608696937561,0.1,"rect"
"spambase",32,0.604790449142456,512,0.60608696937561,0.1,"cone"
"spambase",32,0.604790449142456,512,0.60608696937561,0.1,"rect"
"spambase",32,0.604790449142456,256,0.60608696937561,0.1,"rect"
"spambase",32,0.604790449142456,1024,0.60608696937561,1,"cone"
"spambase",32,0.604790449142456,1024,0.60608696937561,1,"rect"
"spambase",32,0.604790449142456,512,0.60608696937561,1,"cone"
"spambase",32,0.604790449142456,512,0.60608696937561,1,"rect"
"spambase",32,0.604790449142456,256,0.60608696937561,1,"cone"
"spambase",16,0.604790449142456,1024,0.60608696937561,0.01,"cone"
"spambase",16,0.604790449142456,1024,0.60608696937561,0.01,"rect"
"spambase",16,0.604790449142456,512,0.60608696937561,0.01,"cone"
"spambase",16,0.604790449142456,512,0.60608696937561,0.01,"rect"
"spambase",16,0.604790449142456,256,0.60608696937561,0.01,"cone"
"spambase",16,0.604790449142456,256,0.60608696937561,0.01,"rect"
"spambase",16,0.604790449142456,512,0.60608696937561,0.1,"rect"
"spambase",16,0.604790449142456,256,0.60608696937561,0.1,"cone"
"spambase",16,0.604790449142456,256,0.60608696937561,0.1,"rect"
"spambase",8,0.604790449142456,256,0.60608696937561,0.01,"rect"
