"dataset","layerForm","nhidden","testAccuracy","learningrate","nlayers","valAccuracy"
"primary-tumor","cone",1024,0.304878056049347,0.1,8,0.421052634716034
"primary-tumor","cone",512,0.304878056049347,0.1,8,0.421052634716034
"primary-tumor","rect",512,0.329268276691437,0.1,8,0.421052634716034
"primary-tumor","cone",256,0.304878056049347,0.1,8,0.421052634716034
"primary-tumor","rect",256,0.304878056049347,0.1,8,0.421052634716034
"primary-tumor","rect",256,0.304878056049347,1,8,0.421052634716034
"primary-tumor","cone",256,0.329268306493759,0.01,4,0.421052634716034
"primary-tumor","rect",256,0.451219469308853,0.1,3,0.421052634716034
"primary-tumor","cone",1024,0.48780483007431,1,3,0.421052634716034
"primary-tumor","cone",256,0.487804859876633,1,3,0.421052634716034
"primary-tumor","rect",256,0.475609719753265,0.01,2,0.421052634716034
"primary-tumor","rect",1024,0.487804859876633,0.1,2,0.421052634716034
"primary-tumor","cone",512,0.439024388790131,1,4,0.421052631735802
"primary-tumor","cone",512,0.353658497333527,0.01,4,0.415789476037026
"primary-tumor","rect",512,0.475609719753265,0.1,3,0.410526314377785
"primary-tumor","rect",1024,0.451219499111176,0.1,8,0.410526314377785
"primary-tumor","rect",1024,0.353658497333527,0.01,8,0.405263158679008
"primary-tumor","rect",1024,0.439024358987808,0.01,4,0.4
"primary-tumor","cone",256,0.414634138345718,0.1,2,0.4
"primary-tumor","rect",1024,0.52439022064209,1,2,0.394736847281456
"primary-tumor","rect",512,0.304878056049347,1,16,0.389473687112331
"primary-tumor","cone",1024,0.451219469308853,1,4,0.389473682641983
"primary-tumor","rect",512,0.439024358987808,1,2,0.384210523962975
"primary-tumor","rect",256,0.365853667259216,1,3,0.378947365283966
"primary-tumor","cone",256,0.317073166370392,1,4,0.37368420958519
"primary-tumor","cone",512,0.268292665481567,0.1,16,0.373684206604958
"primary-tumor","rect",256,0.280487775802612,0.1,16,0.373684206604958
"primary-tumor","rect",1024,0.317073166370392,1,4,0.368421050906181
"primary-tumor","rect",512,0.378048777580261,0.01,4,0.368421047925949
"primary-tumor","cone",256,0.402438998222351,0.01,3,0.368421047925949
"primary-tumor","cone",1024,0.475609749555588,0.1,3,0.368421047925949
"primary-tumor","rect",1024,0.512195110321045,0.01,2,0.368421047925949
"primary-tumor","rect",512,0.109756089746952,1,8,0.363157896697521
"primary-tumor","cone",256,0.414634138345718,0.01,2,0.363157889246941
"primary-tumor","rect",1024,0.0853658467531204,1,32,0.357894739508629
"primary-tumor","rect",512,0.451219499111176,0.01,2,0.357894730567932
"primary-tumor","cone",1024,0.195121943950653,0.01,32,0.352631577849388
"primary-tumor","rect",512,0.426829248666763,1,3,0.347368425130844
"primary-tumor","rect",256,0.487804889678955,1,2,0.347368413209915
"primary-tumor","rect",512,0.5,1,4,0.336842101812363
"primary-tumor","rect",1024,0.304878056049347,1,8,0.315789476037025
"primary-tumor","rect",256,0.426829248666763,0.01,4,0.315789461135864
"primary-tumor","cone",1024,0.46341460943222,0.01,2,0.315789461135864
"primary-tumor","rect",1024,0.365853667259216,1,3,0.29999999627471
"primary-tumor","cone",1024,0.475609719753265,1,8,0.294736841320992
"primary-tumor","cone",512,0.487804889678955,1,3,0.289473682641983
"primary-tumor","cone",256,0.451219528913498,1,8,0.278947368264198
"primary-tumor","cone",512,0.304878056049347,1,32,0.263157896697521
"primary-tumor","rect",256,0.353658497333527,1,4,0.242105260491371
"primary-tumor","rect",1024,0.0365853644907475,0.1,32,0.231578949093819
"primary-tumor","rect",256,0.304878056049347,0.1,32,0.231578949093819
"primary-tumor","rect",1024,0.109756097197533,1,16,0.221052633225918
"primary-tumor","cone",512,0.0853658467531204,1,16,0.205263160914183
"primary-tumor","rect",1024,0.207317069172859,0.1,16,0.2
"primary-tumor","cone",256,0.109756097197533,1,32,0.194736843556166
"primary-tumor","cone",1024,0.109756097197533,1,16,0.168421053886414
"primary-tumor","cone",512,0.29268291592598,1,8,0.157894738763571
"primary-tumor","rect",256,0.304878056049347,1,16,0.142105264216661
"primary-tumor","cone",256,0.256097555160522,1,16,0.121052628755569
"primary-tumor","rect",256,0.109756097197533,1,32,0.105263158679008
"primary-tumor","rect",1024,0.0853658467531204,0.01,32,0.0947368428111076
"primary-tumor","cone",256,0.0853658467531204,0.1,32,0.0947368428111076
"primary-tumor","rect",512,0.0731707289814949,0.1,16,0.0947368428111076
"primary-tumor","rect",512,0.109756097197533,1,32,0.0789473690092564
"primary-tumor","rect",256,0.0853658467531204,0.01,32,0.0421052634716034
"primary-tumor","cone",1024,0.0121951214969158,0.1,32,0.0315789476037025
"primary-tumor","cone",512,0.0243902429938316,0.1,32,0
