"dataset","layerForm","nhidden","testAccuracy","learningrate","nlayers","valAccuracy"
"primary-tumor","cone",1024,0.512195110321045,0.1,2,0.552631586790085
"primary-tumor","cone",512,0.426829248666763,0.1,2,0.547368431091309
"primary-tumor","rect",1024,0.451219469308853,0.1,4,0.531578958034515
"primary-tumor","cone",512,0.499999940395355,0.01,2,0.526315808296204
"primary-tumor","cone",1024,0.439024388790131,1,2,0.526315808296204
"primary-tumor","cone",1024,0.365853667259216,0.01,3,0.515789490938187
"primary-tumor","rect",1024,0.48780483007431,0.1,3,0.515789487957954
"primary-tumor","cone",256,0.353658497333527,0.1,3,0.510526329278946
"primary-tumor","rect",512,0.475609719753265,0.01,3,0.478947374224663
"primary-tumor","cone",1024,0.353658497333527,0.1,16,0.473684221506119
"primary-tumor","rect",256,0.353658497333527,0.1,4,0.473684221506119
"primary-tumor","rect",256,0.46341460943222,0.01,3,0.473684191703796
"primary-tumor","cone",256,0.439024329185486,1,2,0.46842106282711
"primary-tumor","cone",1024,0.426829248666763,0.1,4,0.46842106282711
"primary-tumor","cone",512,0.365853667259216,0.1,3,0.46842106282711
"primary-tumor","cone",512,0.195121943950653,0.01,32,0.457894745469093
"primary-tumor","cone",1024,0.414634108543396,0.01,4,0.457894745469093
"primary-tumor","cone",512,0.341463416814804,0.1,4,0.457894745469093
"primary-tumor","cone",256,0.353658527135849,0.1,4,0.457894745469093
"primary-tumor","rect",256,0.487804859876633,0.1,2,0.457894745469093
"primary-tumor","rect",1024,0.451219499111176,0.01,3,0.447368413209915
"primary-tumor","cone",512,0.5,0.01,3,0.447368413209915
"primary-tumor","rect",512,0.47560977935791,0.1,2,0.442105269432068
"primary-tumor","rect",512,0.365853607654572,0.1,4,0.442105263471603
"primary-tumor","rect",1024,0.29268291592598,0.01,16,0.431578952074051
"primary-tumor","cone",256,0.280487775802612,0.01,32,0.426315793395042
"primary-tumor","cone",1024,0.304878056049347,0.01,8,0.426315793395042
"primary-tumor","cone",512,0.402438998222351,1,2,0.421052634716034
"primary-tumor","rect",512,0.304878056049347,0.01,32,0.421052634716034
"primary-tumor","rect",512,0.304878056049347,0.1,32,0.421052634716034
"primary-tumor","cone",1024,0.304878056049347,1,32,0.421052634716034
"primary-tumor","cone",1024,0.304878056049347,0.01,16,0.421052634716034
"primary-tumor","cone",512,0.304878056049347,0.01,16,0.421052634716034
"primary-tumor","rect",512,0.304878056049347,0.01,16,0.421052634716034
"primary-tumor","cone",256,0.304878056049347,0.01,16,0.421052634716034
"primary-tumor","rect",256,0.304878056049347,0.01,16,0.421052634716034
"primary-tumor","cone",256,0.304878056049347,0.1,16,0.421052634716034
"primary-tumor","cone",512,0.304878056049347,0.01,8,0.421052634716034
"primary-tumor","rect",512,0.304878056049347,0.01,8,0.421052634716034
"primary-tumor","cone",256,0.304878056049347,0.01,8,0.421052634716034
"primary-tumor","rect",256,0.304878056049347,0.01,8,0.421052634716034
