"dataset","learningrate","nlayers","nhidden","valAccuracy","layerForm","testAccuracy"
"conn-bench-vowel-deterding",0.1,2,256,0.97027028799057,"rect",0.961039006710052
"conn-bench-vowel-deterding",0.1,2,512,0.962162184715271,"rect",0.935064911842346
"conn-bench-vowel-deterding",0.1,3,512,0.945945978164673,"rect",0.896103918552399
"conn-bench-vowel-deterding",0.1,3,1024,0.918918907642364,"rect",0.904761910438538
"conn-bench-vowel-deterding",0.1,4,512,0.878378450870514,"rect",0.720779180526733
"conn-bench-vowel-deterding",0.1,2,1024,0.872973048686981,"rect",0.902597367763519
"conn-bench-vowel-deterding",0.1,3,256,0.845945978164673,"rect",0.88095235824585
"conn-bench-vowel-deterding",0.01,2,512,0.837837934494019,"rect",0.833333373069763
"conn-bench-vowel-deterding",1,2,512,0.837837874889374,"rect",0.7965367436409
"conn-bench-vowel-deterding",0.01,3,512,0.835135161876679,"rect",0.813852846622467
"conn-bench-vowel-deterding",0.1,2,1024,0.824324363470078,"cone",0.850649356842041
"conn-bench-vowel-deterding",0.1,4,1024,0.821621668338776,"rect",0.848484814167023
"conn-bench-vowel-deterding",0.01,2,1024,0.81081086397171,"rect",0.88744592666626
"conn-bench-vowel-deterding",0.01,3,1024,0.791891956329346,"rect",0.80952388048172
"conn-bench-vowel-deterding",0.1,3,1024,0.73783785700798,"cone",0.757575750350952
"conn-bench-vowel-deterding",0.1,4,256,0.710810804367065,"rect",0.757575809955597
"conn-bench-vowel-deterding",0.1,4,1024,0.702702760696411,"cone",0.673160195350647
"conn-bench-vowel-deterding",0.1,16,1024,0.702702713012695,"cone",0.777056217193604
"conn-bench-vowel-deterding",0.1,3,256,0.702702701091766,"cone",0.757575750350952
"conn-bench-vowel-deterding",0.1,2,512,0.702702701091766,"cone",0.703463137149811
"conn-bench-vowel-deterding",0.01,2,256,0.697297298908234,"rect",0.75324672460556
"conn-bench-vowel-deterding",1,2,512,0.667567646503449,"cone",0.692640662193298
"conn-bench-vowel-deterding",0.01,4,1024,0.66486491560936,"cone",0.571428596973419
"conn-bench-vowel-deterding",1,4,512,0.664864885807037,"rect",0.692640662193298
"conn-bench-vowel-deterding",0.01,2,1024,0.662162190675735,"cone",0.798701286315918
"conn-bench-vowel-deterding",0.01,3,512,0.659459483623505,"cone",0.753246784210205
"conn-bench-vowel-deterding",0.01,4,1024,0.65945947766304,"rect",0.580086588859558
"conn-bench-vowel-deterding",1,2,1024,0.648648691177368,"rect",0.727272689342499
"conn-bench-vowel-deterding",1,3,512,0.643243277072906,"rect",0.660173177719116
"conn-bench-vowel-deterding",0.01,3,256,0.64054057598114,"rect",0.751082301139832
"conn-bench-vowel-deterding",0.1,16,256,0.621621650457382,"rect",0.573593080043793
"conn-bench-vowel-deterding",0.1,4,512,0.618918961286545,"cone",0.664502143859863
