"dataset","nlayers","testAccuracy","nhidden","layerForm","valAccuracy","learningrate"
"fertility",3,0.879999995231628,1024,"rect",0.857142925262451,0.1
"fertility",3,0.879999995231628,512,"cone",0.857142925262451,0.1
"fertility",3,0.879999995231628,512,"rect",0.857142925262451,0.1
"fertility",3,0.879999995231628,256,"cone",0.857142925262451,0.1
"fertility",3,0.879999995231628,256,"rect",0.857142925262451,0.1
"fertility",3,0.719999969005585,1024,"cone",0.857142925262451,1
"fertility",3,0.879999995231628,512,"cone",0.857142925262451,1
"fertility",3,0.879999995231628,256,"cone",0.857142925262451,1
"fertility",2,0.879999995231628,1024,"cone",0.857142925262451,0.01
"fertility",2,0.879999995231628,1024,"rect",0.857142925262451,0.01
"fertility",2,0.879999995231628,512,"rect",0.857142925262451,0.01
"fertility",2,0.879999995231628,256,"rect",0.857142925262451,0.01
"fertility",2,0.879999995231628,1024,"cone",0.857142925262451,0.1
"fertility",2,0.879999995231628,1024,"rect",0.857142925262451,0.1
"fertility",2,0.879999995231628,512,"cone",0.857142925262451,0.1
"fertility",2,0.879999995231628,512,"rect",0.857142925262451,0.1
"fertility",2,0.879999995231628,256,"cone",0.857142925262451,0.1
"fertility",2,0.879999995231628,256,"rect",0.857142925262451,0.1
"fertility",2,0.879999995231628,512,"cone",0.857142925262451,1
"fertility",2,0.839999973773956,256,"cone",0.857142925262451,1
"fertility",2,0.879999995231628,256,"rect",0.857142925262451,1
"fertility",4,0.839999973773956,1024,"cone",0.857142901420593,1
"fertility",3,0.959999978542328,512,"rect",0.857142901420593,1
"fertility",32,0.839999973773956,512,"cone",0.842857205867767,0.01
"fertility",2,0.719999969005585,1024,"rect",0.842857193946838,1
"fertility",8,0.439999997615814,1024,"rect",0.828571492433548,1
"fertility",2,0.879999995231628,1024,"cone",0.828571486473084,1
"fertility",8,0.879999995231628,512,"cone",0.828571480512619,1
"fertility",16,0.879999995231628,256,"rect",0.814285778999329,0.1
"fertility",8,0.879999995231628,1024,"rect",0.814285773038864,0.1
"fertility",8,0.719999969005585,512,"rect",0.800000047683716,1
"fertility",32,0.879999995231628,512,"rect",0.785714347660541,0.1
"fertility",32,0.879999995231628,256,"rect",0.785714347660541,0.1
"fertility",32,0.879999995231628,512,"cone",0.785714347660541,1
"fertility",8,0.119999997317791,256,"rect",0.785714347660541,1
"fertility",4,0.719999969005585,512,"rect",0.785714334249497,1
"fertility",4,0.719999969005585,256,"cone",0.785714328289032,1
"fertility",2,0.839999973773956,512,"rect",0.757142892479896,1
"fertility",16,0.119999997317791,1024,"rect",0.714285770058632,0.1
"fertility",4,0.679999947547913,1024,"rect",0.671428591012955,1
"fertility",16,0.799999952316284,1024,"cone",0.471428607404232,1
"fertility",16,0.879999995231628,512,"cone",0.342857165634632,1
"fertility",32,0.879999995231628,512,"rect",0.285714304447174,0.01
"fertility",32,0.119999997317791,1024,"rect",0.142857149243355,0.01
"fertility",32,0.119999997317791,1024,"rect",0.142857149243355,1
"fertility",8,0.199999988079071,1024,"cone",0.142857149243355,1
