"dataset","nlayers","testAccuracy","nhidden","valAccuracy","learningrate","layerForm"
"annealing",32,0.759999990463257,512,0.506666710600257,1,"rect"
"annealing",8,0.0700000002980232,256,0.503333353996277,1,"rect"
"annealing",8,0.759999990463257,512,0.496666710078716,1,"rect"
"annealing",32,0.759999990463257,256,0.488888934254646,1,"cone"
"annealing",32,0.109999999403954,512,0.298888912051916,1,"cone"
"annealing",32,0.109999999403954,256,0.187777785211801,1,"rect"
"annealing",32,0.109999999403954,1024,0.161111120134592,1,"cone"
"annealing",16,0.0999999940395355,512,0.146666672825813,1,"cone"
"annealing",16,0.0700000002980232,512,0.12777778878808,1,"rect"
"annealing",32,0.109999999403954,256,0.12333333529532,0.1,"cone"
"annealing",16,0.109999999403954,256,0.122222222387791,1,"rect"
"annealing",16,0.0700000002980232,256,0.114444452524185,1,"cone"
"annealing",32,0.109999999403954,512,0.0866666676476598,0.1,"rect"
"annealing",32,0.0700000002980232,1024,0.0822222247719765,0.1,"rect"
"annealing",32,0.0700000002980232,1024,0.0688888918608427,0.01,"rect"
"annealing",32,0.0700000002980232,256,0.0622222259640694,0.1,"rect"
"annealing",16,0.0700000002980232,1024,0.055555559694767,1,"cone"
