"dataset","nlayers","learningrate","layerForm","valAccuracy","nhidden","testAccuracy"
"ringnorm",2,0.01,"rect",0.985150396823883,256,0.984324276447296
"ringnorm",4,0.01,"cone",0.984774488210678,1024,0.982162117958069
"ringnorm",3,1,"cone",0.984774482250214,512,0.981081128120422
"ringnorm",4,0.1,"cone",0.983458697795868,512,0.976756751537323
"ringnorm",2,0.01,"cone",0.98308277130127,512,0.984324395656586
"ringnorm",4,0.01,"cone",0.983082759380341,512,0.982162177562714
"ringnorm",16,0.1,"cone",0.982894778251648,256,0.976216316223145
"ringnorm",4,0.01,"cone",0.982518839836121,256,0.977837920188904
"ringnorm",2,0.1,"rect",0.98233088850975,1024,0.980540633201599
"ringnorm",2,0.1,"rect",0.982330852746964,512,0.984864950180054
"ringnorm",3,1,"cone",0.982142919301987,1024,0.983243346214294
"ringnorm",3,0.01,"cone",0.981766974925995,256,0.982162237167358
"ringnorm",3,1,"rect",0.98176696896553,1024,0.981081128120422
"ringnorm",2,0.01,"rect",0.981766963005066,512,0.984324395656586
"ringnorm",2,1,"cone",0.981578987836838,256,0.985405504703522
"ringnorm",2,0.1,"cone",0.981391048431397,512,0.984864950180054
"ringnorm",3,0.1,"cone",0.981391024589539,256,0.982702732086182
"ringnorm",2,0.01,"rect",0.98120304942131,1024,0.980540573596954
"ringnorm",16,1,"rect",0.981015110015869,1024,0.98432445526123
"ringnorm",2,0.01,"cone",0.981015092134476,256,0.985405504703522
"ringnorm",8,1,"cone",0.980639141798019,1024,0.98324328660965
"ringnorm",8,0.1,"cone",0.980263221263885,256,0.965405344963074
"ringnorm",8,1,"rect",0.980263203382492,1024,0.980000019073486
"ringnorm",16,1,"rect",0.980075263977051,512,0.982162177562714
"ringnorm",2,0.1,"rect",0.979887276887894,256,0.982702732086182
"ringnorm",4,1,"rect",0.979887270927429,1024,0.978378415107727
"ringnorm",2,1,"rect",0.9798872590065,256,0.982702732086182
"ringnorm",4,0.1,"cone",0.979699295759201,1024,0.975675702095032
"ringnorm",32,0.01,"rect",0.979323381185532,1024,0.975675702095032
"ringnorm",16,0.1,"cone",0.979323357343674,1024,0.964324355125427
"ringnorm",2,1,"cone",0.978571474552155,1024,0.982702672481537
"ringnorm",3,0.1,"rect",0.978383529186249,256,0.982702732086182
"ringnorm",8,1,"cone",0.978007578849793,512,0.982702791690826
"ringnorm",16,0.1,"rect",0.978007555007935,256,0.958918929100037
"ringnorm",3,0.1,"cone",0.977631580829621,1024,0.987567603588104
"ringnorm",3,1,"cone",0.977443647384644,256,0.981081128120422
"ringnorm",16,1,"cone",0.977255707979202,1024,0.978378415107727
"ringnorm",32,0.01,"rect",0.976879751682282,512,0.975135207176208
"ringnorm",4,1,"rect",0.976879739761353,256,0.982162177562714
"ringnorm",3,0.01,"cone",0.976691740751267,512,0.982162177562714
"ringnorm",4,0.1,"cone",0.976315838098526,256,0.982162237167358
"ringnorm",8,1,"rect",0.976127868890762,512,0.981081128120422
"ringnorm",2,1,"cone",0.9757519364357,512,0.983783841133118
"ringnorm",4,1,"cone",0.975751930475235,512,0.98162168264389
"ringnorm",2,1,"rect",0.975751888751984,1024,0.983243346214294
"ringnorm",8,1,"rect",0.975563955307007,256,0.983243346214294
"ringnorm",4,1,"rect",0.975375974178314,512,0.980000019073486
"ringnorm",3,1,"rect",0.975000041723251,256,0.982162237167358
"ringnorm",3,0.01,"cone",0.974999976158142,1024,0.983783841133118
"ringnorm",16,1,"cone",0.97481204867363,256,0.978378415107727
"ringnorm",32,0.1,"rect",0.974436122179031,512,0.97459465265274
"ringnorm",32,0.1,"rect",0.974436104297638,1024,0.974054098129272
"ringnorm",4,1,"cone",0.974060195684433,256,0.98324328660965
"ringnorm",2,1,"rect",0.973872184753418,512,0.982162177562714
"ringnorm",8,1,"cone",0.973308318853378,256,0.980000019073486
"ringnorm",4,1,"cone",0.972744387388229,1024,0.982162237167358
"ringnorm",3,0.1,"cone",0.971804594993591,512,0.985945999622345
"ringnorm",4,0.1,"rect",0.970488733053207,256,0.971351385116577
"ringnorm",2,0.1,"cone",0.970300793647766,256,0.983243346214294
"ringnorm",16,0.01,"cone",0.969736886024475,256,0.963783860206604
"ringnorm",2,0.1,"cone",0.969736862182617,1024,0.98162168264389
"ringnorm",8,0.01,"cone",0.969548898935318,256,0.964324355125427
"ringnorm",3,0.01,"rect",0.968797016143799,256,0.967027068138123
"ringnorm",2,0.01,"cone",0.968609023094177,1024,0.981081187725067
"ringnorm",4,0.01,"rect",0.96804513335228,256,0.965946018695831
"ringnorm",32,0.1,"rect",0.966165411472321,256,0.964324355125427
"ringnorm",16,0.1,"cone",0.965225607156754,512,0.973513603210449
"ringnorm",16,1,"rect",0.96203008890152,256,0.979459524154663
"ringnorm",3,0.1,"rect",0.961842125654221,512,0.967027068138123
"ringnorm",3,1,"rect",0.961090219020843,512,0.978378415107727
"ringnorm",3,0.01,"rect",0.959774470329285,512,0.959459543228149
