"dataset","learningrate","nlayers","layerForm","testAccuracy","valAccuracy","nhidden"
"chess-krvk",0.01,32,"rect",0.720701396465302,0.719284999370575,256
"chess-krvk",0.01,2,"cone",0.714285731315613,0.714110976457596,512
"chess-krvk",0.01,2,"rect",0.722554862499237,0.713029164075851,256
"chess-krvk",1,16,"rect",0.651696622371674,0.710206937789917,256
"chess-krvk",0.01,32,"cone",0.712432265281677,0.70921915769577,1024
"chess-krvk",1,2,"rect",0.716852009296417,0.708842861652374,256
"chess-krvk",0.1,32,"cone",0.679925858974457,0.688758212327957,512
"chess-krvk",0.01,2,"cone",0.689335584640503,0.681044209003449,256
"chess-krvk",0.01,32,"cone",0.669232964515686,0.667826879024506,512
"chess-krvk",0.1,32,"cone",0.593099474906921,0.621542781591415,256
"chess-krvk",0.01,32,"cone",0.505560278892517,0.542003756761551,256
"chess-krvk",1,16,"rect",0.513972043991089,0.500235185027122,1024
"chess-krvk",0.1,32,"rect",0.52623325586319,0.500141105055809,1024
"chess-krvk",0.01,2,"cone",0.286141991615295,0.289040440320969,1024
"chess-krvk",1,32,"rect",0.163244932889938,0.171119466423988,256
"chess-krvk",1,32,"cone",0.163244932889938,0.140827839076519,1024
"chess-krvk",1,32,"cone",0.128172233700752,0.124553145468235,256
"chess-krvk",1,32,"rect",0.0707157105207443,0.0655221070628613,512
"chess-krvk",1,32,"cone",0.0166809242218733,0.0359360283706337,512
"chess-krvk",1,32,"rect",0.0166809242218733,0.0112888049334288,1024
