"dataset","nlayers","layerForm","testAccuracy","valAccuracy","learningrate","nhidden"
"credit-approval",16,"cone",0.872092962265015,0.913953447341919,0.1,1024
"credit-approval",2,"cone",0.860465049743652,0.906976699829102,0.01,1024
"credit-approval",3,"cone",0.872092962265015,0.904651117324829,1,1024
"credit-approval",2,"rect",0.866279125213623,0.902325534820557,0.01,256
"credit-approval",8,"cone",0.883720993995667,0.897674423456192,1,1024
"credit-approval",2,"rect",0.889534831047058,0.893023270368576,0.1,1024
"credit-approval",4,"cone",0.883720874786377,0.893023234605789,1,1024
"credit-approval",4,"cone",0.860465168952942,0.89302322268486,1,512
"credit-approval",2,"cone",0.872092962265015,0.89302322268486,1,1024
"credit-approval",16,"rect",0.813953518867493,0.874418658018112,0.1,1024
"credit-approval",2,"cone",0.854651212692261,0.874418610334396,1,256
"credit-approval",3,"rect",0.854651212692261,0.874418562650681,0.01,512
"credit-approval",4,"rect",0.860465168952942,0.872093021869659,0.1,1024
"credit-approval",2,"rect",0.854651212692261,0.869767445325851,0.1,512
"credit-approval",2,"cone",0.889534890651703,0.869767415523529,1,512
"credit-approval",2,"rect",0.831395387649536,0.865116286277771,0.01,1024
"credit-approval",8,"cone",0.84883725643158,0.862790703773499,1,256
"credit-approval",3,"cone",0.831395387649536,0.858139586448669,0.01,256
"credit-approval",3,"cone",0.877906978130341,0.848837226629257,1,512
"credit-approval",3,"rect",0.843023300170898,0.848837220668793,1,1024
"credit-approval",4,"cone",0.854651093482971,0.841860496997833,0.1,256
"credit-approval",3,"cone",0.825581431388855,0.83953492641449,1,256
"credit-approval",2,"cone",0.84883725643158,0.834883761405945,0.01,512
"credit-approval",3,"cone",0.837209343910217,0.834883719682693,0.01,1024
"credit-approval",2,"rect",0.866279125213623,0.825581419467926,1,256
"credit-approval",4,"rect",0.877906978130341,0.823255848884583,1,1024
"credit-approval",2,"rect",0.848837196826935,0.823255831003189,1,512
"credit-approval",2,"cone",0.831395328044891,0.820930260419846,0.1,1024
"credit-approval",3,"rect",0.866279125213623,0.818604689836502,1,512
"credit-approval",2,"rect",0.906976699829102,0.818604665994644,1,1024
"credit-approval",3,"rect",0.854651212692261,0.816279089450836,1,256
"credit-approval",2,"cone",0.837209284305573,0.813953518867493,0.01,256
"credit-approval",8,"rect",0.872093021869659,0.813953512907028,1,256
"credit-approval",8,"cone",0.790697693824768,0.811627942323685,1,512
"credit-approval",3,"rect",0.843023300170898,0.809302353858948,0.01,256
"credit-approval",4,"cone",0.831395387649536,0.806976795196533,1,256
"credit-approval",4,"rect",0.767441868782043,0.804651188850403,0.01,1024
"credit-approval",3,"rect",0.883720874786377,0.795348858833313,0.1,1024
"credit-approval",3,"rect",0.831395387649536,0.790697699785233,0.1,512
"credit-approval",8,"cone",0.755813956260681,0.788372099399567,0.1,512
"credit-approval",4,"rect",0.784883797168732,0.781395363807678,0.01,512
"credit-approval",3,"cone",0.837209343910217,0.776744204759598,0.1,1024
"credit-approval",4,"cone",0.72674423456192,0.772093021869659,0.1,1024
"credit-approval",3,"cone",0.790697693824768,0.767441868782043,0.1,256
"credit-approval",8,"rect",0.773255825042725,0.758139544725418,1,512
"credit-approval",4,"rect",0.761627912521362,0.748837226629257,0.1,512
"credit-approval",3,"rect",0.796511650085449,0.739534878730774,0.01,1024
"credit-approval",2,"rect",0.790697693824768,0.732558131217957,0.01,512
"credit-approval",3,"cone",0.767441928386688,0.718604665994644,0.1,512
"credit-approval",4,"rect",0.726744174957275,0.71860466003418,1,512
"credit-approval",4,"rect",0.755813956260681,0.718604648113251,1,256
"credit-approval",2,"rect",0.796511650085449,0.713953506946564,0.1,256
"credit-approval",4,"cone",0.720930218696594,0.713953495025635,0.1,512
"credit-approval",3,"cone",0.720930278301239,0.69767439365387,0.01,512
"credit-approval",4,"cone",0.796511650085449,0.695348858833313,0.01,256
"credit-approval",4,"rect",0.773255825042725,0.68604651093483,0.1,256
"credit-approval",8,"rect",0.651162803173065,0.68372095823288,1,1024
"credit-approval",4,"rect",0.715116262435913,0.667441874742508,0.01,256
"credit-approval",4,"cone",0.645348846912384,0.6651162981987,0.01,1024
"credit-approval",2,"cone",0.738372087478638,0.658139550685883,0.1,512
"credit-approval",16,"cone",0.59883725643158,0.658139544725418,1,256
"credit-approval",8,"cone",0.67441862821579,0.644186091423035,0.1,256
"credit-approval",3,"rect",0.738372087478638,0.637209302186966,0.1,256
"credit-approval",4,"cone",0.645348906517029,0.618604671955109,0.01,512
"credit-approval",2,"cone",0.645348846912384,0.611627930402756,0.1,256
"credit-approval",8,"rect",0.627907037734985,0.609302371740341,0.1,1024
"credit-approval",8,"rect",0.627906978130341,0.604651212692261,0.1,512
"credit-approval",8,"rect",0.581395387649536,0.593023294210434,0.01,256
"credit-approval",16,"rect",0.569767415523529,0.586046552658081,0.1,256
"credit-approval",8,"rect",0.558139562606812,0.586046546697616,0.01,1024
"credit-approval",8,"cone",0.604651212692261,0.583720970153809,0.01,512
"credit-approval",8,"rect",0.558139562606812,0.581395387649536,0.01,512
"credit-approval",8,"rect",0.575581431388855,0.581395387649536,0.1,256
"credit-approval",16,"rect",0.569767415523529,0.569767475128174,0.1,512
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,0.01,1024
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,0.01,512
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,0.01,256
"credit-approval",32,"rect",0.558139562606812,0.558139562606812,0.01,256
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,0.1,1024
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,0.1,512
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,0.1,256
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,1,1024
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,1,512
"credit-approval",32,"cone",0.558139562606812,0.558139562606812,1,256
"credit-approval",16,"cone",0.558139562606812,0.558139562606812,0.01,1024
"credit-approval",16,"rect",0.558139562606812,0.558139562606812,0.01,1024
"credit-approval",16,"cone",0.558139562606812,0.558139562606812,0.01,512
"credit-approval",16,"rect",0.558139562606812,0.558139562606812,0.01,512
"credit-approval",16,"cone",0.558139562606812,0.558139562606812,0.01,256
"credit-approval",16,"rect",0.558139562606812,0.558139562606812,0.01,256
"credit-approval",16,"cone",0.558139562606812,0.558139562606812,1,512
"credit-approval",8,"cone",0.558139562606812,0.558139562606812,0.01,1024
"credit-approval",8,"cone",0.558139562606812,0.558139562606812,0.01,256
"credit-approval",8,"cone",0.558139562606812,0.558139562606812,0.1,1024
"credit-approval",16,"rect",0.558139562606812,0.548837232589722,1,256
"credit-approval",16,"cone",0.558139562606812,0.546511650085449,0.1,512
"credit-approval",16,"rect",0.441860437393188,0.546511650085449,1,1024
"credit-approval",16,"rect",0.523255825042725,0.537209296226501,1,512
"credit-approval",32,"rect",0.558139562606812,0.534883737564087,0.1,256
"credit-approval",32,"rect",0.558139562606812,0.523255825042725,0.1,512
"credit-approval",32,"rect",0.441860467195511,0.523255825042725,1,512
"credit-approval",32,"rect",0.558139562606812,0.5,0.1,1024
"credit-approval",16,"cone",0.441860437393188,0.486046499013901,1,1024
"credit-approval",32,"rect",0.441860437393188,0.476744174957275,1,1024
"credit-approval",32,"rect",0.441860496997833,0.474418607354164,0.01,512
"credit-approval",32,"rect",0.441860467195511,0.465116262435913,1,256
