"dataset","learningrate","testAccuracy","nlayers","valAccuracy","layerForm","nhidden"
"monks-1",1,0.907407462596893,4,0.928571456670761,"cone",256
"monks-1",0.1,0.918981432914734,3,0.914285737276077,"rect",1024
"monks-1",0.1,0.835648119449615,2,0.900000017881393,"rect",512
"monks-1",0.1,0.819444417953491,2,0.885714316368103,"rect",256
"monks-1",1,0.888888835906982,2,0.878571450710297,"cone",1024
"monks-1",0.01,0.706018447875977,3,0.857142925262451,"cone",512
"monks-1",1,0.865740716457367,4,0.842857176065445,"cone",1024
"monks-1",0.1,0.833333373069763,2,0.835714346170426,"cone",1024
"monks-1",1,0.849537014961243,2,0.835714316368103,"cone",256
"monks-1",1,0.837962985038757,2,0.814285755157471,"rect",512
"monks-1",0.1,0.814814805984497,3,0.807142913341522,"cone",1024
"monks-1",0.1,0.875000059604645,4,0.807142907381058,"cone",512
"monks-1",0.01,0.729166746139526,2,0.778571474552155,"rect",256
"monks-1",1,0.715277791023254,2,0.778571474552154,"rect",1024
"monks-1",1,0.770833373069763,3,0.771428614854813,"cone",256
"monks-1",0.01,0.726851880550385,2,0.771428596973419,"cone",1024
"monks-1",0.1,0.759259223937988,2,0.764285755157471,"cone",512
"monks-1",0.1,0.83564817905426,4,0.757142889499664,"rect",1024
"monks-1",0.01,0.722222208976746,3,0.750000035762787,"cone",1024
"monks-1",0.01,0.685185253620148,2,0.735714316368103,"cone",512
"monks-1",0.01,0.76157408952713,2,0.721428596973419,"rect",1024
"monks-1",0.01,0.636574149131775,8,0.69285717010498,"cone",256
"monks-1",0.1,0.844907462596893,3,0.678571462631226,"rect",256
"monks-1",0.01,0.659722208976746,4,0.678571456670761,"rect",512
"monks-1",1,0.75,4,0.671428608894348,"rect",1024
"monks-1",0.1,0.782407343387604,4,0.671428591012955,"rect",256
"monks-1",0.1,0.82407408952713,4,0.664285761117935,"cone",1024
"monks-1",0.1,0.726851940155029,2,0.664285749197006,"cone",256
"monks-1",1,0.712962925434113,3,0.657142907381058,"rect",512
"monks-1",1,0.851851880550385,3,0.657142895460129,"cone",1024
"monks-1",0.1,0.768518447875977,2,0.6571428835392,"rect",1024
"monks-1",0.01,0.5,32,0.642857193946838,"rect",1024
"monks-1",0.01,0.5,32,0.642857193946838,"rect",256
"monks-1",1,0.5,32,0.642857193946838,"rect",1024
"monks-1",0.1,0.502314805984497,16,0.642857193946838,"cone",1024
"monks-1",0.1,0.5,16,0.642857193946838,"cone",256
"monks-1",1,0.5,16,0.642857193946838,"cone",512
"monks-1",0.1,0.5,8,0.642857193946838,"cone",1024
"monks-1",1,0.601851880550385,8,0.642857193946838,"rect",256
"monks-1",1,0.560185194015503,4,0.642857193946838,"cone",512
"monks-1",1,0.615740776062012,4,0.642857193946838,"rect",256
"monks-1",0.01,0.604166686534882,2,0.642857193946838,"cone",256
"monks-1",0.01,0.583333313465118,4,0.635714316368103,"cone",512
"monks-1",0.1,0.796296358108521,3,0.635714316368103,"cone",512
"monks-1",0.1,0.877314805984497,4,0.62857146859169,"rect",512
"monks-1",1,0.824074029922485,2,0.621428596973419,"cone",512
"monks-1",0.01,0.5,16,0.614285755157471,"rect",512
"monks-1",0.1,0.847222208976746,8,0.614285755157471,"rect",256
"monks-1",0.01,0.699074149131775,3,0.607142895460129,"rect",512
"monks-1",1,0.5,8,0.600000041723251,"cone",256
"monks-1",1,0.692129671573639,3,0.600000041723251,"rect",1024
"monks-1",0.1,0.712962985038757,8,0.59285718202591,"rect",1024
"monks-1",0.1,0.5,32,0.585714328289032,"rect",1024
"monks-1",0.1,0.500000059604645,16,0.585714328289032,"rect",1024
"monks-1",0.1,0.5,32,0.585714328289032,"rect",256
"monks-1",1,0.745370388031006,2,0.585714316368103,"rect",256
"monks-1",1,0.78472226858139,3,0.585714313387871,"rect",256
"monks-1",0.01,0.622685194015503,8,0.585714310407639,"cone",1024
"monks-1",0.1,0.689814865589142,3,0.585714310407639,"rect",512
"monks-1",0.01,0.743055582046509,3,0.578571456670761,"rect",1024
"monks-1",0.01,0.72685182094574,4,0.578571450710297,"rect",1024
"monks-1",0.01,0.594907402992249,4,0.56428574025631,"cone",1024
"monks-1",0.1,0.5,32,0.557142895460129,"rect",512
"monks-1",0.1,0.729166686534882,4,0.557142877578735,"cone",256
"monks-1",1,0.787037074565887,4,0.542857173085213,"rect",512
"monks-1",0.1,0.719907402992249,3,0.542857164144516,"cone",256
"monks-1",0.01,0.520833373069763,8,0.521428602933884,"rect",256
"monks-1",0.01,0.599537014961243,4,0.500000014901161,"rect",256
"monks-1",0.01,0.592592597007751,8,0.485714310407639,"rect",512
"monks-1",1,0.738425970077515,3,0.478571450710297,"cone",512
"monks-1",1,0.5,32,0.471428596973419,"cone",1024
"monks-1",1,0.500000059604645,32,0.471428596973419,"cone",512
"monks-1",0.01,0.643518567085266,2,0.471428591012955,"rect",512
"monks-1",1,0.5,32,0.442857164144516,"cone",256
"monks-1",0.1,0.500000059604645,16,0.442857164144516,"rect",512
"monks-1",1,0.500000059604645,16,0.442857164144516,"rect",1024
"monks-1",1,0.500000059604645,16,0.442857164144516,"rect",512
"monks-1",1,0.618055582046509,8,0.435714292526245,"rect",1024
"monks-1",0.01,0.627314865589142,8,0.428571450710297,"rect",1024
"monks-1",0.01,0.641203701496124,3,0.407142886519432,"rect",256
"monks-1",1,0.493055582046509,16,0.400000017881393,"rect",256
"monks-1",0.1,0.500000059604645,16,0.38571429848671,"rect",256
"monks-1",0.01,0.500000059604645,32,0.38571429848671,"cone",1024
"monks-1",0.01,0.500000059604645,32,0.38571429848671,"rect",512
"monks-1",0.1,0.500000059604645,32,0.38571429848671,"cone",1024
"monks-1",0.01,0.500000059604645,16,0.38571429848671,"rect",1024
