"dataset","nlayers","testAccuracy","layerForm","nhidden","valAccuracy","learningrate"
"heart-hungarian",4,0.849315047264099,"rect",256,0.954545497894287,0.01
"heart-hungarian",8,0.821917772293091,"rect",512,0.950000041723251,0.1
"heart-hungarian",3,0.821917772293091,"rect",512,0.950000041723251,0.1
"heart-hungarian",4,0.849315047264099,"rect",1024,0.945454585552216,0.1
"heart-hungarian",8,0.849315047264099,"cone",512,0.931818217039108,1
"heart-hungarian",3,0.835616409778595,"rect",1024,0.931818217039108,0.01
"heart-hungarian",8,0.876712322235107,"rect",1024,0.922727304697037,0.1
"heart-hungarian",4,0.83561646938324,"rect",512,0.918181848526001,0.1
"heart-hungarian",3,0.863013684749603,"cone",1024,0.918181848526001,0.1
"heart-hungarian",2,0.821917772293091,"cone",512,0.918181848526001,0.01
"heart-hungarian",4,0.835616409778595,"rect",512,0.913636392354965,0.01
"heart-hungarian",4,0.821917772293091,"cone",256,0.909090936183929,1
"heart-hungarian",3,0.83561646938324,"cone",1024,0.909090936183929,0.01
"heart-hungarian",3,0.863013684749603,"rect",1024,0.909090936183929,0.1
"heart-hungarian",2,0.904109597206116,"rect",1024,0.909090936183929,0.01
"heart-hungarian",2,0.821917772293091,"rect",512,0.909090936183929,0.01
"heart-hungarian",2,0.876712322235107,"cone",256,0.909090936183929,0.01
"heart-hungarian",2,0.835616409778595,"rect",256,0.909090936183929,0.01
"heart-hungarian",2,0.863013684749603,"cone",1024,0.909090936183929,0.1
"heart-hungarian",2,0.863013684749603,"rect",512,0.909090936183929,0.1
"heart-hungarian",4,0.808219134807587,"cone",512,0.904545485973358,0.1
"heart-hungarian",4,0.821917772293091,"cone",512,0.904545480012894,0.01
"heart-hungarian",3,0.780821919441223,"cone",512,0.904545480012894,0.1
"heart-hungarian",3,0.849315047264099,"rect",256,0.904545480012894,0.1
"heart-hungarian",4,0.835616409778595,"cone",1024,0.895454567670822,1
"heart-hungarian",16,0.780821919441223,"rect",256,0.890909117460251,0.1
"heart-hungarian",4,0.794520497322083,"rect",256,0.890909117460251,0.1
"heart-hungarian",2,0.863013684749603,"rect",256,0.890909117460251,0.1
"heart-hungarian",4,0.863013684749603,"cone",512,0.890909111499786,1
"heart-hungarian",3,0.794520556926727,"cone",256,0.890909111499786,0.1
"heart-hungarian",3,0.821917772293091,"cone",256,0.886363661289215,1
"heart-hungarian",4,0.780821919441223,"cone",256,0.877272748947144,0.1
"heart-hungarian",3,0.821917831897736,"rect",256,0.872727286815643,0.01
"heart-hungarian",2,0.849315047264099,"rect",1024,0.872727286815643,0.1
"heart-hungarian",2,0.821917772293091,"cone",512,0.868181830644608,0.1
"heart-hungarian",4,0.753424644470215,"rect",256,0.868181830644608,1
"heart-hungarian",2,0.821917772293091,"cone",256,0.863636386394501,1
"heart-hungarian",4,0.808219134807587,"rect",1024,0.863636374473572,0.01
"heart-hungarian",3,0.808219134807587,"cone",512,0.863636374473572,0.01
"heart-hungarian",3,0.849315047264099,"cone",256,0.863636374473572,0.01
"heart-hungarian",2,0.780821919441223,"cone",256,0.859090924263001,0.1
"heart-hungarian",4,0.671232879161835,"cone",1024,0.854545491933823,0.01
"heart-hungarian",3,0.808219134807587,"cone",1024,0.854545485973358,1
"heart-hungarian",2,0.835616409778595,"cone",1024,0.840909123420715,0.01
"heart-hungarian",8,0.671232879161835,"cone",512,0.83636366724968,0.01
"heart-hungarian",2,0.67123281955719,"cone",1024,0.836363649368286,1
"heart-hungarian",16,0.794520556926727,"cone",512,0.818181872367859,1
"heart-hungarian",8,0.657534241676331,"rect",256,0.818181872367859,0.1
"heart-hungarian",16,0.808219134807587,"rect",256,0.81818186044693,1
"heart-hungarian",2,0.780821919441223,"rect",512,0.818181848526001,1
"heart-hungarian",8,0.643835604190826,"cone",1024,0.813636392354965,0.01
"heart-hungarian",3,0.849315047264099,"rect",512,0.804545491933823,0.01
"heart-hungarian",2,0.808219194412231,"rect",1024,0.804545491933823,1
"heart-hungarian",4,0.643835604190826,"cone",1024,0.795454579591751,0.1
"heart-hungarian",3,0.712328732013702,"cone",512,0.79090912938118,1
"heart-hungarian",8,0.643835604190826,"rect",512,0.781818217039108,0.01
"heart-hungarian",32,0.643835604190826,"cone",1024,0.777272766828537,1
"heart-hungarian",8,0.643835604190826,"rect",1024,0.777272766828537,0.01
"heart-hungarian",32,0.643835604190826,"cone",512,0.772727310657501,0.01
"heart-hungarian",32,0.643835604190826,"cone",256,0.772727310657501,0.01
"heart-hungarian",32,0.643835604190826,"cone",512,0.772727310657501,0.1
"heart-hungarian",32,0.643835604190826,"rect",512,0.772727310657501,0.1
"heart-hungarian",32,0.643835604190826,"cone",256,0.772727310657501,0.1
"heart-hungarian",32,0.643835604190826,"rect",1024,0.772727310657501,1
"heart-hungarian",32,0.643835604190826,"cone",512,0.772727310657501,1
"heart-hungarian",16,0.643835604190826,"cone",1024,0.772727310657501,0.01
"heart-hungarian",16,0.643835604190826,"rect",1024,0.772727310657501,0.01
"heart-hungarian",16,0.643835604190826,"cone",512,0.772727310657501,0.01
"heart-hungarian",16,0.643835604190826,"rect",512,0.772727310657501,0.01
"heart-hungarian",16,0.643835604190826,"cone",256,0.772727310657501,0.01
"heart-hungarian",16,0.643835604190826,"rect",256,0.772727310657501,0.01
"heart-hungarian",16,0.643835604190826,"cone",1024,0.772727310657501,0.1
"heart-hungarian",16,0.643835604190826,"cone",512,0.772727310657501,0.1
"heart-hungarian",16,0.643835604190826,"cone",256,0.772727310657501,0.1
"heart-hungarian",16,0.643835604190826,"cone",1024,0.772727310657501,1
"heart-hungarian",16,0.643835604190826,"rect",512,0.772727310657501,1
"heart-hungarian",16,0.643835604190826,"cone",256,0.772727310657501,1
"heart-hungarian",8,0.643835604190826,"cone",256,0.772727310657501,0.01
"heart-hungarian",8,0.643835604190826,"rect",256,0.772727310657501,0.01
"heart-hungarian",8,0.643835604190826,"cone",1024,0.772727310657501,0.1
"heart-hungarian",8,0.643835604190826,"cone",512,0.772727310657501,0.1
"heart-hungarian",8,0.643835604190826,"cone",256,0.772727310657501,0.1
"heart-hungarian",4,0.821917772293091,"rect",512,0.763636392354965,1
"heart-hungarian",2,0.794520497322083,"cone",512,0.759090948104858,1
"heart-hungarian",8,0.726027369499207,"cone",1024,0.759090942144394,1
"heart-hungarian",4,0.739726006984711,"cone",256,0.754545474052429,0.01
"heart-hungarian",8,0.753424644470215,"rect",512,0.740909123420715,1
"heart-hungarian",8,0.712328732013702,"rect",256,0.740909117460251,1
"heart-hungarian",8,0.739726006984711,"rect",1024,0.722727303206921,1
"heart-hungarian",32,0.643835604190826,"rect",512,0.718181852996349,1
"heart-hungarian",3,0.698630094528198,"rect",512,0.718181836605072,1
"heart-hungarian",4,0.630136966705322,"rect",1024,0.677272748947143,1
"heart-hungarian",3,0.520547926425934,"rect",256,0.677272742986679,1
"heart-hungarian",2,0.657534241676331,"rect",256,0.67272729575634,1
"heart-hungarian",32,0.356164395809174,"rect",256,0.663636395335198,0.1
"heart-hungarian",3,0.643835604190826,"rect",1024,0.63181819319725,1
"heart-hungarian",8,0.465753436088562,"cone",256,0.600000017881393,1
"heart-hungarian",32,0.643835604190826,"rect",1024,0.554545480012894,0.1
"heart-hungarian",32,0.356164395809174,"cone",256,0.500000022351742,1
"heart-hungarian",32,0.643835604190826,"rect",1024,0.44545456469059,0.01
"heart-hungarian",16,0.356164395809174,"rect",1024,0.44545456469059,1
"heart-hungarian",32,0.356164395809174,"rect",256,0.390909107029438,1
"heart-hungarian",16,0.410958915948868,"rect",512,0.350000005960464,0.1
"heart-hungarian",16,0.356164395809174,"rect",1024,0.336363649368286,0.1
"heart-hungarian",32,0.356164395809174,"cone",1024,0.327272737026215,0.1
"heart-hungarian",32,0.356164395809174,"rect",512,0.281818191707134,0.01
"heart-hungarian",32,0.356164395809174,"cone",1024,0.227272734045982,0.01
