"dataset","learningrate","layerForm","valAccuracy","nlayers","nhidden","testAccuracy"
"cylinder-bands",1,"cone",0.531914913654327,8,512,0.59375
"cylinder-bands",1,"rect",0.527659571170807,16,512,0.609375
"cylinder-bands",0.01,"rect",0.523404264450073,32,512,0.4765625
"cylinder-bands",1,"rect",0.5,32,256,0.390625
"cylinder-bands",1,"rect",0.480851066112518,16,1024,0.4140625
"cylinder-bands",1,"rect",0.472340428829193,16,256,0.5234375
"cylinder-bands",0.1,"rect",0.472340428829193,32,1024,0.390625
"cylinder-bands",1,"rect",0.472340428829193,32,512,0.609375
"cylinder-bands",0.1,"rect",0.417021286487579,16,1024,0.390625
"cylinder-bands",1,"rect",0.391489374637604,8,256,0.390625
"cylinder-bands",0.1,"rect",0.389361715316772,32,512,0.390625
"cylinder-bands",1,"cone",0.363829803466797,8,1024,0.390625
"cylinder-bands",0.01,"rect",0.361702144145966,32,1024,0.390625
"cylinder-bands",0.1,"cone",0.361702144145966,32,512,0.390625
"cylinder-bands",0.1,"rect",0.361702144145966,32,256,0.390625
