"dataset","nlayers","testAccuracy","nhidden","valAccuracy","layerForm","learningrate"
"oocytes_trisopterus_states_5b",2,0.894736886024475,1024,0.895588254928589,"cone",0.1
"oocytes_trisopterus_states_5b",3,0.872807025909424,256,0.882352948188782,"rect",0.1
"oocytes_trisopterus_states_5b",3,0.90350878238678,1024,0.882352948188782,"cone",1
"oocytes_trisopterus_states_5b",2,0.916666626930237,256,0.880882358551025,"cone",1
"oocytes_trisopterus_states_5b",2,0.90350878238678,256,0.879411780834198,"rect",1
"oocytes_trisopterus_states_5b",2,0.890350878238678,256,0.877941197156906,"rect",0.1
"oocytes_trisopterus_states_5b",3,0.907894730567932,256,0.870588266849518,"cone",1
"oocytes_trisopterus_states_5b",4,0.890350878238678,1024,0.87058824300766,"cone",1
"oocytes_trisopterus_states_5b",3,0.885964870452881,512,0.867647087574005,"cone",1
"oocytes_trisopterus_states_5b",3,0.877192974090576,1024,0.867647051811218,"rect",0.1
"oocytes_trisopterus_states_5b",4,0.890350878238678,256,0.866176491975784,"cone",1
"oocytes_trisopterus_states_5b",2,0.885964870452881,1024,0.864705872535706,"cone",0.01
"oocytes_trisopterus_states_5b",2,0.903508841991425,512,0.860294127464294,"cone",1
"oocytes_trisopterus_states_5b",8,0.864035129547119,256,0.854411774873734,"cone",1
"oocytes_trisopterus_states_5b",2,0.864035069942474,512,0.8529412150383,"cone",0.01
"oocytes_trisopterus_states_5b",2,0.859649121761322,256,0.8529412150383,"rect",0.01
"oocytes_trisopterus_states_5b",4,0.837719261646271,512,0.852941155433655,"rect",0.01
"oocytes_trisopterus_states_5b",2,0.84649121761322,512,0.852941155433655,"rect",0.01
"oocytes_trisopterus_states_5b",2,0.877192974090576,256,0.852941155433655,"cone",0.01
"oocytes_trisopterus_states_5b",3,0.864035129547119,512,0.851470571756363,"cone",0.1
"oocytes_trisopterus_states_5b",3,0.859649181365967,256,0.850000035762787,"cone",0.1
"oocytes_trisopterus_states_5b",4,0.833333313465118,1024,0.848529452085495,"rect",1
"oocytes_trisopterus_states_5b",4,0.850877165794373,256,0.848529446125031,"rect",0.1
"oocytes_trisopterus_states_5b",3,0.859649181365967,512,0.844117671251297,"rect",0.1
"oocytes_trisopterus_states_5b",2,0.850877165794373,256,0.839705914258957,"cone",0.1
"oocytes_trisopterus_states_5b",4,0.833333373069763,1024,0.836764717102051,"cone",0.01
"oocytes_trisopterus_states_5b",3,0.828947365283966,1024,0.835294198989868,"cone",0.01
"oocytes_trisopterus_states_5b",2,0.877192974090576,1024,0.832352954149246,"cone",1
"oocytes_trisopterus_states_5b",2,0.877192974090576,1024,0.830882352590561,"rect",1
