"dataset","testAccuracy","learningrate","layerForm","nhidden","valAccuracy","nlayers"
"monks-2",0.671296298503876,0.01,"cone",256,0.375,8
"monks-2",0.671296298503876,0.01,"rect",256,0.375,8
"monks-2",0.671296358108521,0.1,"cone",1024,0.375,8
"monks-2",0.671296298503876,0.1,"cone",512,0.375,8
"monks-2",0.671296358108521,0.1,"rect",512,0.375,8
"monks-2",0.671296298503876,0.1,"cone",256,0.375,8
"monks-2",0.671296298503876,0.1,"rect",256,0.375,8
"monks-2",0.671296298503876,1,"cone",256,0.375,8
"monks-2",0.671296298503876,0.01,"rect",1024,0.375,4
"monks-2",0.671296298503876,0.01,"cone",256,0.375,4
"monks-2",0.671296358108521,0.01,"rect",256,0.375,4
"monks-2",0.671296358108521,0.1,"cone",1024,0.375,4
"monks-2",0.671296298503876,0.1,"rect",512,0.375,4
"monks-2",0.671296298503876,0.1,"rect",256,0.375,4
"monks-2",0.668981492519379,1,"cone",1024,0.375,4
"monks-2",0.671296358108521,1,"rect",1024,0.375,4
"monks-2",0.671296358108521,1,"cone",512,0.375,4
"monks-2",0.645833373069763,1,"cone",256,0.375,4
"monks-2",0.671296358108521,0.01,"cone",1024,0.375,3
"monks-2",0.671296298503876,0.01,"rect",1024,0.375,3
"monks-2",0.671296358108521,0.01,"cone",512,0.375,3
"monks-2",0.671296358108521,0.01,"rect",512,0.375,3
"monks-2",0.671296298503876,0.1,"cone",1024,0.375,3
"monks-2",0.671296358108521,0.1,"rect",1024,0.375,3
"monks-2",0.671296358108521,0.1,"cone",512,0.375,3
"monks-2",0.671296298503876,0.1,"rect",512,0.375,3
"monks-2",0.671296358108521,0.1,"cone",256,0.375,3
"monks-2",0.671296298503876,0.1,"rect",256,0.375,3
"monks-2",0.671296298503876,1,"rect",1024,0.375,3
"monks-2",0.657407462596893,1,"cone",512,0.375,3
"monks-2",0.671296298503876,1,"rect",512,0.375,3
"monks-2",0.668981552124023,1,"cone",256,0.375,3
"monks-2",0.662037014961243,0.01,"cone",512,0.375,2
"monks-2",0.564814805984497,0.01,"cone",256,0.375,2
"monks-2",0.668981552124023,0.01,"rect",256,0.375,2
"monks-2",0.671296358108521,0.1,"cone",1024,0.375,2
"monks-2",0.671296298503876,0.1,"cone",512,0.375,2
"monks-2",0.671296358108521,0.1,"rect",512,0.375,2
"monks-2",0.678240776062012,0.1,"cone",256,0.375,2
"monks-2",0.671296298503876,0.1,"rect",256,0.375,2
"monks-2",0.671296358108521,1,"rect",1024,0.375,2
"monks-2",0.671296358108521,1,"cone",512,0.375,2
"monks-2",0.671296358108521,1,"cone",256,0.375,2
