"dataset","nlayers","nhidden","testAccuracy","valAccuracy","learningrate","layerForm"
"statlog-vehicle",2,512,0.758293807506561,0.806060612201691,1,"cone"
"statlog-vehicle",3,256,0.658767759799957,0.798484873771668,0.1,"rect"
"statlog-vehicle",2,256,0.71563982963562,0.796969676017761,1,"rect"
"statlog-vehicle",2,1024,0.767772555351257,0.780303037166596,0.1,"cone"
"statlog-vehicle",2,1024,0.744075834751129,0.778787875175476,0.01,"rect"
"statlog-vehicle",4,512,0.715639770030975,0.774242401123047,0.1,"cone"
"statlog-vehicle",2,1024,0.720379114151001,0.772727286815643,0.01,"cone"
"statlog-vehicle",3,256,0.729857861995697,0.757575762271881,1,"rect"
"statlog-vehicle",3,512,0.601895809173584,0.742424249649048,1,"cone"
"statlog-vehicle",4,256,0.720379173755646,0.736363649368286,0.1,"cone"
"statlog-vehicle",4,1024,0.644549787044525,0.733333349227905,1,"cone"
"statlog-vehicle",2,1024,0.658767819404602,0.73181819319725,0.1,"rect"
"statlog-vehicle",3,256,0.729857861995697,0.730303025245666,1,"cone"
"statlog-vehicle",3,512,0.75355452299118,0.727272737026215,0.1,"rect"
"statlog-vehicle",2,256,0.758293867111206,0.72727273106575,1,"cone"
"statlog-vehicle",4,512,0.601895809173584,0.709090930223465,1,"rect"
"statlog-vehicle",8,256,0.687203824520111,0.696969717741012,0.1,"cone"
"statlog-vehicle",2,512,0.687203824520111,0.693939399719238,0.01,"rect"
"statlog-vehicle",2,256,0.682464480400085,0.672727298736572,0.1,"rect"
"statlog-vehicle",2,512,0.521327018737793,0.672727280855179,0.1,"rect"
"statlog-vehicle",3,1024,0.663507103919983,0.662121224403382,0.1,"cone"
"statlog-vehicle",3,512,0.658767759799957,0.659090888500214,0.01,"cone"
"statlog-vehicle",2,1024,0.654028475284576,0.653030318021774,1,"rect"
"statlog-vehicle",3,256,0.616113722324371,0.653030300140381,0.01,"rect"
"statlog-vehicle",4,512,0.696682512760162,0.64848484992981,1,"cone"
"statlog-vehicle",3,512,0.649289071559906,0.645454525947571,0.01,"rect"
"statlog-vehicle",2,256,0.559241712093353,0.643939381837845,0.01,"rect"
"statlog-vehicle",4,1024,0.635071039199829,0.631818175315857,0.1,"rect"
"statlog-vehicle",2,1024,0.545023739337921,0.630303025245667,1,"cone"
"statlog-vehicle",3,1024,0.61137443780899,0.62575758099556,0.1,"rect"
"statlog-vehicle",3,1024,0.649289131164551,0.624242424964905,0.01,"rect"
"statlog-vehicle",3,1024,0.616113781929016,0.624242424964905,1,"rect"
"statlog-vehicle",3,512,0.630331754684448,0.615151524543762,0.1,"cone"
"statlog-vehicle",4,512,0.597156405448914,0.615151512622833,0.1,"rect"
"statlog-vehicle",8,512,0.507108986377716,0.603030323982239,0.1,"cone"
"statlog-vehicle",3,512,0.663507103919983,0.601515156030655,1,"rect"
"statlog-vehicle",2,256,0.53554505109787,0.583333337306976,0.1,"cone"
"statlog-vehicle",2,512,0.559241712093353,0.577272748947144,1,"rect"
"statlog-vehicle",4,1024,0.578199028968811,0.569696980714798,0.01,"cone"
"statlog-vehicle",2,256,0.625592470169067,0.566666686534882,0.01,"cone"
"statlog-vehicle",2,512,0.521327078342438,0.566666665673256,0.1,"cone"
"statlog-vehicle",4,256,0.488151729106903,0.565151530504227,0.1,"rect"
"statlog-vehicle",3,1024,0.436018973588943,0.559090924263,1,"cone"
"statlog-vehicle",2,512,0.530805706977844,0.545454525947571,0.01,"cone"
"statlog-vehicle",3,256,0.488151669502258,0.537878787517548,0.1,"cone"
"statlog-vehicle",4,256,0.478673011064529,0.516666662693024,1,"cone"
"statlog-vehicle",4,512,0.497630327939987,0.498484873771668,0.01,"rect"
"statlog-vehicle",3,1024,0.511848390102386,0.486363646388054,0.01,"cone"
"statlog-vehicle",8,256,0.488151669502258,0.484848487377167,1,"cone"
"statlog-vehicle",4,1024,0.530805706977844,0.465151518583298,0.01,"rect"
"statlog-vehicle",4,1024,0.464454978704453,0.451515144109726,0.1,"cone"
"statlog-vehicle",4,512,0.398104280233383,0.443939399719238,0.01,"cone"
"statlog-vehicle",8,512,0.431279629468918,0.442424237728119,1,"rect"
"statlog-vehicle",4,1024,0.345971584320068,0.439393931627274,1,"rect"
"statlog-vehicle",4,256,0.57345974445343,0.433333343267441,0.01,"cone"
"statlog-vehicle",8,512,0.350710928440094,0.428787887096405,1,"cone"
"statlog-vehicle",8,512,0.331753551959991,0.409090912342072,0.1,"rect"
"statlog-vehicle",8,512,0.383886277675629,0.409090912342072,0.01,"rect"
"statlog-vehicle",4,256,0.417061656713486,0.406060612201691,0.01,"rect"
"statlog-vehicle",8,1024,0.383886277675629,0.4,1,"cone"
"statlog-vehicle",4,256,0.407582938671112,0.396969699859619,1,"rect"
"statlog-vehicle",8,1024,0.317535549402237,0.390909093618393,1,"rect"
"statlog-vehicle",32,256,0.388625621795654,0.380303037166596,0.01,"rect"
"statlog-vehicle",8,1024,0.341232240200043,0.374242439866066,0.1,"rect"
"statlog-vehicle",8,512,0.407582968473434,0.362121224403381,0.01,"cone"
