"dataset","layerForm","learningrate","valAccuracy","testAccuracy","nhidden","nlayers"
"musk-2","cone",1,1,0.99818080663681,512,3
"musk-2","cone",1,1,0.998180747032166,256,3
"musk-2","cone",1,1,0.996361374855042,512,2
"musk-2","rect",1,1,0.996361553668976,512,2
"musk-2","rect",1,0.999784022569656,0.995755076408386,1024,2
"musk-2","rect",0.1,0.999568045139313,0.992116451263428,256,8
"musk-2","cone",1,0.999568045139313,0.995148539543152,1024,8
"musk-2","cone",1,0.999568045139313,0.996361434459686,1024,4
"musk-2","rect",0.1,0.999352067708969,0.99878716468811,1024,16
"musk-2","rect",1,0.999352067708969,0.996361374855042,256,2
"musk-2","rect",1,0.999136090278625,0.99818080663681,512,3
"musk-2","rect",1,0.998920100927353,0.996967911720276,1024,3
"musk-2","rect",1,0.998704135417938,0.99878716468811,512,4
"musk-2","cone",1,0.997840225696564,0.997574329376221,512,4
"musk-2","cone",1,0.997840225696564,0.998180627822876,256,2
"musk-2","cone",1,0.997840219736099,0.995148599147797,256,4
"musk-2","rect",1,0.997624230384827,0.992116510868073,256,4
"musk-2","rect",1,0.997624224424362,0.991510033607483,256,3
"musk-2","cone",1,0.997408258914947,0.995755076408386,256,8
"musk-2","cone",1,0.997408258914947,0.995148539543152,1024,3
"musk-2","cone",0.1,0.997408252954483,0.992116451263428,256,8
"musk-2","rect",1,0.997408252954483,0.996361374855042,256,8
"musk-2","rect",1,0.997408246994019,0.996967911720276,1024,4
"musk-2","cone",1,0.996976262331009,0.996967911720276,512,8
"musk-2","rect",0.1,0.995680391788483,0.995755016803741,1024,8
"musk-2","rect",0.1,0.995464408397675,0.995754957199097,1024,3
"musk-2","rect",0.1,0.994600474834442,0.995755076408386,256,3
"musk-2","cone",1,0.994384491443634,0.996361494064331,1024,16
"musk-2","rect",0.1,0.993520557880402,0.992722928524017,512,3
"musk-2","rect",0.1,0.993520557880402,0.993935763835907,1024,2
"musk-2","rect",0.1,0.993304574489594,0.995148539543152,512,8
"musk-2","rect",0.1,0.991360723972321,0.990297198295593,512,2
"musk-2","cone",0.1,0.990712773799897,0.992116510868073,512,4
"musk-2","cone",0.1,0.990712773799896,0.989084243774414,512,2
"musk-2","rect",0.01,0.990064823627472,0.989690661430359,1024,2
"musk-2","cone",0.1,0.989416873455048,0.990903615951538,1024,4
"musk-2","cone",0.1,0.989200901985168,0.993935763835907,1024,3
"musk-2","cone",0.1,0.988984936475754,0.988477885723114,256,2
"musk-2","cone",0.01,0.988552939891815,0.986658573150635,1024,4
"musk-2","rect",0.1,0.988336956501007,0.989084362983704,256,4
"musk-2","rect",1,0.988120973110199,0.993329286575317,512,16
"musk-2","rect",0.01,0.987473034858704,0.985445737838745,256,2
"musk-2","cone",0.01,0.986825078725815,0.98605215549469,1024,3
"musk-2","rect",0.01,0.986609101295471,0.986052215099335,512,3
"musk-2","rect",1,0.986609089374542,0.987265050411224,1024,16
"musk-2","rect",0.01,0.986393129825592,0.986658692359924,256,3
"musk-2","cone",0.01,0.986393105983734,0.988477826118469,512,2
"musk-2","rect",0.01,0.98574515581131,0.989690661430359,1024,3
"musk-2","rect",0.1,0.985313200950622,0.992116451263428,512,4
"musk-2","rect",0.1,0.984881240129471,0.989084243774414,256,2
"musk-2","rect",0.1,0.983801305294037,0.989690721035004,1024,4
"musk-2","cone",0.1,0.983585351705551,0.980594277381897,1024,2
"musk-2","rect",0.01,0.98336935043335,0.987265110015869,512,2
"musk-2","rect",0.01,0.982937377691269,0.987265050411224,1024,4
"musk-2","cone",0.01,0.982073456048966,0.979987800121307,256,3
"musk-2","rect",0.01,0.982073444128037,0.981200695037842,512,8
"musk-2","cone",0.01,0.980345630645752,0.978775024414062,512,3
"musk-2","rect",0.01,0.979481685161591,0.982413530349731,256,4
"musk-2","rect",0.01,0.979265660047531,0.978168606758118,1024,8
"musk-2","rect",0.01,0.978401774168015,0.979381442070007,512,4
"musk-2","cone",0.01,0.977105861902237,0.976349294185638,256,4
"musk-2","cone",0.1,0.94773216843605,0.95815646648407,512,32
"musk-2","rect",1,0.930885541439057,0.957550048828125,1024,8
"musk-2","rect",0.01,0.92807776927948,0.940570056438446,1024,32
"musk-2","cone",1,0.905831533670425,0.912067890167236,1024,2
"musk-2","cone",0.01,0.896976268291473,0.900545835494995,256,2
