"dataset","nhidden","testAccuracy","nlayers","layerForm","learningrate","valAccuracy"
"steel-plates",256,0.703092873096466,4,"rect",1,0.69718307852745
"steel-plates",512,0.65360826253891,4,"cone",1,0.683098548650742
"steel-plates",512,0.647422671318054,8,"cone",1,0.67676055431366
"steel-plates",1024,0.672164976596832,4,"cone",1,0.675352102518082
"steel-plates",256,0.682474255561829,4,"cone",1,0.669014060497284
"steel-plates",512,0.635051608085632,4,"rect",1,0.659859138727188
"steel-plates",1024,0.606185555458069,3,"cone",1,0.656338030099869
"steel-plates",256,0.717525780200958,3,"rect",1,0.656338006258011
"steel-plates",256,0.599999964237213,2,"rect",1,0.647887313365936
"steel-plates",256,0.591752588748932,3,"cone",1,0.642957735061646
"steel-plates",512,0.600000083446503,2,"rect",0.01,0.635915476083756
"steel-plates",256,0.581443309783936,2,"cone",1,0.634507030248642
"steel-plates",512,0.65360826253891,2,"rect",1,0.628168994188309
"steel-plates",1024,0.585567057132721,2,"rect",0.1,0.627464777231216
"steel-plates",1024,0.595876336097717,2,"cone",1,0.616197180747986
"steel-plates",512,0.556701004505157,2,"cone",1,0.614788728952408
"steel-plates",1024,0.620618581771851,2,"rect",0.01,0.609154903888702
"steel-plates",512,0.639175295829773,3,"cone",1,0.605633801221848
"steel-plates",512,0.583505153656006,4,"rect",0.01,0.599295753240585
"steel-plates",512,0.57731968164444,3,"rect",0.01,0.596478861570358
"steel-plates",512,0.562886595726013,2,"cone",0.01,0.594366180896759
"steel-plates",1024,0.569072186946869,2,"cone",0.01,0.589436614513397
"steel-plates",1024,0.569072186946869,3,"rect",0.1,0.589436608552933
"steel-plates",512,0.542268037796021,3,"cone",0.01,0.582394343614578
"steel-plates",512,0.581443309783936,3,"rect",0.1,0.578169023990631
"steel-plates",1024,0.550515472888947,3,"cone",0.01,0.575352096557617
"steel-plates",512,0.564948499202728,2,"rect",0.1,0.574647885560989
"steel-plates",1024,0.567010343074799,3,"rect",0.01,0.571830976009369
"steel-plates",256,0.620618581771851,8,"cone",1,0.563380271196365
"steel-plates",256,0.546391785144806,2,"rect",0.1,0.560563379526138
"steel-plates",256,0.527835071086884,2,"rect",0.01,0.557042235136032
"steel-plates",256,0.521649479866028,2,"cone",0.1,0.555633801221848
"steel-plates",1024,0.527835071086884,2,"cone",0.1,0.553521114587784
"steel-plates",256,0.571134030818939,4,"cone",0.01,0.55281688272953
"steel-plates",1024,0.538144409656525,4,"rect",0.01,0.550000011920929
"steel-plates",256,0.544329941272736,2,"cone",0.01,0.549295783042908
"steel-plates",1024,0.546391785144806,4,"rect",0.1,0.549295765161514
"steel-plates",256,0.531958818435669,3,"rect",0.1,0.547887313365936
"steel-plates",512,0.534020602703094,4,"rect",0.1,0.547183084487915
"steel-plates",512,0.523711383342743,4,"cone",0.01,0.54295774102211
"steel-plates",256,0.531958758831024,4,"rect",0.01,0.542253530025482
"steel-plates",512,0.523711323738098,2,"cone",0.1,0.540845078229904
"steel-plates",256,0.538144409656525,3,"rect",0.01,0.540140837430954
"steel-plates",256,0.542268037796021,3,"cone",0.01,0.538028168678284
"steel-plates",1024,0.523711383342743,3,"cone",0.1,0.537323951721191
"steel-plates",256,0.523711383342743,4,"rect",0.1,0.534507042169571
"steel-plates",512,0.521649539470673,16,"rect",0.1,0.533802801370621
"steel-plates",1024,0.523711323738098,16,"rect",0.1,0.53028170466423
"steel-plates",1024,0.509278357028961,8,"rect",0.1,0.519014084339142
"steel-plates",1024,0.505154669284821,4,"cone",0.1,0.51901408135891
"steel-plates",512,0.498969078063965,32,"rect",0.01,0.516901379823685
"steel-plates",512,0.501030921936035,4,"cone",0.1,0.512676054239273
"steel-plates",256,0.496907234191895,16,"rect",0.1,0.497183078527451
"steel-plates",1024,0.461855679750443,16,"cone",0.1,0.494366192817688
"steel-plates",512,0.478350520133972,3,"cone",0.1,0.48873239159584
"steel-plates",512,0.445360839366913,8,"rect",0.1,0.477464777231216
"steel-plates",1024,0.468041300773621,4,"cone",0.01,0.466197180747986
"steel-plates",256,0.463917523622513,3,"cone",0.1,0.464788725972176
"steel-plates",1024,0.44536080956459,8,"rect",0.01,0.460563370585442
"steel-plates",1024,0.393814414739609,2,"rect",1,0.454225346446037
"steel-plates",256,0.416494846343994,8,"rect",1,0.447887316346169
"steel-plates",256,0.414433032274246,8,"cone",0.1,0.442957755923271
"steel-plates",256,0.422680407762527,8,"rect",0.1,0.442957735061646
"steel-plates",256,0.352577328681946,4,"cone",0.1,0.43661972284317
"steel-plates",1024,0.509278416633606,4,"rect",1,0.430985909700394
"steel-plates",512,0.354639202356339,8,"cone",0.1,0.424647885560989
"steel-plates",1024,0.498969078063965,16,"rect",1,0.421126770973206
"steel-plates",1024,0.400000035762787,3,"rect",1,0.409859147667885
"steel-plates",1024,0.350515484809875,32,"cone",0.01,0.406338030099869
"steel-plates",256,0.352577328681946,16,"cone",0.1,0.405633807182312
"steel-plates",512,0.352577328681946,8,"cone",0.01,0.395070427656174
"steel-plates",512,0.352577328681946,8,"rect",0.01,0.395070427656174
"steel-plates",512,0.352577328681946,32,"cone",0.01,0.394366204738617
"steel-plates",256,0.352577358484268,32,"cone",0.01,0.394366204738617
"steel-plates",256,0.352577358484268,32,"rect",0.01,0.394366204738617
"steel-plates",512,0.352577328681946,32,"cone",1,0.394366204738617
"steel-plates",256,0.352577358484268,32,"cone",1,0.394366204738617
"steel-plates",1024,0.352577328681946,16,"cone",0.01,0.394366204738617
"steel-plates",1024,0.352577358484268,16,"rect",0.01,0.394366204738617
"steel-plates",512,0.352577358484268,16,"cone",0.01,0.394366204738617
"steel-plates",512,0.352577328681946,16,"rect",0.01,0.394366204738617
"steel-plates",256,0.352577328681946,16,"cone",0.01,0.394366204738617
"steel-plates",256,0.352577328681946,16,"rect",0.01,0.394366204738617
"steel-plates",512,0.352577358484268,16,"cone",0.1,0.394366204738617
"steel-plates",1024,0.352577328681946,8,"cone",0.01,0.394366204738617
"steel-plates",256,0.352577358484268,8,"cone",0.01,0.394366204738617
"steel-plates",256,0.352577358484268,8,"rect",0.01,0.394366204738617
"steel-plates",1024,0.352577328681946,8,"cone",0.1,0.394366204738617
"steel-plates",512,0.488659799098969,3,"rect",1,0.394366183876991
"steel-plates",256,0.352577358484268,16,"rect",1,0.393661975860596
"steel-plates",1024,0.42268043756485,8,"cone",1,0.349999985098839
"steel-plates",1024,0.226804152131081,32,"cone",0.1,0.333098585903645
"steel-plates",256,0.321649491786957,16,"cone",1,0.312676048278809
"steel-plates",1024,0.352577328681946,32,"rect",0.1,0.293661975860596
"steel-plates",512,0.19587630033493,8,"rect",1,0.293661965429783
"steel-plates",1024,0.284536093473434,16,"cone",1,0.26478873193264
"steel-plates",512,0.200000017881393,32,"cone",0.1,0.242253522574902
"steel-plates",512,0.352577358484268,32,"rect",0.1,0.236619718372822
"steel-plates",512,0.200000017881393,32,"rect",1,0.228169016540051
"steel-plates",1024,0.352577328681946,32,"rect",0.01,0.214084506034851
"steel-plates",1024,0.200000017881393,32,"rect",1,0.195070423185825
"steel-plates",256,0.200000017881393,32,"rect",1,0.19436619579792
"steel-plates",512,0.200000017881393,16,"rect",1,0.19154929369688
"steel-plates",1024,0.200000017881393,8,"rect",1,0.179577459394932
"steel-plates",512,0.189690738916397,16,"cone",1,0.171830980479717
"steel-plates",256,0.200000017881393,32,"rect",0.1,0.16901408135891
"steel-plates",1024,0.200000017881393,32,"cone",1,0.16901408135891
"steel-plates",256,0.0969072133302689,32,"cone",0.1,0.0964788697659969
