"dataset","testAccuracy","valAccuracy","nlayers","learningrate","nhidden","layerForm"
"iris",0.729729771614075,0.666666686534881,4,0.1,512,"rect"
"iris",0.756756782531738,0.666666686534881,4,0.1,256,"cone"
"iris",0.729729771614075,0.666666686534881,4,0.1,256,"rect"
"iris",0.675675749778748,0.666666686534881,4,1,1024,"cone"
"iris",0.702702760696411,0.666666686534881,4,1,1024,"rect"
"iris",0.702702760696411,0.666666686534881,4,1,512,"cone"
"iris",0.675675749778748,0.666666686534881,4,1,256,"cone"
"iris",0.675675749778748,0.666666686534881,4,1,256,"rect"
"iris",0.783783793449402,0.666666686534881,3,0.01,1024,"cone"
"iris",0.675675749778748,0.666666686534881,3,0.01,1024,"rect"
"iris",0.702702760696411,0.666666686534881,3,0.01,512,"rect"
"iris",0.675675749778748,0.666666686534881,3,0.1,512,"cone"
"iris",0.675675749778748,0.666666686534881,3,0.1,512,"rect"
"iris",0.756756782531738,0.666666686534881,3,0.1,256,"cone"
"iris",0.756756782531738,0.666666686534881,3,0.1,256,"rect"
"iris",0.675675749778748,0.666666686534881,3,1,1024,"cone"
"iris",0.702702760696411,0.666666686534881,3,1,1024,"rect"
"iris",0.675675749778748,0.666666686534881,3,1,512,"cone"
"iris",0.675675749778748,0.666666686534881,3,1,512,"rect"
"iris",0.675675749778748,0.666666686534881,3,1,256,"rect"
"iris",0.675675749778748,0.666666686534881,2,0.01,1024,"rect"
"iris",0.783783793449402,0.666666686534881,2,0.01,512,"rect"
"iris",0.702702760696411,0.666666686534881,2,0.1,1024,"cone"
"iris",0.675675749778748,0.666666686534881,2,0.1,1024,"rect"
"iris",0.729729771614075,0.666666686534881,2,0.1,512,"cone"
"iris",0.675675749778748,0.666666686534881,2,0.1,512,"rect"
"iris",0.675675749778748,0.666666686534881,2,0.1,256,"cone"
"iris",0.729729771614075,0.666666686534881,2,0.1,256,"rect"
"iris",0.675675749778748,0.666666686534881,2,1,1024,"cone"
"iris",0.675675749778748,0.666666686534881,2,1,1024,"rect"
"iris",0.675675749778748,0.666666686534881,2,1,512,"cone"
"iris",0.675675749778748,0.666666686534881,2,1,512,"rect"
"iris",0.675675749778748,0.666666686534881,2,1,256,"cone"
"iris",0.675675749778748,0.666666686534881,2,1,256,"rect"
"iris",0.783783793449402,0.650000017881393,3,0.01,256,"cone"
"iris",0.675675749778748,0.633333352208137,16,0.01,1024,"rect"
"iris",0.783783793449402,0.633333349227905,8,0.01,1024,"rect"
"iris",0.675675749778748,0.600000017881393,4,1,512,"rect"
"iris",0.567567586898804,0.583333346247673,8,0.01,256,"cone"
"iris",0.675675749778748,0.533333346247673,8,1,256,"rect"
"iris",0.567567586898804,0.5,8,0.01,512,"rect"
"iris",0.54054057598114,0.483333334326744,8,0.01,1024,"cone"
"iris",0.567567586898804,0.433333337306976,16,1,512,"rect"
"iris",0.675675749778748,0.416666677594185,8,1,512,"rect"
"iris",0.432432442903519,0.383333341777325,32,0.01,512,"cone"
"iris",0.32432433962822,0.383333340287209,16,0.01,1024,"cone"
"iris",0.351351380348206,0.383333337306976,4,0.01,512,"cone"
"iris",0.32432433962822,0.366666677594185,16,0.01,512,"rect"
"iris",0.32432433962822,0.366666677594185,16,1,1024,"rect"
"iris",0.351351380348206,0.333333343267441,32,0.01,1024,"cone"
"iris",0.351351380348206,0.333333343267441,32,0.01,1024,"rect"
"iris",0.32432433962822,0.333333343267441,32,0.01,512,"rect"
"iris",0.351351380348206,0.333333343267441,32,0.01,256,"cone"
"iris",0.32432433962822,0.333333343267441,32,0.01,256,"rect"
"iris",0.32432433962822,0.333333343267441,32,0.1,1024,"cone"
"iris",0.32432433962822,0.333333343267441,32,0.1,1024,"rect"
"iris",0.32432433962822,0.333333343267441,32,0.1,512,"cone"
"iris",0.32432433962822,0.333333343267441,32,0.1,512,"rect"
"iris",0.32432433962822,0.333333343267441,32,0.1,256,"cone"
"iris",0.351351380348206,0.333333343267441,32,0.1,256,"rect"
"iris",0.32432433962822,0.333333343267441,32,1,1024,"cone"
"iris",0.351351380348206,0.333333343267441,32,1,1024,"rect"
"iris",0.32432433962822,0.333333343267441,32,1,512,"cone"
"iris",0.32432433962822,0.333333343267441,32,1,512,"rect"
"iris",0.32432433962822,0.333333343267441,32,1,256,"cone"
"iris",0.351351380348206,0.333333343267441,32,1,256,"rect"
"iris",0.351351380348206,0.333333343267441,16,0.01,256,"cone"
"iris",0.32432433962822,0.333333343267441,16,0.01,256,"rect"
"iris",0.351351380348206,0.333333343267441,16,0.1,1024,"cone"
"iris",0.351351380348206,0.333333343267441,16,0.1,1024,"rect"
"iris",0.32432433962822,0.333333343267441,16,0.1,512,"cone"
"iris",0.32432433962822,0.333333343267441,16,0.1,512,"rect"
"iris",0.351351380348206,0.333333343267441,16,0.1,256,"cone"
"iris",0.32432433962822,0.333333343267441,16,0.1,256,"rect"
"iris",0.32432433962822,0.333333343267441,16,1,1024,"cone"
"iris",0.32432433962822,0.333333343267441,16,1,512,"cone"
"iris",0.32432433962822,0.333333343267441,16,1,256,"rect"
"iris",0.32432433962822,0.333333343267441,8,1,1024,"rect"
