"dataset","learningrate","nhidden","testAccuracy","valAccuracy","layerForm","nlayers"
"cardiotocography-3clases",1,512,0.909604430198669,0.903921574354172,"cone",3
"cardiotocography-3clases",1,512,0.864406704902649,0.872549027204513,"rect",3
"cardiotocography-3clases",1,256,0.866290032863617,0.869934648275375,"rect",2
"cardiotocography-3clases",1,1024,0.894538581371307,0.864705890417099,"cone",3
"cardiotocography-3clases",1,256,0.871939718723297,0.86339870095253,"cone",4
"cardiotocography-3clases",1,512,0.887005567550659,0.862745106220245,"cone",4
"cardiotocography-3clases",1,256,0.813559293746948,0.862745106220245,"rect",4
"cardiotocography-3clases",1,1024,0.879472672939301,0.861437916755676,"cone",4
"cardiotocography-3clases",1,256,0.866289913654327,0.861437916755676,"rect",3
"cardiotocography-3clases",1,256,0.887005686759949,0.857516348361969,"cone",3
"cardiotocography-3clases",1,512,0.832391679286957,0.847712427377701,"cone",8
"cardiotocography-3clases",0.01,256,0.875706195831299,0.843790858983993,"cone",2
"cardiotocography-3clases",0.01,512,0.866289973258972,0.843137264251709,"rect",2
"cardiotocography-3clases",0.01,512,0.875706195831299,0.84183007478714,"rect",3
"cardiotocography-3clases",1,1024,0.879472672939301,0.841176480054855,"rect",2
"cardiotocography-3clases",1,256,0.806026339530945,0.838562101125717,"cone",8
"cardiotocography-3clases",1,256,0.871939718723297,0.832679748535156,"cone",2
"cardiotocography-3clases",1,1024,0.870056450366974,0.832026153802872,"cone",8
"cardiotocography-3clases",0.01,1024,0.864406824111938,0.828758180141449,"cone",2
"cardiotocography-3clases",1,1024,0.853107333183289,0.824836611747742,"cone",2
"cardiotocography-3clases",0.01,256,0.858757078647614,0.820915043354034,"rect",3
"cardiotocography-3clases",1,1024,0.798493385314941,0.820915043354034,"rect",3
"cardiotocography-3clases",1,512,0.841807961463928,0.82026144862175,"rect",2
"cardiotocography-3clases",0.01,512,0.853107333183289,0.817647069692612,"cone",2
"cardiotocography-3clases",1,512,0.870056450366974,0.814379096031189,"cone",2
"cardiotocography-3clases",0.01,1024,0.873822927474976,0.811764717102051,"rect",2
"cardiotocography-3clases",0.1,1024,0.866290032863617,0.810457527637482,"rect",2
"cardiotocography-3clases",1,256,0.804143130779266,0.804575175046921,"rect",8
"cardiotocography-3clases",0.01,256,0.804143130779266,0.803921580314636,"rect",32
"cardiotocography-3clases",0.01,1024,0.860640347003937,0.79869282245636,"rect",4
"cardiotocography-3clases",0.01,512,0.866290032863617,0.798039227724075,"rect",4
"cardiotocography-3clases",0.01,256,0.830508470535278,0.797385632991791,"rect",4
"cardiotocography-3clases",0.01,1024,0.860640227794647,0.795424848794937,"rect",3
"cardiotocography-3clases",0.01,256,0.85687381029129,0.794771254062652,"rect",2
"cardiotocography-3clases",0.1,1024,0.860640287399292,0.790849685668945,"rect",4
"cardiotocography-3clases",0.1,1024,0.83992463350296,0.790196090936661,"cone",2
"cardiotocography-3clases",0.1,1024,0.854990482330322,0.786274522542953,"rect",3
"cardiotocography-3clases",0.1,256,0.851224005222321,0.781699359416962,"rect",3
"cardiotocography-3clases",0.1,512,0.847457528114319,0.779084980487823,"rect",3
"cardiotocography-3clases",0.1,256,0.843691051006317,0.778431385755539,"rect",2
"cardiotocography-3clases",0.1,512,0.83992463350296,0.776470601558685,"rect",4
"cardiotocography-3clases",0.1,512,0.828625202178955,0.775817006826401,"rect",2
"cardiotocography-3clases",0.01,1024,0.8060262799263,0.774509817361832,"rect",32
"cardiotocography-3clases",0.1,256,0.843691110610962,0.770588248968124,"rect",16
"cardiotocography-3clases",0.1,1024,0.839924693107605,0.76993465423584,"rect",16
"cardiotocography-3clases",0.1,256,0.826741993427277,0.76993465423584,"cone",2
"cardiotocography-3clases",0.01,1024,0.802259802818298,0.769281059503555,"cone",3
"cardiotocography-3clases",0.1,512,0.836158215999603,0.768627464771271,"cone",2
"cardiotocography-3clases",0.1,512,0.845574378967285,0.766013085842132,"rect",8
"cardiotocography-3clases",0.1,512,0.821092307567596,0.758823543787002,"rect",16
"cardiotocography-3clases",0.1,256,0.83427494764328,0.758169949054718,"rect",4
"cardiotocography-3clases",0.1,1024,0.802259922027588,0.756862759590149,"cone",3
"cardiotocography-3clases",0.1,256,0.826741933822632,0.756209164857864,"rect",8
"cardiotocography-3clases",0.01,512,0.824858725070953,0.756209164857864,"cone",4
"cardiotocography-3clases",0.1,1024,0.822975516319275,0.754901975393295,"rect",8
"cardiotocography-3clases",0.01,256,0.815442562103271,0.754248380661011,"cone",4
"cardiotocography-3clases",0.01,1024,0.794726967811584,0.749673217535019,"cone",4
"cardiotocography-3clases",0.1,256,0.785310626029968,0.74836602807045,"cone",3
"cardiotocography-3clases",0.01,512,0.785310745239258,0.746405243873596,"rect",8
"cardiotocography-3clases",0.01,256,0.792843699455261,0.745751649141312,"cone",3
"cardiotocography-3clases",0.1,512,0.787193894386292,0.745751649141312,"cone",3
"cardiotocography-3clases",0.01,1024,0.779660940170288,0.743137270212173,"rect",8
"cardiotocography-3clases",0.1,512,0.794726967811584,0.742483675479889,"cone",16
"cardiotocography-3clases",0.1,512,0.779661059379578,0.742483675479889,"cone",4
"cardiotocography-3clases",0.01,1024,0.779660940170288,0.739869296550751,"cone",8
"cardiotocography-3clases",0.01,256,0.779660940170288,0.739869296550751,"rect",8
"cardiotocography-3clases",0.01,256,0.779661059379578,0.739215701818466,"cone",8
"cardiotocography-3clases",0.01,1024,0.779660940170288,0.738562107086182,"cone",32
"cardiotocography-3clases",0.01,512,0.779661059379578,0.738562107086182,"cone",32
"cardiotocography-3clases",0.01,256,0.779660940170288,0.738562107086182,"cone",32
"cardiotocography-3clases",0.1,1024,0.779660940170288,0.738562107086182,"cone",32
"cardiotocography-3clases",0.1,512,0.779660940170288,0.738562107086182,"cone",32
"cardiotocography-3clases",0.1,256,0.779661059379578,0.738562107086182,"cone",32
"cardiotocography-3clases",1,1024,0.779660940170288,0.738562107086182,"cone",32
"cardiotocography-3clases",1,1024,0.779660999774933,0.738562107086182,"rect",32
"cardiotocography-3clases",1,256,0.779660940170288,0.738562107086182,"cone",32
"cardiotocography-3clases",1,256,0.779660940170288,0.738562107086182,"rect",32
"cardiotocography-3clases",0.01,1024,0.779660940170288,0.738562107086182,"cone",16
"cardiotocography-3clases",0.01,1024,0.779660940170288,0.738562107086182,"rect",16
"cardiotocography-3clases",0.01,512,0.779661059379578,0.738562107086182,"cone",16
"cardiotocography-3clases",0.01,512,0.779661059379578,0.738562107086182,"rect",16
"cardiotocography-3clases",0.01,256,0.779661059379578,0.738562107086182,"cone",16
"cardiotocography-3clases",0.01,256,0.779661059379578,0.738562107086182,"rect",16
"cardiotocography-3clases",0.1,1024,0.779660940170288,0.738562107086182,"cone",16
"cardiotocography-3clases",0.1,256,0.779660940170288,0.738562107086182,"cone",16
"cardiotocography-3clases",1,512,0.779660940170288,0.738562107086182,"rect",16
"cardiotocography-3clases",0.01,512,0.779660940170288,0.738562107086182,"cone",8
"cardiotocography-3clases",0.1,1024,0.779661059379578,0.738562107086182,"cone",8
"cardiotocography-3clases",0.1,512,0.779660940170288,0.738562107086182,"cone",8
"cardiotocography-3clases",0.1,256,0.779660940170288,0.738562107086182,"cone",8
"cardiotocography-3clases",0.1,1024,0.779660940170288,0.738562107086182,"cone",4
"cardiotocography-3clases",0.1,256,0.779660940170288,0.738562107086182,"cone",4
"cardiotocography-3clases",0.01,512,0.779660940170288,0.738562107086182,"cone",3
"cardiotocography-3clases",1,256,0.741996169090271,0.736601322889328,"rect",16
"cardiotocography-3clases",1,256,0.721280574798584,0.720261454582214,"cone",16
"cardiotocography-3clases",1,512,0.681732594966888,0.621568650007248,"cone",16
"cardiotocography-3clases",1,512,0.779660940170288,0.602614391595125,"rect",32
"cardiotocography-3clases",1,1024,0.538606405258179,0.550326824188232,"cone",16
"cardiotocography-3clases",0.01,512,0.589453876018524,0.54575166106224,"rect",32
"cardiotocography-3clases",1,1024,0.566854953765869,0.528104600310326,"rect",8
"cardiotocography-3clases",1,512,0.137476459145546,0.524183022975922,"cone",32
"cardiotocography-3clases",1,512,0.570621490478516,0.513071924448013,"rect",4
"cardiotocography-3clases",1,1024,0.440678000450134,0.389542505145073,"rect",4
"cardiotocography-3clases",1,512,0.418079107999802,0.375163413584232,"rect",8
"cardiotocography-3clases",1,1024,0.137476459145546,0.227450995147228,"rect",16
"cardiotocography-3clases",0.1,1024,0.779660940170288,0.126797388121486,"rect",32
"cardiotocography-3clases",0.1,256,0.137476459145546,0.087581704929471,"rect",32
"cardiotocography-3clases",0.1,512,0.0828625187277794,0.0588235311210156,"rect",32
