"dataset","testAccuracy","nlayers","learningrate","layerForm","valAccuracy","nhidden"
"musk-1",0.823529481887817,2,0.01,"rect",0.970588266849518,256
"musk-1",0.815126061439514,8,0.1,"rect",0.941176533699036,512
"musk-1",0.798319339752197,2,0.01,"cone",0.941176474094391,256
"musk-1",0.857142925262451,2,1,"rect",0.941176474094391,256
"musk-1",0.857142925262451,4,0.1,"cone",0.932352936267853,1024
"musk-1",0.8067227602005,4,1,"cone",0.926470589637756,256
"musk-1",0.8067227602005,2,1,"rect",0.923529416322708,1024
"musk-1",0.697479009628296,3,0.01,"cone",0.917647081613541,1024
"musk-1",0.8067227602005,2,0.01,"cone",0.914705866575241,512
"musk-1",0.873949646949768,2,1,"cone",0.911764740943909,256
"musk-1",0.831932783126831,4,1,"cone",0.911764687299728,1024
"musk-1",0.722689151763916,2,0.01,"cone",0.911764681339264,1024
"musk-1",0.831932902336121,2,0.01,"rect",0.908823561668396,512
"musk-1",0.78151273727417,3,1,"rect",0.908823531866074,512
"musk-1",0.831932783126831,2,1,"cone",0.905882334709168,1024
"musk-1",0.75630259513855,3,1,"cone",0.894117641448975,256
"musk-1",0.747899293899536,4,0.1,"cone",0.882352960109711,512
"musk-1",0.789916038513184,2,0.1,"cone",0.882352954149246,256
"musk-1",0.747899293899536,4,0.01,"rect",0.882352948188782,512
"musk-1",0.773109316825867,3,0.1,"cone",0.882352948188782,256
"musk-1",0.672268986701965,3,0.1,"rect",0.882352948188782,256
"musk-1",0.663865566253662,4,1,"rect",0.876470601558685,1024
"musk-1",0.773109316825867,2,1,"cone",0.876470601558685,512
"musk-1",0.75630259513855,8,1,"rect",0.870588254928589,512
"musk-1",0.747899174690247,3,0.1,"cone",0.867647081613541,512
"musk-1",0.815126180648804,3,1,"rect",0.867647069692612,256
"musk-1",0.697479009628296,8,0.01,"rect",0.864705908298493,1024
"musk-1",0.647058844566345,4,0.01,"rect",0.861764734983444,256
"musk-1",0.705882430076599,8,0.1,"cone",0.858823549747467,512
"musk-1",0.823529481887817,2,1,"rect",0.858823549747467,512
"musk-1",0.747899293899536,8,1,"cone",0.858823543787003,1024
"musk-1",0.773109316825867,3,0.01,"cone",0.855882388353348,512
"musk-1",0.638655543327332,2,0.1,"rect",0.855882388353348,1024
"musk-1",0.697479009628296,4,0.01,"rect",0.8529412150383,1024
"musk-1",0.672268986701965,4,0.1,"rect",0.8529412150383,1024
"musk-1",0.73109245300293,3,0.01,"rect",0.8529412150383,1024
"musk-1",0.680672347545624,3,0.01,"rect",0.8529412150383,256
"musk-1",0.680672287940979,2,0.1,"cone",0.852941197156906,512
"musk-1",0.815126180648804,4,1,"rect",0.847058868408203,256
"musk-1",0.689075708389282,2,0.1,"cone",0.847058838605881,1024
"musk-1",0.73109245300293,2,0.1,"rect",0.844117671251297,256
"musk-1",0.705882430076599,2,0.01,"rect",0.841176480054855,1024
"musk-1",0.714285731315613,3,1,"cone",0.835294145345688,512
"musk-1",0.605042099952698,4,1,"cone",0.835294139385223,512
"musk-1",0.663865566253662,3,1,"cone",0.826470601558685,1024
"musk-1",0.588235378265381,3,1,"rect",0.826470595598221,1024
"musk-1",0.630252122879028,4,0.1,"rect",0.823529422283172,512
"musk-1",0.789916038513184,4,0.1,"cone",0.823529422283172,256
"musk-1",0.630252122879028,3,0.1,"rect",0.823529422283172,1024
"musk-1",0.638655543327332,8,1,"rect",0.805882388353348,1024
"musk-1",0.697479009628296,3,0.01,"rect",0.805882346630097,512
"musk-1",0.689075708389282,8,0.01,"rect",0.797058832645416,512
"musk-1",0.638655543327332,4,0.01,"cone",0.797058808803559,512
"musk-1",0.579831957817078,2,0.1,"rect",0.77647060751915,512
"musk-1",0.596638679504395,3,0.1,"rect",0.744117683172226,512
"musk-1",0.571428656578064,16,0.01,"cone",0.73823533654213,1024
"musk-1",0.571428656578064,32,0.01,"cone",0.735294163227081,1024
"musk-1",0.571428656578064,32,0.01,"rect",0.735294163227081,1024
"musk-1",0.571428656578064,32,0.01,"cone",0.735294163227081,512
"musk-1",0.571428656578064,32,0.01,"cone",0.735294163227081,256
"musk-1",0.571428656578064,32,0.1,"cone",0.735294163227081,1024
"musk-1",0.571428656578064,32,0.1,"cone",0.735294163227081,256
"musk-1",0.571428656578064,32,1,"cone",0.735294163227081,512
"musk-1",0.571428656578064,32,1,"cone",0.735294163227081,256
"musk-1",0.571428656578064,16,0.01,"rect",0.735294163227081,1024
"musk-1",0.571428656578064,16,0.01,"cone",0.735294163227081,512
"musk-1",0.571428656578064,16,0.01,"rect",0.735294163227081,512
"musk-1",0.571428656578064,16,0.01,"cone",0.735294163227081,256
"musk-1",0.571428656578064,16,0.01,"rect",0.735294163227081,256
"musk-1",0.571428656578064,16,0.1,"rect",0.735294163227081,1024
"musk-1",0.571428656578064,16,0.1,"rect",0.735294163227081,512
"musk-1",0.571428656578064,16,0.1,"cone",0.735294163227081,256
"musk-1",0.571428656578064,16,0.1,"rect",0.735294163227081,256
"musk-1",0.571428656578064,8,0.01,"cone",0.735294163227081,1024
"musk-1",0.571428656578064,8,0.01,"cone",0.735294163227081,512
"musk-1",0.571428656578064,8,0.01,"cone",0.735294163227081,256
"musk-1",0.571428656578064,8,0.01,"rect",0.735294163227081,256
"musk-1",0.571428656578064,8,0.1,"cone",0.735294163227081,1024
"musk-1",0.571428656578064,8,0.1,"rect",0.735294163227081,1024
"musk-1",0.571428656578064,8,0.1,"cone",0.735294163227081,256
"musk-1",0.571428656578064,8,0.1,"rect",0.735294163227081,256
"musk-1",0.571428656578064,8,1,"cone",0.735294163227081,512
"musk-1",0.571428656578064,8,1,"rect",0.735294163227081,256
"musk-1",0.571428656578064,4,0.1,"rect",0.735294163227081,256
"musk-1",0.571428656578064,4,1,"rect",0.735294163227081,512
"musk-1",0.571428656578064,3,0.1,"cone",0.735294163227081,1024
"musk-1",0.705882430076599,3,0.01,"cone",0.72941175699234,256
"musk-1",0.571428656578064,16,0.1,"cone",0.726470631361008,512
"musk-1",0.588235378265381,4,0.01,"cone",0.717647087574005,1024
"musk-1",0.605042099952698,16,1,"cone",0.708823537826538,512
"musk-1",0.571428656578064,32,0.01,"rect",0.700000041723251,256
"musk-1",0.571428656578064,32,1,"rect",0.68823533654213,256
"musk-1",0.655462265014648,4,0.01,"cone",0.682352995872498,256
"musk-1",0.571428656578064,16,0.1,"cone",0.673529452085495,1024
"musk-1",0.571428656578064,16,1,"rect",0.641176509857178,1024
"musk-1",0.613445460796356,8,1,"cone",0.600000035762787,256
"musk-1",0.571428656578064,32,1,"cone",0.547058856487274,1024
"musk-1",0.571428656578064,32,1,"rect",0.547058856487274,512
"musk-1",0.420168101787567,16,1,"rect",0.438235318660736,512
"musk-1",0.571428656578064,32,0.1,"rect",0.405882376432419,256
"musk-1",0.428571462631226,32,0.1,"rect",0.405882376432419,1024
"musk-1",0.428571462631226,32,0.1,"cone",0.405882376432419,512
"musk-1",0.428571462631226,32,1,"rect",0.405882376432419,1024
"musk-1",0.428571462631226,16,1,"rect",0.311764723062515,256
"musk-1",0.53781521320343,16,1,"cone",0.305882370471954,256
"musk-1",0.428571462631226,32,0.01,"rect",0.264705896377563,512
"musk-1",0.428571462631226,32,0.1,"rect",0.264705896377563,512
"musk-1",0.428571462631226,16,1,"cone",0.264705896377563,1024
