"dataset","layerForm","nhidden","learningrate","valAccuracy","testAccuracy","nlayers"
"acute-nephritis","cone",1024,0.1,1,1,8
"acute-nephritis","rect",1024,0.1,1,1,8
"acute-nephritis","cone",512,0.1,1,1,8
"acute-nephritis","rect",512,0.1,1,1,8
"acute-nephritis","cone",256,0.1,1,0.933333396911621,8
"acute-nephritis","rect",256,0.1,1,1,8
"acute-nephritis","rect",1024,1,1,1,8
"acute-nephritis","cone",512,1,1,0.966666698455811,8
"acute-nephritis","rect",256,1,1,1,8
"acute-nephritis","rect",1024,0.01,1,1,4
"acute-nephritis","rect",512,0.01,1,1,4
"acute-nephritis","cone",256,0.01,1,1,4
"acute-nephritis","rect",256,0.01,1,1,4
"acute-nephritis","cone",1024,0.1,1,1,4
"acute-nephritis","rect",1024,0.1,1,1,4
"acute-nephritis","cone",512,0.1,1,1,4
"acute-nephritis","rect",512,0.1,1,1,4
"acute-nephritis","cone",256,0.1,1,1,4
"acute-nephritis","rect",256,0.1,1,1,4
"acute-nephritis","cone",1024,1,1,1,4
"acute-nephritis","rect",1024,1,1,1,4
"acute-nephritis","cone",512,1,1,0.900000095367432,4
"acute-nephritis","rect",512,1,1,1,4
"acute-nephritis","cone",256,1,1,1,4
"acute-nephritis","rect",256,1,1,1,4
"acute-nephritis","cone",1024,0.01,1,1,3
"acute-nephritis","rect",1024,0.01,1,1,3
"acute-nephritis","cone",512,0.01,1,0.933333396911621,3
"acute-nephritis","rect",512,0.01,1,1,3
"acute-nephritis","rect",256,0.01,1,1,3
"acute-nephritis","cone",1024,0.1,1,1,3
"acute-nephritis","rect",1024,0.1,1,1,3
"acute-nephritis","rect",512,0.1,1,1,3
"acute-nephritis","rect",256,0.1,1,1,3
"acute-nephritis","cone",1024,1,1,1,3
"acute-nephritis","rect",1024,1,1,1,3
"acute-nephritis","cone",512,1,1,1,3
"acute-nephritis","rect",512,1,1,1,3
"acute-nephritis","cone",256,1,1,1,3
"acute-nephritis","rect",256,1,1,1,3
"acute-nephritis","cone",1024,0.01,1,1,2
"acute-nephritis","rect",1024,0.01,1,1,2
"acute-nephritis","cone",512,0.01,1,1,2
"acute-nephritis","rect",512,0.01,1,1,2
"acute-nephritis","cone",256,0.01,1,1,2
"acute-nephritis","rect",256,0.01,1,1,2
"acute-nephritis","cone",1024,0.1,1,1,2
"acute-nephritis","rect",1024,0.1,1,1,2
"acute-nephritis","cone",512,0.1,1,1,2
"acute-nephritis","rect",512,0.1,1,1,2
"acute-nephritis","cone",256,0.1,1,1,2
"acute-nephritis","rect",256,0.1,1,1,2
"acute-nephritis","cone",1024,1,1,1,2
"acute-nephritis","rect",1024,1,1,1,2
"acute-nephritis","cone",512,1,1,1,2
"acute-nephritis","rect",512,1,1,0.866666734218597,2
"acute-nephritis","cone",256,1,1,1,2
"acute-nephritis","rect",256,1,1,1,2
"acute-nephritis","cone",1024,1,0.984615391492843,1,8
"acute-nephritis","cone",256,1,0.953846180438995,0.833333373069763,8
"acute-nephritis","rect",512,0.01,0.953846168518066,1,16
"acute-nephritis","rect",1024,0.01,0.915384638309479,0.966666698455811,16
"acute-nephritis","cone",256,0.01,0.853846222162247,0.733333349227905,3
"acute-nephritis","cone",256,0.01,0.846153903007507,0.866666734218597,8
"acute-nephritis","cone",1024,0.01,0.792307752370835,0.800000071525574,4
"acute-nephritis","rect",1024,0.01,0.78461542725563,0.666666746139526,8
"acute-nephritis","rect",256,0.01,0.769230842590332,0.833333373069763,16
"acute-nephritis","cone",512,0.01,0.769230842590332,0.866666734218597,4
"acute-nephritis","rect",512,1,0.723076939582825,0.600000083446503,8
"acute-nephritis","rect",256,0.01,0.692307764291763,0.600000023841858,8
"acute-nephritis","rect",512,0.01,0.630769300460815,0.633333384990692,8
"acute-nephritis","cone",1024,1,0.630769291520119,0.600000023841858,16
"acute-nephritis","cone",256,0.1,0.623076999187469,0.600000023841858,3
"acute-nephritis","cone",1024,0.01,0.615384697914124,0.600000023841858,32
"acute-nephritis","cone",512,0.01,0.615384697914124,0.600000023841858,32
"acute-nephritis","cone",256,0.01,0.615384697914124,0.600000023841858,32
"acute-nephritis","rect",512,0.1,0.615384697914124,0.600000023841858,32
"acute-nephritis","cone",256,0.1,0.615384697914124,0.600000023841858,32
"acute-nephritis","rect",256,0.1,0.615384697914124,0.600000023841858,32
"acute-nephritis","cone",1024,1,0.615384697914124,0.600000023841858,32
"acute-nephritis","rect",1024,1,0.615384697914124,0.600000023841858,32
"acute-nephritis","cone",512,1,0.615384697914124,0.600000023841858,32
"acute-nephritis","cone",256,1,0.615384697914124,0.600000023841858,32
"acute-nephritis","rect",256,1,0.615384697914124,0.600000023841858,32
"acute-nephritis","cone",1024,0.01,0.615384697914124,0.600000023841858,16
"acute-nephritis","cone",512,0.01,0.615384697914124,0.600000023841858,16
"acute-nephritis","cone",256,0.01,0.615384697914124,0.600000023841858,16
"acute-nephritis","cone",1024,0.1,0.615384697914124,0.600000023841858,16
"acute-nephritis","rect",1024,0.1,0.615384697914124,0.600000023841858,16
"acute-nephritis","cone",512,0.1,0.615384697914124,0.600000023841858,16
"acute-nephritis","cone",256,0.1,0.615384697914124,0.600000023841858,16
"acute-nephritis","rect",256,0.1,0.615384697914124,0.600000023841858,16
"acute-nephritis","rect",1024,1,0.615384697914124,0.600000023841858,16
"acute-nephritis","cone",1024,0.01,0.615384697914124,0.600000023841858,8
"acute-nephritis","cone",512,0.01,0.615384697914124,0.600000023841858,8
"acute-nephritis","cone",512,0.1,0.615384697914124,0.600000023841858,3
"acute-nephritis","cone",512,0.1,0.546153914928436,0.333333373069763,32
"acute-nephritis","cone",512,1,0.54615390598774,0.400000035762787,16
"acute-nephritis","rect",256,0.01,0.523076966404915,0.600000023841858,32
"acute-nephritis","rect",1024,0.1,0.476923114061356,0.600000023841858,32
"acute-nephritis","cone",256,1,0.476923114061356,0.600000023841858,16
"acute-nephritis","cone",1024,0.1,0.453846183419228,0.600000023841858,32
"acute-nephritis","rect",1024,0.01,0.453846183419228,0.400000035762787,32
"acute-nephritis","rect",512,1,0.407692322134972,0.400000035762787,16
"acute-nephritis","rect",512,0.1,0.400000008940697,0.400000035762787,16
"acute-nephritis","rect",512,0.01,0.384615391492844,0.400000035762787,32
"acute-nephritis","rect",512,1,0.384615391492844,0.400000035762787,32
"acute-nephritis","rect",256,1,0.384615391492844,0.400000035762787,16
