"dataset","valAccuracy","nlayers","nhidden","learningrate","testAccuracy","layerForm"
"congressional-voting",0.723684203624725,2,512,1,0.587155938148499,"cone"
"congressional-voting",0.718421041965485,2,1024,1,0.63302755355835,"cone"
"congressional-voting",0.713157868385315,8,1024,0.1,0.513761460781097,"rect"
"congressional-voting",0.702631533145904,4,256,1,0.57798159122467,"rect"
"congressional-voting",0.699999964237213,4,1024,1,0.633027493953705,"cone"
"congressional-voting",0.699999964237213,2,1024,0.1,0.623853206634521,"cone"
"congressional-voting",0.697368383407593,4,256,0.01,0.605504512786865,"rect"
"congressional-voting",0.69473682641983,2,256,1,0.568807303905487,"cone"
"congressional-voting",0.694736808538437,2,256,0.1,0.60550457239151,"cone"
"congressional-voting",0.686842060089111,2,256,0.1,0.623853206634521,"rect"
"congressional-voting",0.684210497140884,3,256,1,0.623853206634521,"cone"
"congressional-voting",0.684210479259491,3,512,0.1,0.633027493953705,"rect"
"congressional-voting",0.684210479259491,32,1024,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,32,512,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,32,512,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,32,256,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,32,1024,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,32,1024,0.1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,32,512,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,32,512,0.1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,32,256,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,32,256,0.1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,32,512,1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,32,512,1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,32,256,1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,32,256,1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,16,1024,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,16,1024,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,16,512,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,16,512,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,16,256,0.01,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,16,256,0.01,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,16,1024,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,16,1024,0.1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,16,512,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,16,256,0.1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,16,1024,1,0.614678859710693,"cone"
"congressional-voting",0.684210479259491,16,1024,1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,16,512,1,0.614678859710693,"rect"
"congressional-voting",0.684210479259491,16,256,1,0.614678859710693,"cone"
