"dataset","nhidden","layerForm","testAccuracy","valAccuracy","learningrate","nlayers"
"wine-quality-white",1024,"cone",0.533496797084808,0.611046504974365,1,4
"wine-quality-white",512,"rect",0.595588266849518,0.586918586492538,0.1,2
"wine-quality-white",256,"rect",0.586601376533508,0.581395328044891,0.1,2
"wine-quality-white",256,"cone",0.570261418819427,0.574418586492539,0.1,4
"wine-quality-white",512,"cone",0.605392217636108,0.563372075557709,0.1,8
"wine-quality-white",256,"rect",0.540849685668945,0.551744183897972,1,3
"wine-quality-white",512,"cone",0.520424842834473,0.534883725643158,0.1,32
"wine-quality-white",1024,"cone",0.539215683937073,0.524418604373932,0.1,3
"wine-quality-white",1024,"cone",0.508986949920654,0.520058131217957,1,16
"wine-quality-white",512,"cone",0.567810475826263,0.520058128237724,1,3
"wine-quality-white",1024,"cone",0.508170008659363,0.515116274356842,0.1,8
"wine-quality-white",512,"cone",0.498366057872772,0.511337223649025,1,8
"wine-quality-white",256,"cone",0.475490272045135,0.510755825042725,1,8
"wine-quality-white",256,"rect",0.500817060470581,0.505813956260681,1,8
"wine-quality-white",256,"rect",0.536764740943909,0.494186037778854,1,4
"wine-quality-white",256,"cone",0.486928164958954,0.493604657053948,1,4
"wine-quality-white",1024,"cone",0.532679796218872,0.493023267388344,1,3
"wine-quality-white",1024,"cone",0.526960849761963,0.486337220668793,1,2
"wine-quality-white",512,"cone",0.498366057872772,0.481686049699783,1,4
"wine-quality-white",256,"rect",0.495098084211349,0.481395357847214,1,2
"wine-quality-white",256,"cone",0.507353007793427,0.473546516895294,1,2
"wine-quality-white",512,"cone",0.513071894645691,0.467732572555542,1,2
"wine-quality-white",256,"cone",0.463235348463058,0.46366280913353,1,3
"wine-quality-white",256,"rect",0.455065369606018,0.447383746504784,0.01,2
"wine-quality-white",1024,"cone",0.450163424015045,0.445348858833313,0.01,2
"wine-quality-white",512,"cone",0.454248368740082,0.437790715694427,0.01,3
"wine-quality-white",256,"cone",0.454248428344727,0.436918619275093,0.01,2
"wine-quality-white",512,"cone",0.483660161495209,0.43372095823288,0.1,3
"wine-quality-white",256,"rect",0.450163453817368,0.432848861813545,0.01,3
"wine-quality-white",1024,"rect",0.449346452951431,0.431976771354675,0.01,32
"wine-quality-white",512,"rect",0.450163453817368,0.431976768374443,0.01,2
"wine-quality-white",512,"cone",0.455882370471954,0.431976765394211,0.01,2
"wine-quality-white",256,"rect",0.450163453817368,0.431395369768143,0.01,4
"wine-quality-white",512,"rect",0.448529452085495,0.430813980102539,0.01,32
"wine-quality-white",512,"rect",0.450163453817368,0.429651185870171,0.01,3
"wine-quality-white",512,"rect",0.450163453817368,0.429651182889938,0.01,4
"wine-quality-white",1024,"rect",0.450163453817368,0.429360488057137,0.01,2
"wine-quality-white",512,"cone",0.450980454683304,0.428488394618034,0.01,32
"wine-quality-white",256,"cone",0.452614456415176,0.427906996011734,0.01,4
"wine-quality-white",1024,"rect",0.45016348361969,0.427906996011734,0.01,3
"wine-quality-white",1024,"rect",0.450980424880981,0.427616304159164,0.1,2
"wine-quality-white",256,"cone",0.450980424880981,0.42674420773983,0.01,3
"wine-quality-white",1024,"rect",0.450163453817368,0.426453512907028,0.1,3
