"dataset","nhidden","learningrate","layerForm","testAccuracy","valAccuracy","nlayers"
"chess-krvkp",512,1,"cone",0.986232876777649,0.996139049530029,8
"chess-krvkp",512,1,"cone",0.991239070892334,0.996139049530029,4
"chess-krvkp",256,1,"cone",0.987484455108643,0.996139049530029,3
"chess-krvkp",1024,0.01,"rect",0.984981298446655,0.996139049530029,2
"chess-krvkp",256,1,"cone",0.992490649223328,0.996139049530029,2
"chess-krvkp",256,1,"cone",0.991239070892334,0.995752954483032,8
"chess-krvkp",1024,1,"cone",0.994993805885315,0.994594645500183,3
"chess-krvkp",256,1,"cone",0.991239070892334,0.993822431564331,4
"chess-krvkp",1024,1,"cone",0.98998761177063,0.993436348438263,4
"chess-krvkp",1024,1,"cone",0.98998761177063,0.993436336517334,8
"chess-krvkp",512,1,"rect",0.988735914230347,0.993436336517334,3
"chess-krvkp",1024,0.1,"rect",0.988736033439636,0.993050241470337,2
"chess-krvkp",1024,1,"cone",0.988735914230347,0.99266414642334,2
"chess-krvkp",256,0.1,"cone",0.982478141784668,0.992278039455414,3
"chess-krvkp",512,0.1,"cone",0.987484455108643,0.992278039455414,2
"chess-krvkp",256,0.1,"rect",0.987484455108643,0.992278027534485,3
"chess-krvkp",1024,0.1,"cone",0.984981298446655,0.992278003692627,3
"chess-krvkp",512,0.1,"rect",0.991239070892334,0.992277991771698,2
"chess-krvkp",256,1,"rect",0.986232876777649,0.991891920566559,3
"chess-krvkp",512,0.1,"rect",0.981226563453674,0.991505825519562,4
"chess-krvkp",256,0.1,"cone",0.987484455108643,0.991505801677704,4
"chess-krvkp",512,1,"rect",0.987484455108643,0.990733635425568,2
"chess-krvkp",256,0.1,"rect",0.991239070892334,0.989575338363647,2
"chess-krvkp",512,1,"cone",0.988735914230347,0.988417029380798,3
"chess-krvkp",1024,0.1,"cone",0.988735914230347,0.988030934333801,16
"chess-krvkp",256,0.1,"cone",0.977471947669983,0.988030922412872,8
"chess-krvkp",1024,1,"rect",0.98998749256134,0.988030922412872,4
"chess-krvkp",512,0.1,"cone",0.986232757568359,0.988030910491943,16
"chess-krvkp",512,0.1,"cone",0.974968671798706,0.988030898571014,8
"chess-krvkp",256,1,"rect",0.984981298446655,0.987644827365875,4
"chess-krvkp",256,0.01,"cone",0.991239070892334,0.987644827365875,2
"chess-krvkp",256,0.1,"cone",0.987484455108643,0.987644815444946,2
"chess-krvkp",256,1,"rect",0.987484455108643,0.98725870847702,2
"chess-krvkp",256,1,"rect",0.977471947669983,0.986486542224884,8
"chess-krvkp",512,0.1,"cone",0.981226563453674,0.986486542224884,4
"chess-krvkp",256,0.1,"rect",0.982478141784668,0.986486506462097,4
"chess-krvkp",512,1,"rect",0.982478141784668,0.986100423336029,4
"chess-krvkp",1024,1,"rect",0.988736033439636,0.986100387573242,2
"chess-krvkp",1024,1,"rect",0.98998749256134,0.984556043148041,3
"chess-krvkp",256,0.01,"rect",0.979974985122681,0.984556019306183,2
"chess-krvkp",512,1,"cone",0.987484455108643,0.984555995464325,2
"chess-krvkp",512,0.1,"cone",0.986232876777649,0.984169912338257,3
"chess-krvkp",512,1,"rect",0.986232876777649,0.983011591434479,8
"chess-krvkp",512,0.01,"cone",0.964956164360046,0.981467211246491,4
"chess-krvkp",512,0.1,"rect",0.979974985122681,0.979922807216644,3
"chess-krvkp",256,0.1,"rect",0.977471828460693,0.979536700248718,16
"chess-krvkp",256,0.01,"rect",0.962453126907349,0.975289583206177,4
"chess-krvkp",1024,0.1,"rect",0.984981298446655,0.974903500080109,3
"chess-krvkp",1024,0.1,"cone",0.977471947669983,0.974131298065186,2
"chess-krvkp",512,0.01,"cone",0.958698391914368,0.97297300696373,2
"chess-krvkp",256,0.01,"rect",0.973717212677002,0.972972989082337,3
"chess-krvkp",256,0.01,"cone",0.971214056015015,0.969112002849579,3
"chess-krvkp",1024,0.1,"cone",0.972465634346008,0.966023224592209,8
"chess-krvkp",1024,0.01,"cone",0.984981179237366,0.965637052059174,2
"chess-krvkp",512,0.01,"rect",0.961201608181,0.965250980854035,3
"chess-krvkp",512,0.01,"rect",0.957446813583374,0.964092683792114,2
"chess-krvkp",1024,0.1,"cone",0.964956223964691,0.961003869771957,4
"chess-krvkp",1024,0.1,"rect",0.939924955368042,0.952123558521271,16
"chess-krvkp",512,0.01,"cone",0.958698391914368,0.951737463474274,3
"chess-krvkp",1024,0.1,"rect",0.968710899353027,0.950193059444428,4
