"dataset","testAccuracy","nhidden","learningrate","nlayers","layerForm","valAccuracy"
"waveform",0.799999952316284,256,0.01,3,"cone",0.820670396089554
"waveform",0.829599916934967,1024,0.1,8,"rect",0.820391041040421
"waveform",0.799199998378754,256,1,8,"cone",0.820391023159027
"waveform",0.796000003814697,512,0.1,3,"rect",0.815921753644943
"waveform",0.77839994430542,512,0.01,8,"cone",0.814525121450424
"waveform",0.835200071334839,1024,0.1,2,"rect",0.812849134206772
"waveform",0.785599946975708,512,1,16,"cone",0.812290495634079
"waveform",0.829599916934967,512,1,2,"cone",0.810893851518631
"waveform",0.775199949741364,1024,1,2,"cone",0.809776520729065
"waveform",0.799199938774109,512,0.01,4,"cone",0.800558638572693
"waveform",0.779999971389771,512,1,4,"rect",0.799999988079071
"waveform",0.773599982261658,256,0.1,3,"rect",0.797486007213593
"waveform",0.762399971485138,256,0.1,4,"rect",0.793854737281799
"waveform",0.764799952507019,1024,1,3,"rect",0.785754173994064
"waveform",0.75519996881485,512,0.01,4,"rect",0.784636861085892
"waveform",0.760799944400787,1024,0.1,3,"cone",0.781005555391312
"waveform",0.779199957847595,1024,0.01,3,"rect",0.778212261199951
"waveform",0.772799968719482,1024,1,2,"rect",0.772905004024506
"waveform",0.738399982452393,256,0.01,4,"rect",0.759776526689529
"waveform",0.730399966239929,512,0.01,3,"rect",0.755586570501328
"waveform",0.756799936294556,1024,1,16,"cone",0.736033499240875
"waveform",0.670399963855743,512,1,3,"rect",0.729329591989517
"waveform",0.681599915027618,1024,0.01,4,"rect",0.714245784282684
"waveform",0.652800023555756,512,0.01,8,"rect",0.70139662027359
"waveform",0.74399995803833,512,1,8,"rect",0.693854737281799
"waveform",0.659199953079224,1024,0.01,4,"cone",0.692458075284958
"waveform",0.439199984073639,1024,1,8,"rect",0.602793276309967
"waveform",0.579200029373169,512,1,16,"rect",0.542458087205887
"waveform",0.540799975395203,1024,0.01,16,"rect",0.422625687718391
"waveform",0.412799954414368,256,1,16,"rect",0.408659195899963
"waveform",0.340800017118454,512,0.01,32,"cone",0.396927365660667
"waveform",0.33119997382164,1024,0.01,8,"rect",0.386592173576355
"waveform",0.343199968338013,256,0.1,32,"cone",0.371508374810219
"waveform",0.463199973106384,1024,0.01,32,"cone",0.359217867255211
"waveform",0.340000003576279,512,1,32,"cone",0.351675981283188
"waveform",0.331200003623962,256,1,32,"cone",0.345810052752495
"waveform",0.340000003576279,1024,1,32,"cone",0.337430167198181
"waveform",0.334399998188019,256,0.01,16,"cone",0.333519542217255
"waveform",0.328799962997437,256,1,32,"rect",0.332681560516357
"waveform",0.331200003623962,1024,1,32,"rect",0.331564256548882
"waveform",0.328799962997437,1024,0.1,32,"rect",0.32793296277523
"waveform",0.328799962997437,1024,0.1,32,"cone",0.31843575835228
"waveform",0.328799962997437,1024,1,16,"rect",0.31843575835228
"waveform",0.328799962997437,512,0.1,32,"rect",0.318156430125236
"waveform",0.328799962997437,256,0.1,32,"rect",0.318156427145004
"waveform",0.388799965381622,512,0.01,32,"rect",0.318156419694424
"waveform",0.331200003623962,256,0.01,32,"cone",0.315642476081848
"waveform",0.331200003623962,512,1,32,"rect",0.315642476081848
