"dataset","testAccuracy","nhidden","learningrate","nlayers","layerForm","valAccuracy"
"waveform",0.835999965667725,256,0.01,2,"rect",0.877374321222305
"waveform",0.831199884414673,512,0.1,8,"rect",0.87653631567955
"waveform",0.796800017356873,256,1,2,"cone",0.868715083599091
"waveform",0.839199960231781,512,0.1,2,"cone",0.867877089977264
"waveform",0.843199908733368,256,1,3,"rect",0.865642476081848
"waveform",0.815199911594391,1024,1,8,"cone",0.862569856643677
"waveform",0.82559996843338,1024,0.1,16,"rect",0.86005585193634
"waveform",0.824799954891205,512,0.01,2,"rect",0.858938539028168
"waveform",0.835200011730194,512,0.01,2,"cone",0.858100557327271
"waveform",0.821599960327148,256,0.1,8,"rect",0.856703931093216
"waveform",0.82480001449585,256,1,3,"cone",0.856703913211823
"waveform",0.811999976634979,256,0.1,16,"cone",0.856424570083618
"waveform",0.831200003623962,512,0.01,3,"cone",0.854748582839966
"waveform",0.807199954986572,1024,0.1,2,"cone",0.854469275474548
"waveform",0.817599952220917,256,0.1,16,"rect",0.854189938306809
"waveform",0.840799987316132,1024,0.01,2,"cone",0.854189938306809
"waveform",0.812799990177155,256,0.01,32,"rect",0.853910630941391
"waveform",0.825599908828735,1024,0.01,2,"rect",0.853910613059997
"waveform",0.847999930381775,1024,1,4,"rect",0.853631263971329
"waveform",0.812799990177155,256,0.01,2,"cone",0.852793288230896
"waveform",0.811199963092804,1024,0.1,16,"cone",0.851955312490463
"waveform",0.811199903488159,512,1,4,"cone",0.850837993621826
"waveform",0.798399984836578,256,0.1,8,"cone",0.850558662414551
"waveform",0.813599944114685,512,0.1,16,"rect",0.850279343128204
"waveform",0.82399994134903,256,0.1,2,"cone",0.850000005960464
"waveform",0.827199935913086,1024,0.01,32,"rect",0.848324006795883
"waveform",0.824000000953674,256,0.01,16,"rect",0.84776536822319
"waveform",0.832799971103668,512,0.1,16,"cone",0.846368706226349
"waveform",0.78959995508194,1024,1,3,"cone",0.846089386940002
"waveform",0.823199927806854,1024,0.1,4,"rect",0.845810079574585
"waveform",0.823199987411499,256,1,8,"rect",0.845810061693192
"waveform",0.819199979305267,256,0.01,8,"cone",0.844692742824555
"waveform",0.76639997959137,256,0.1,3,"cone",0.844413393735886
"waveform",0.819199979305267,512,0.1,32,"cone",0.84357540011406
"waveform",0.817599952220917,256,1,4,"cone",0.843016737699509
"waveform",0.811199963092804,1024,0.01,16,"cone",0.842458093166351
"waveform",0.81279993057251,512,0.1,8,"cone",0.840502780675888
"waveform",0.80239999294281,512,1,3,"cone",0.839385455846787
"waveform",0.807199895381927,256,0.01,3,"rect",0.838826829195023
"waveform",0.787199974060059,512,1,8,"cone",0.837430161237717
"waveform",0.778400003910065,256,1,2,"rect",0.837150830030441
"waveform",0.82559996843338,1024,0.1,3,"rect",0.836871498823166
"waveform",0.815999984741211,1024,1,4,"cone",0.836871480941772
"waveform",0.800799965858459,256,0.01,8,"rect",0.835474860668182
"waveform",0.798399925231934,512,0.1,2,"rect",0.83463688492775
"waveform",0.812000036239624,1024,0.1,8,"cone",0.834636867046356
"waveform",0.790399968624115,256,1,4,"rect",0.833519548177719
"waveform",0.803199946880341,512,0.01,16,"rect",0.832402235269547
"waveform",0.802399933338165,512,0.01,16,"cone",0.831843549013138
"waveform",0.843999981880188,512,1,2,"rect",0.83072624206543
"waveform",0.827999949455261,512,0.1,4,"cone",0.830446910858154
"waveform",0.807199954986572,256,1,16,"cone",0.829888266324997
"waveform",0.809599995613098,256,0.1,4,"cone",0.829329597949982
"waveform",0.81439995765686,256,0.01,4,"cone",0.829329580068588
"waveform",0.783200025558472,512,0.1,4,"rect",0.827374291419983
"waveform",0.808799982070923,1024,0.01,8,"cone",0.825418972969055
"waveform",0.789600014686584,256,0.1,2,"rect",0.825139635801315
"waveform",0.822400033473969,1024,0.01,3,"cone",0.824301666021347
"waveform",0.82559996843338,1024,0.1,4,"cone",0.823743015527725
"waveform",0.781599938869476,512,0.1,3,"cone",0.822067022323609
