"dataset","nhidden","learningrate","valAccuracy","nlayers","layerForm","testAccuracy"
"wall-following",512,1,0.39856803715229,32,"rect",0.404692113399506
"wall-following",1024,0.01,0.398568034172058,32,"cone",0.404692053794861
"wall-following",512,0.1,0.398568034172058,32,"cone",0.404692053794861
"wall-following",512,1,0.393317437171936,32,"cone",0.404692053794861
"wall-following",1024,1,0.390692138671875,32,"cone",0.404692053794861
"wall-following",256,1,0.388066843152046,32,"rect",0.404692053794861
"wall-following",256,1,0.388066840171814,32,"cone",0.404692053794861
"wall-following",256,0.01,0.385441544651985,32,"cone",0.384164243936539
"wall-following",512,0.1,0.38281624019146,32,"rect",0.404692053794861
"wall-following",256,0.1,0.380906936526299,32,"rect",0.404692053794861
"wall-following",256,0.1,0.378997626900673,32,"cone",0.342375367879868
"wall-following",1024,1,0.37756564617157,16,"rect",0.384164243936539
"wall-following",256,1,0.37756564617157,16,"rect",0.384164243936539
"wall-following",1024,1,0.374940350651741,32,"rect",0.384164243936539
"wall-following",1024,0.1,0.176372316479683,32,"rect",0.384164243936539
