"dataset","nlayers","learningrate","layerForm","valAccuracy","testAccuracy","nhidden"
"plant-shape",2,0.01,"rect",0.321359238028526,0.284999996423721,256
"plant-shape",2,0.01,"rect",0.310679629445076,0.272499978542328,512
"plant-shape",3,0.1,"cone",0.308737868070602,0.282499969005585,256
"plant-shape",3,0.1,"cone",0.304854381084442,0.277500003576279,512
"plant-shape",3,0.1,"cone",0.289320403337479,0.274999976158142,1024
"plant-shape",2,0.1,"rect",0.289320403337479,0.267499983310699,512
"plant-shape",2,0.1,"rect",0.282524272799492,0.310000002384186,256
"plant-shape",2,0.1,"cone",0.279611667990685,0.252499997615814,512
"plant-shape",4,0.1,"cone",0.27669901996851,0.252499997615814,512
"plant-shape",4,0.1,"cone",0.274757292866707,0.282499998807907,1024
"plant-shape",3,0.1,"rect",0.269902926683426,0.317499965429306,256
"plant-shape",2,0.1,"cone",0.266990299522877,0.267499983310699,256
"plant-shape",2,0.01,"rect",0.266019412875175,0.277499973773956,1024
"plant-shape",2,0.01,"cone",0.260194176435471,0.217499986290932,512
"plant-shape",4,0.1,"rect",0.257281558215618,0.252499997615814,512
"plant-shape",8,0.1,"cone",0.248543690145016,0.324999988079071,256
"plant-shape",3,0.1,"rect",0.233980590105057,0.257499992847443,512
"plant-shape",2,0.1,"rect",0.230097086727619,0.212500005960464,1024
"plant-shape",3,0.1,"rect",0.228155344724655,0.237499982118607,1024
"plant-shape",2,0.01,"cone",0.225242719054222,0.257499992847443,256
"plant-shape",4,0.1,"rect",0.216504861414433,0.219999998807907,1024
"plant-shape",2,0.1,"cone",0.214563108980656,0.237500011920929,1024
"plant-shape",3,0.01,"rect",0.200000005960464,0.202499985694885,256
"plant-shape",4,0.1,"cone",0.199029126763344,0.235000014305115,256
"plant-shape",2,0.01,"cone",0.19611651301384,0.237499982118607,1024
"plant-shape",8,0.1,"cone",0.175728152692318,0.180000007152557,1024
"plant-shape",8,0.1,"cone",0.17475728392601,0.177499994635582,512
"plant-shape",3,0.01,"cone",0.146601945161819,0.1875,256
"plant-shape",8,0.1,"rect",0.141747575998306,0.149999991059303,256
"plant-shape",4,0.01,"rect",0.136893209815025,0.129999995231628,256
"plant-shape",3,0.01,"rect",0.136893203854561,0.155000001192093,1024
"plant-shape",4,0.01,"rect",0.135922339558601,0.119999997317791,1024
"plant-shape",8,0.1,"rect",0.131067961454391,0.135000005364418,512
"plant-shape",8,0.1,"rect",0.12524271979928,0.137499988079071,1024
"plant-shape",3,0.01,"rect",0.123300975561142,0.149999991059303,512
"plant-shape",4,0.01,"rect",0.109708741307259,0.0850000008940697,512
"plant-shape",3,0.01,"cone",0.102912623435259,0.120000004768372,1024
"plant-shape",4,0.01,"cone",0.100970874726772,0.114999994635582,512
"plant-shape",4,0.01,"cone",0.0951456367969513,0.0900000035762787,1024
"plant-shape",3,0.01,"cone",0.0883495181798935,0.127499997615814,512
"plant-shape",8,0.01,"rect",0.0834951490163803,0.0350000001490116,256
"plant-shape",8,0.01,"cone",0.0708737883716822,0.0399999991059303,512
"plant-shape",4,0.01,"cone",0.0553398080170155,0.0775000005960464,256
"plant-shape",2,1,"cone",0.0436893213540316,0.0700000002980232,256
"plant-shape",8,0.01,"rect",0.0417475737631321,0.0324999988079071,512
"plant-shape",16,0.01,"rect",0.0378640787675977,0.0299999993294477,1024
"plant-shape",8,0.01,"cone",0.0339805830270052,0.0374999977648258,1024
"plant-shape",4,1,"rect",0.0320388354361057,0.0625,512
"plant-shape",3,1,"cone",0.0300970887765288,0.0324999988079071,512
"plant-shape",2,1,"rect",0.0300970876589417,0.0299999993294477,256
"plant-shape",16,0.01,"rect",0.029126213863492,0.0199999995529652,256
"plant-shape",4,1,"cone",0.0271844666451216,0.0124999992549419,512
"plant-shape",2,1,"rect",0.0262135926634073,0.0299999993294477,1024
