"dataset","learningrate","nlayers","valAccuracy","layerForm","nhidden","testAccuracy"
"heart-cleveland",0.1,2,0.638095283508301,"rect",1024,0.578947365283966
"heart-cleveland",0.1,2,0.633333379030228,"rect",512,0.552631556987762
"heart-cleveland",0.1,16,0.628571456670761,"rect",256,0.592105269432068
"heart-cleveland",1,2,0.628571456670761,"rect",1024,0.552631556987762
"heart-cleveland",0.1,8,0.623809558153152,"rect",1024,0.618421077728271
"heart-cleveland",0.01,2,0.61904764175415,"rect",256,0.618421077728271
"heart-cleveland",0.1,3,0.614285755157471,"rect",512,0.605263113975525
"heart-cleveland",0.01,4,0.614285737276077,"rect",1024,0.578947365283966
"heart-cleveland",1,4,0.614285737276077,"cone",512,0.592105269432068
"heart-cleveland",1,3,0.614285737276077,"cone",256,0.618421018123627
"heart-cleveland",0.1,8,0.609523832798004,"rect",512,0.605263113975525
"heart-cleveland",1,4,0.609523832798004,"cone",256,0.539473712444305
"heart-cleveland",0.01,3,0.604761928319931,"rect",512,0.618421077728271
"heart-cleveland",0.1,4,0.600000023841858,"rect",512,0.605263113975525
"heart-cleveland",0.1,4,0.595238119363785,"rect",256,0.592105269432068
"heart-cleveland",0.01,2,0.595238119363785,"cone",512,0.60526317358017
"heart-cleveland",0.01,2,0.590476214885712,"rect",1024,0.592105269432068
"heart-cleveland",1,4,0.585714310407638,"cone",1024,0.60526317358017
"heart-cleveland",1,3,0.585714310407638,"rect",256,0.5
"heart-cleveland",1,2,0.585714310407638,"rect",512,0.592105269432068
"heart-cleveland",1,8,0.580952405929565,"cone",256,0.618421018123627
"heart-cleveland",1,4,0.580952405929565,"rect",1024,0.486842095851898
"heart-cleveland",0.01,3,0.580952405929565,"rect",1024,0.578947365283966
"heart-cleveland",1,3,0.580952405929565,"cone",512,0.60526317358017
"heart-cleveland",1,2,0.576190501451492,"cone",512,0.592105269432068
"heart-cleveland",0.1,2,0.571428602933884,"cone",512,0.60526317358017
"heart-cleveland",0.01,3,0.571428596973419,"rect",256,0.618421018123627
"heart-cleveland",0.01,2,0.571428596973419,"cone",256,0.578947305679321
"heart-cleveland",0.1,2,0.571428596973419,"rect",256,0.592105269432068
"heart-cleveland",1,2,0.571428596973419,"cone",1024,0.605263113975525
"heart-cleveland",1,2,0.566666698455811,"rect",256,0.592105269432068
"heart-cleveland",0.01,2,0.566666692495346,"rect",512,0.565789461135864
"heart-cleveland",1,8,0.561904788017273,"cone",1024,0.473684221506119
"heart-cleveland",1,3,0.561904788017273,"cone",1024,0.592105269432068
"heart-cleveland",0.1,2,0.561904788017273,"cone",1024,0.631578922271729
"heart-cleveland",0.1,3,0.5571428835392,"cone",1024,0.578947365283966
"heart-cleveland",1,4,0.552380979061127,"rect",256,0.5
"heart-cleveland",1,3,0.552380979061127,"rect",1024,0.605263113975525
"heart-cleveland",0.1,3,0.538095265626907,"rect",256,0.618421077728271
"heart-cleveland",0.1,4,0.533333361148834,"rect",1024,0.618421077728271
"heart-cleveland",1,2,0.528571456670761,"cone",256,0.578947365283966
"heart-cleveland",1,4,0.523809552192688,"rect",512,0.552631556987762
"heart-cleveland",0.01,4,0.523809552192688,"rect",512,0.618421077728271
"heart-cleveland",0.01,4,0.523809552192688,"rect",256,0.578947365283966
"heart-cleveland",0.01,3,0.523809552192688,"cone",256,0.552631556987762
"heart-cleveland",0.1,2,0.519047647714615,"cone",256,0.565789461135864
"heart-cleveland",0.1,16,0.514285743236542,"rect",512,0.35526317358017
"heart-cleveland",0.01,3,0.514285743236542,"cone",512,0.605263113975525
"heart-cleveland",0.1,4,0.509523838758469,"cone",256,0.565789461135864
"heart-cleveland",0.1,3,0.504761934280395,"rect",1024,0.605263113975525
"heart-cleveland",0.01,2,0.490476220846176,"cone",1024,0.565789461135864
"heart-cleveland",0.01,4,0.485714316368103,"cone",256,0.605263113975525
"heart-cleveland",0.01,3,0.485714316368103,"cone",1024,0.60526317358017
"heart-cleveland",0.01,4,0.48095241189003,"cone",512,0.565789461135864
"heart-cleveland",1,8,0.471428602933884,"rect",512,0.565789461135864
"heart-cleveland",0.1,3,0.461904793977737,"cone",512,0.565789461135864
"heart-cleveland",0.1,8,0.457142889499664,"rect",256,0.631578922271729
"heart-cleveland",0.01,32,0.4571428835392,"rect",256,0.605263113975525
"heart-cleveland",0.1,3,0.452380985021591,"cone",256,0.565789461135864
"heart-cleveland",1,3,0.452380979061127,"rect",512,0.460526317358017
"heart-cleveland",1,16,0.442857176065445,"rect",256,0.565789461135864
"heart-cleveland",0.1,4,0.442857176065445,"cone",512,0.565789461135864
"heart-cleveland",0.01,8,0.438095271587372,"rect",1024,0.565789461135864
"heart-cleveland",0.1,4,0.438095271587372,"cone",1024,0.565789461135864
"heart-cleveland",0.01,8,0.433333367109299,"rect",256,0.565789461135864
"heart-cleveland",1,8,0.433333358168602,"cone",512,0.342105269432068
"heart-cleveland",0.01,32,0.428571462631226,"cone",1024,0.565789461135864
"heart-cleveland",0.01,32,0.428571462631226,"cone",512,0.565789461135864
"heart-cleveland",1,32,0.428571462631226,"cone",1024,0.565789461135864
"heart-cleveland",0.01,16,0.428571462631226,"cone",1024,0.565789461135864
"heart-cleveland",0.01,16,0.428571462631226,"rect",1024,0.565789461135864
"heart-cleveland",0.01,16,0.428571462631226,"cone",512,0.565789461135864
"heart-cleveland",0.01,16,0.428571462631226,"rect",512,0.565789461135864
"heart-cleveland",0.01,16,0.428571462631226,"cone",256,0.565789461135864
"heart-cleveland",0.01,16,0.428571462631226,"rect",256,0.565789461135864
"heart-cleveland",0.1,16,0.428571462631226,"cone",1024,0.565789461135864
"heart-cleveland",0.1,16,0.428571462631226,"cone",512,0.565789461135864
"heart-cleveland",0.1,16,0.428571462631226,"cone",256,0.565789461135864
"heart-cleveland",1,16,0.428571462631226,"rect",1024,0.565789461135864
"heart-cleveland",0.01,8,0.428571462631226,"cone",1024,0.565789461135864
"heart-cleveland",0.01,8,0.428571462631226,"cone",512,0.565789461135864
"heart-cleveland",0.01,8,0.428571462631226,"rect",512,0.565789461135864
"heart-cleveland",0.01,8,0.428571462631226,"cone",256,0.565789461135864
"heart-cleveland",0.1,8,0.428571462631226,"cone",1024,0.565789461135864
"heart-cleveland",0.1,8,0.428571462631226,"cone",512,0.565789461135864
"heart-cleveland",0.1,8,0.428571462631226,"cone",256,0.565789461135864
"heart-cleveland",1,8,0.428571462631226,"rect",1024,0.565789461135864
"heart-cleveland",1,8,0.428571462631226,"rect",256,0.565789461135864
"heart-cleveland",0.01,4,0.428571462631226,"cone",1024,0.565789461135864
"heart-cleveland",0.1,32,0.404761935770512,"cone",512,0.565789461135864
"heart-cleveland",1,32,0.400000031292438,"rect",1024,0.565789461135864
"heart-cleveland",1,16,0.400000031292438,"rect",512,0.565789461135864
"heart-cleveland",0.1,32,0.395238126069307,"rect",256,0.565789461135864
"heart-cleveland",0.1,16,0.380952408909798,"rect",1024,0.552631556987762
"heart-cleveland",0.01,32,0.37619049847126,"cone",256,0.355263143777847
"heart-cleveland",1,32,0.361904789507389,"cone",256,0.565789461135864
"heart-cleveland",0.1,32,0.328571450710297,"rect",1024,0.105263166129589
"heart-cleveland",0.1,32,0.257142873853445,"rect",512,0.11842105537653
"heart-cleveland",1,32,0.257142870128155,"rect",512,0.565789461135864
"heart-cleveland",1,32,0.238095252215862,"cone",512,0.105263166129589
"heart-cleveland",1,16,0.219047629833221,"cone",512,0.105263166129589
"heart-cleveland",0.01,32,0.185714292526245,"rect",512,0.13157893717289
"heart-cleveland",0.01,32,0.185714289546013,"rect",1024,0.105263166129589
"heart-cleveland",1,16,0.176190478354692,"cone",1024,0.105263166129589
"heart-cleveland",1,32,0.171428580582142,"rect",256,0.171052649617195
"heart-cleveland",1,16,0.152380956709385,"cone",256,0.105263166129589
"heart-cleveland",0.1,32,0.142857149243355,"cone",256,0.11842105537653
"heart-cleveland",0.1,32,0.095238097012043,"cone",1024,0.039473682641983
