"dataset","nhidden","valAccuracy","testAccuracy","layerForm","learningrate","nlayers"
"breast-cancer",256,0.905263179540634,0.732394337654114,"cone",1,3
"breast-cancer",256,0.900000041723252,0.690140843391418,"cone",0.01,4
"breast-cancer",512,0.894736886024475,0.718309819698334,"rect",0.01,3
"breast-cancer",1024,0.894736874103546,0.774647831916809,"cone",1,4
"breast-cancer",512,0.884210562705994,0.704225301742554,"cone",0.01,3
"breast-cancer",256,0.884210556745529,0.704225301742554,"rect",0.1,16
"breast-cancer",256,0.878947395086288,0.690140843391418,"cone",1,4
"breast-cancer",1024,0.873684239387512,0.746478855609894,"cone",1,3
"breast-cancer",1024,0.873684239387512,0.704225301742554,"rect",0.01,2
"breast-cancer",512,0.873684227466583,0.760563373565674,"cone",1,8
"breast-cancer",1024,0.873684227466583,0.746478855609894,"rect",0.1,8
"breast-cancer",256,0.868421077728271,0.704225301742554,"cone",0.01,8
"breast-cancer",1024,0.868421071767807,0.732394337654114,"cone",0.01,3
"breast-cancer",1024,0.863157922029495,0.704225361347198,"cone",0.1,16
"breast-cancer",1024,0.863157916069031,0.704225301742554,"cone",0.01,2
"breast-cancer",1024,0.85789475440979,0.746478855609894,"cone",1,2
"breast-cancer",256,0.85789475440979,0.760563373565674,"cone",1,2
"breast-cancer",512,0.85789475440979,0.704225301742554,"cone",0.01,4
"breast-cancer",1024,0.85789475440979,0.704225301742554,"rect",0.1,4
"breast-cancer",1024,0.85789475440979,0.704225301742554,"rect",0.01,3
"breast-cancer",256,0.85789475440979,0.704225301742554,"rect",0.01,2
"breast-cancer",512,0.852631592750549,0.704225301742554,"rect",0.1,8
"breast-cancer",1024,0.852631592750549,0.704225301742554,"cone",0.01,4
"breast-cancer",512,0.852631592750549,0.704225301742554,"rect",0.01,4
"breast-cancer",1024,0.852631592750549,0.704225301742554,"cone",0.1,4
"breast-cancer",512,0.852631592750549,0.704225301742554,"rect",0.1,4
"breast-cancer",256,0.852631592750549,0.676056325435638,"rect",0.01,3
"breast-cancer",1024,0.852631592750549,0.704225301742554,"cone",0.1,3
"breast-cancer",1024,0.852631592750549,0.704225301742554,"rect",0.1,3
"breast-cancer",1024,0.852631592750549,0.704225301742554,"cone",0.1,2
"breast-cancer",256,0.847368431091309,0.704225301742554,"rect",0.01,32
"breast-cancer",512,0.847368431091309,0.704225301742554,"cone",0.1,32
"breast-cancer",256,0.847368431091309,0.704225301742554,"rect",0.01,4
"breast-cancer",1024,0.847368431091309,0.704225301742554,"rect",0.1,2
"breast-cancer",256,0.847368431091309,0.704225301742554,"cone",0.1,2
"breast-cancer",256,0.847368431091309,0.704225301742554,"rect",0.1,2
"breast-cancer",1024,0.842105269432068,0.704225301742554,"cone",0.01,32
"breast-cancer",1024,0.842105269432068,0.704225301742554,"rect",0.01,32
"breast-cancer",512,0.842105269432068,0.704225301742554,"cone",0.01,32
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.01,32
"breast-cancer",1024,0.842105269432068,0.704225301742554,"cone",0.1,32
"breast-cancer",1024,0.842105269432068,0.704225301742554,"rect",0.1,32
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",0.1,32
"breast-cancer",256,0.842105269432068,0.704225301742554,"rect",0.1,32
"breast-cancer",1024,0.842105269432068,0.704225301742554,"cone",1,32
"breast-cancer",512,0.842105269432068,0.704225301742554,"rect",1,32
"breast-cancer",256,0.842105269432068,0.704225301742554,"cone",1,32
"breast-cancer",1024,0.842105269432068,0.704225301742554,"cone",0.01,16
