"dataset","nlayers","layerForm","testAccuracy","valAccuracy","learningrate","nhidden"
"arrhythmia",32,"cone",0.168141588568687,0.232352951169014,0.01,1024
"arrhythmia",16,"rect",0.0176991149783134,0.164705887436867,1,256
"arrhythmia",8,"rect",0.159292042255402,0.144117649272084,1,512
"arrhythmia",32,"rect",0.584070801734924,0.141176475584507,1,1024
"arrhythmia",8,"rect",0.212389379739761,0.129411771893501,1,1024
"arrhythmia",32,"cone",0.584070801734924,0.129411769844592,0.1,256
"arrhythmia",32,"rect",0.106194689869881,0.117647059261799,0.01,1024
"arrhythmia",32,"cone",0.106194689869881,0.117647059261799,0.1,1024
"arrhythmia",32,"cone",0.0973451286554337,0.0882352963089943,0.1,512
"arrhythmia",8,"cone",0.115044251084328,0.0882352951914072,1,1024
"arrhythmia",32,"rect",0.0265486724674702,0.0647058827802539,0.1,512
"arrhythmia",32,"rect",0.0265486724674702,0.0588235307484865,0.01,512
"arrhythmia",16,"cone",0.0442477874457836,0.0500000005587935,1,256
"arrhythmia",32,"cone",0.0176991149783134,0.0441176472231746,1,512
"arrhythmia",32,"rect",0.0530973449349403,0.0352941179648042,0.01,256
"arrhythmia",32,"rect",0.0176991149783134,0.0352941177785397,0.1,1024
"arrhythmia",16,"rect",0.0265486724674702,0.0294117648154497,0.1,512
"arrhythmia",16,"cone",0.0265486724674702,0.0235294122248888,1,512
"arrhythmia",16,"rect",0.0265486724674702,0.0117647059261799,0.1,1024
"arrhythmia",16,"cone",0.00884955748915672,0,1,1024
