"dataset","testAccuracy","layerForm","learningrate","nlayers","valAccuracy","nhidden"
"nursery",0.999382734298706,"cone",1,2,0.999999940395355,1024
"nursery",0.999691367149353,"rect",1,2,0.999999940395355,512
"nursery",1,"cone",1,4,0.999897062778473,1024
"nursery",1,"cone",1,3,0.999794173240662,256
"nursery",1,"cone",1,2,0.999794173240662,512
"nursery",1,"cone",1,4,0.999691295623779,512
"nursery",1,"cone",1,2,0.999691295623779,256
"nursery",1,"rect",1,2,0.999691295623779,256
"nursery",0.999382734298706,"cone",1,4,0.999588429927826,256
"nursery",1,"cone",0.1,16,0.999588406085968,256
"nursery",0.999691367149353,"rect",1,4,0.999485540390015,1024
"nursery",0.999382734298706,"rect",1,4,0.999485540390015,256
"nursery",0.999074101448059,"cone",0.1,8,0.999382662773132,256
"nursery",0.999691367149353,"rect",1,8,0.99927978515625,512
"nursery",0.997839450836182,"rect",1,8,0.999279779195786,1024
"nursery",0.998148083686829,"cone",1,16,0.999279767274857,256
"nursery",0.999691367149353,"rect",1,3,0.999279767274857,512
"nursery",0.999074101448059,"rect",1,3,0.999176895618439,1024
"nursery",0.999074101448059,"rect",1,3,0.999176895618439,256
"nursery",0.999074101448059,"rect",1,2,0.99917688369751,1024
"nursery",1,"cone",1,8,0.999074018001556,1024
"nursery",0.999382734298706,"rect",0.1,2,0.998765367269516,256
"nursery",0.99753075838089,"rect",1,8,0.998353844881058,256
"nursery",0.995987594127655,"rect",0.01,2,0.998250961303711,512
"nursery",0.996604800224304,"rect",1,16,0.998148083686829,1024
"nursery",0.999691367149353,"rect",1,4,0.997942340373993,512
"nursery",0.994135737419128,"rect",1,16,0.997736579179764,512
"nursery",0.997222185134888,"cone",1,8,0.997633683681488,256
"nursery",0.999074101448059,"rect",1,16,0.997325050830841,256
"nursery",0.996604800224304,"cone",1,16,0.997222167253494,512
"nursery",1,"cone",1,8,0.996707773208618,512
"nursery",0.995061635971069,"cone",0.01,16,0.996296268701554,1024
"nursery",0.992901086807251,"cone",0.01,8,0.995884740352631,1024
"nursery",0.994753003120422,"cone",0.01,8,0.994958806037903,512
"nursery",0.990740716457367,"cone",0.01,8,0.994753056764603,256
"nursery",0.989814698696136,"rect",0.1,32,0.994547289609909,1024
