"dataset","testAccuracy","nhidden","valAccuracy","learningrate","nlayers","layerForm"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,3,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,3,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.1,3,"cone"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.1,3,"rect"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.01,2,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.01,2,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.01,2,"rect"
"haberman-survival",0.736842095851898,1024,0.839999973773956,0.1,2,"cone"
"haberman-survival",0.710526287555695,1024,0.839999973773956,0.1,2,"rect"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,2,"cone"
"haberman-survival",0.736842095851898,512,0.839999973773956,0.1,2,"rect"
"haberman-survival",0.736842095851898,256,0.839999973773956,0.1,2,"rect"
"haberman-survival",0.736842095851898,512,0.831999975442886,1,3,"cone"
"haberman-survival",0.736842095851898,512,0.831999969482422,1,2,"cone"
"haberman-survival",0.710526287555695,256,0.831999969482422,0.1,16,"rect"
"haberman-survival",0.723684191703796,512,0.823999977111816,1,8,"cone"
"haberman-survival",0.631578981876373,512,0.807999974489212,1,16,"rect"
"haberman-survival",0.736842095851898,1024,0.795999974012375,1,16,"rect"
"haberman-survival",0.263157904148102,1024,0.771999976038933,0.1,32,"rect"
"haberman-survival",0.736842095851898,512,0.771999976038933,1,8,"rect"
"haberman-survival",0.776315808296204,512,0.763999971747398,1,4,"rect"
"haberman-survival",0.723684251308441,256,0.751999986171722,1,2,"rect"
"haberman-survival",0.631578922271729,512,0.731999985873699,1,2,"rect"
"haberman-survival",0.736842095851898,1024,0.723999983072281,1,3,"rect"
"haberman-survival",0.763157844543457,512,0.715999978780746,1,3,"rect"
"haberman-survival",0.736842095851898,256,0.703999978303909,0.1,32,"rect"
"haberman-survival",0.736842095851898,512,0.703999978303909,0.1,32,"rect"
"haberman-survival",0.736842095851898,1024,0.679999980330467,1,4,"rect"
"haberman-survival",0.671052634716034,256,0.643999966979027,1,4,"rect"
"haberman-survival",0.263157904148102,256,0.635999980568886,1,32,"rect"
"haberman-survival",0.736842095851898,256,0.615999974310398,1,3,"rect"
"haberman-survival",0.302631586790085,1024,0.579999977350235,1,2,"rect"
"haberman-survival",0.263157904148102,256,0.567999982833862,1,16,"rect"
"haberman-survival",0.407894760370255,1024,0.455999982357025,1,8,"cone"
"haberman-survival",0.736842095851898,1024,0.431999987363815,0.1,16,"rect"
"haberman-survival",0.263157904148102,1024,0.363999989628792,0.01,32,"rect"
"haberman-survival",0.263157904148102,256,0.315999992191792,0.01,32,"rect"
"haberman-survival",0.263157904148102,1024,0.183999994397163,1,32,"rect"
"haberman-survival",0.263157904148102,256,0.159999996423721,0.1,32,"cone"
