"dataset","nhidden","valAccuracy","layerForm","testAccuracy","nlayers","learningrate"
"breast-cancer-wisc-diag",512,1,"rect",0.978873193264008,3,0.01
"breast-cancer-wisc-diag",1024,1,"rect",0.978873133659363,2,0.01
"breast-cancer-wisc-diag",1024,0.99761905670166,"cone",0.971830904483795,3,1
"breast-cancer-wisc-diag",1024,0.976190567016602,"rect",0.978873193264008,4,0.1
"breast-cancer-wisc-diag",512,0.976190567016602,"cone",0.943662047386169,4,1
"breast-cancer-wisc-diag",512,0.976190567016602,"rect",0.964788675308228,3,0.1
"breast-cancer-wisc-diag",1024,0.976190567016602,"cone",0.97183096408844,2,0.01
"breast-cancer-wisc-diag",512,0.976190567016602,"rect",0.964788675308228,2,0.01
"breast-cancer-wisc-diag",256,0.976190567016602,"cone",0.971830904483795,2,0.1
"breast-cancer-wisc-diag",256,0.976190567016602,"cone",0.97183096408844,2,1
"breast-cancer-wisc-diag",512,0.971428656578064,"cone",0.971831023693085,3,1
"breast-cancer-wisc-diag",512,0.969047701358795,"cone",0.957746505737305,2,0.01
"breast-cancer-wisc-diag",256,0.966666746139526,"cone",0.97183096408844,4,1
"breast-cancer-wisc-diag",1024,0.966666722297668,"cone",0.978873193264008,2,0.1
"breast-cancer-wisc-diag",512,0.964285790920258,"rect",0.978873133659363,4,1
"breast-cancer-wisc-diag",256,0.964285790920258,"cone",0.971831023693085,3,1
"breast-cancer-wisc-diag",1024,0.95952388048172,"cone",0.978873252868652,2,1
"breast-cancer-wisc-diag",1024,0.957142925262451,"rect",0.97183096408844,3,1
"breast-cancer-wisc-diag",256,0.954761970043182,"cone",0.971830904483795,2,0.01
"breast-cancer-wisc-diag",256,0.954761970043182,"rect",0.950704157352448,2,0.01
"breast-cancer-wisc-diag",256,0.952381014823914,"rect",0.964788675308228,4,0.1
"breast-cancer-wisc-diag",1024,0.952381014823914,"rect",0.97183096408844,4,1
"breast-cancer-wisc-diag",512,0.952381014823914,"cone",0.94366192817688,3,0.01
"breast-cancer-wisc-diag",256,0.952381014823914,"rect",0.95774644613266,3,0.01
"breast-cancer-wisc-diag",1024,0.952381014823914,"rect",0.97183096408844,3,0.1
"breast-cancer-wisc-diag",512,0.952381014823914,"rect",0.978873133659363,2,0.1
"breast-cancer-wisc-diag",1024,0.950000059604645,"rect",0.97183096408844,2,1
"breast-cancer-wisc-diag",256,0.950000059604645,"cone",0.985915422439575,8,1
"breast-cancer-wisc-diag",512,0.950000059604645,"cone",0.950704276561737,3,0.1
"breast-cancer-wisc-diag",1024,0.950000059604645,"rect",0.97183096408844,2,0.1
"breast-cancer-wisc-diag",1024,0.947619104385376,"rect",0.929577469825745,8,0.1
"breast-cancer-wisc-diag",512,0.947619104385376,"rect",0.98591548204422,2,1
"breast-cancer-wisc-diag",1024,0.942857193946839,"cone",0.964788794517517,8,1
"breast-cancer-wisc-diag",256,0.942857193946839,"rect",0.964788675308228,3,0.1
"breast-cancer-wisc-diag",1024,0.942857193946838,"cone",0.978873193264008,4,1
"breast-cancer-wisc-diag",256,0.942857193946838,"cone",0.922535240650177,3,0.01
