"dataset","testAccuracy","nlayers","valAccuracy","layerForm","nhidden","learningrate"
"bank",0.882300913333893,3,0.886118936538696,"cone",256,1
"bank",0.891150414943695,4,0.878186976909638,"cone",1024,1
"bank",0.884070813655853,4,0.875920677185059,"rect",256,1
"bank",0.885840654373169,8,0.869971626996994,"cone",1024,1
"bank",0.885840773582458,2,0.869121813774109,"rect",256,1
"bank",0.884070754051208,4,0.869121789932251,"cone",256,1
"bank",0.884955763816833,3,0.868555217981339,"cone",512,1
"bank",0.884955763816833,4,0.86827192902565,"cone",512,1
"bank",0.884955704212189,3,0.867705351114273,"cone",1024,1
"bank",0.884955644607544,2,0.867422086000442,"cone",256,0.01
"bank",0.884955763816833,2,0.867422080039978,"cone",256,1
"bank",0.884955763816833,2,0.867138791084289,"cone",256,0.1
"bank",0.884955704212189,3,0.86685551404953,"cone",1024,0.01
"bank",0.884955704212189,32,0.866855508089066,"rect",256,0.01
"bank",0.884955763816833,16,0.866855508089066,"cone",1024,0.01
"bank",0.884955644607544,16,0.866855508089066,"cone",512,0.1
"bank",0.884955704212189,16,0.866855508089066,"rect",512,1
"bank",0.884955644607544,8,0.866855508089066,"cone",512,0.01
"bank",0.884955704212189,8,0.866855508089066,"cone",1024,0.1
"bank",0.884955763816833,8,0.866855508089066,"cone",256,0.1
"bank",0.884955763816833,4,0.866855508089066,"rect",512,0.01
"bank",0.884955704212189,3,0.866855508089066,"rect",1024,0.1
"bank",0.884955704212189,2,0.866855508089066,"rect",1024,0.01
"bank",0.884955644607544,2,0.866855508089066,"cone",512,0.1
"bank",0.884955644607544,32,0.866855508089065,"cone",1024,0.01
"bank",0.884955704212189,32,0.866855508089065,"cone",256,0.1
"bank",0.884955644607544,16,0.866855508089065,"cone",1024,1
"bank",0.884955644607544,8,0.866855508089065,"rect",256,1
"bank",0.884955763816833,2,0.866855508089065,"rect",256,0.1
"bank",0.884955763816833,32,0.866855502128601,"rect",1024,0.01
"bank",0.884955763816833,32,0.866855502128601,"cone",512,0.01
"bank",0.884955763816833,32,0.866855502128601,"rect",512,0.01
"bank",0.884955704212189,32,0.866855502128601,"cone",256,0.01
"bank",0.884955704212189,32,0.866855502128601,"cone",1024,0.1
"bank",0.884955644607544,32,0.866855502128601,"rect",1024,0.1
"bank",0.884955763816833,32,0.866855502128601,"cone",512,0.1
"bank",0.884955644607544,32,0.866855502128601,"cone",1024,1
"bank",0.884955704212189,32,0.866855502128601,"rect",1024,1
"bank",0.884955644607544,32,0.866855502128601,"cone",512,1
"bank",0.884955644607544,32,0.866855502128601,"rect",256,1
"bank",0.884955763816833,16,0.866855502128601,"rect",1024,0.01
"bank",0.884955644607544,16,0.866855502128601,"cone",512,0.01
"bank",0.884955704212189,16,0.866855502128601,"rect",512,0.01
"bank",0.884955763816833,16,0.866855502128601,"cone",256,0.01
"bank",0.884955644607544,16,0.866855502128601,"rect",256,0.01
"bank",0.884955704212189,16,0.866855502128601,"cone",1024,0.1
"bank",0.884955704212189,16,0.866855502128601,"rect",1024,0.1
"bank",0.884955763816833,16,0.866855502128601,"rect",512,0.1
"bank",0.884955644607544,16,0.866855502128601,"cone",256,0.1
"bank",0.884955763816833,16,0.866855502128601,"rect",256,0.1
"bank",0.884955763816833,16,0.866855502128601,"rect",1024,1
"bank",0.884955644607544,16,0.866855502128601,"cone",512,1
"bank",0.884955644607544,16,0.866855502128601,"cone",256,1
"bank",0.884955704212189,16,0.866855502128601,"rect",256,1
"bank",0.884955704212189,8,0.866855502128601,"cone",1024,0.01
"bank",0.884955763816833,8,0.866855502128601,"rect",1024,0.01
"bank",0.884955704212189,8,0.866855502128601,"rect",512,0.01
"bank",0.884955763816833,8,0.866855502128601,"cone",256,0.01
"bank",0.884955704212189,8,0.866855502128601,"rect",256,0.01
"bank",0.884955704212189,8,0.866855502128601,"rect",1024,0.1
"bank",0.884955763816833,8,0.866855502128601,"cone",512,0.1
"bank",0.884955763816833,8,0.866855502128601,"rect",512,0.1
"bank",0.884955644607544,8,0.866855502128601,"rect",256,0.1
"bank",0.884955704212189,8,0.866855502128601,"rect",1024,1
"bank",0.884955763816833,4,0.866855502128601,"cone",1024,0.01
"bank",0.884955644607544,4,0.866855502128601,"rect",1024,0.01
"bank",0.884955763816833,4,0.866855502128601,"cone",512,0.01
"bank",0.884955704212189,4,0.866855502128601,"cone",256,0.01
"bank",0.884955704212189,4,0.866855502128601,"rect",256,0.01
"bank",0.884955763816833,4,0.866855502128601,"cone",1024,0.1
"bank",0.884955644607544,4,0.866855502128601,"rect",1024,0.1
"bank",0.884955763816833,4,0.866855502128601,"cone",512,0.1
"bank",0.884955704212189,4,0.866855502128601,"rect",512,0.1
"bank",0.884955763816833,4,0.866855502128601,"cone",256,0.1
"bank",0.884955763816833,4,0.866855502128601,"rect",256,0.1
"bank",0.884955644607544,4,0.866855502128601,"rect",512,1
"bank",0.884955763816833,3,0.866855502128601,"rect",1024,0.01
"bank",0.884955763816833,3,0.866855502128601,"cone",512,0.01
"bank",0.884955763816833,3,0.866855502128601,"rect",512,0.01
"bank",0.884955763816833,3,0.866855502128601,"cone",256,0.01
"bank",0.884955704212189,3,0.866855502128601,"rect",256,0.01
"bank",0.884955644607544,3,0.866855502128601,"cone",1024,0.1
"bank",0.884955704212189,3,0.866855502128601,"cone",512,0.1
"bank",0.884955763816833,3,0.866855502128601,"rect",512,0.1
"bank",0.884955763816833,3,0.866855502128601,"cone",256,0.1
"bank",0.884955763816833,3,0.866855502128601,"rect",256,0.1
"bank",0.884955763816833,3,0.866855502128601,"rect",256,1
"bank",0.884955763816833,2,0.866855502128601,"cone",1024,0.01
"bank",0.884955644607544,2,0.866855502128601,"cone",512,0.01
"bank",0.884955644607544,2,0.866855502128601,"rect",512,0.01
"bank",0.884955763816833,2,0.866855502128601,"rect",256,0.01
"bank",0.884955704212189,2,0.866855502128601,"cone",1024,0.1
"bank",0.884955704212189,2,0.866855502128601,"rect",1024,0.1
"bank",0.884955704212189,2,0.866855502128601,"rect",512,0.1
"bank",0.884955704212189,2,0.866855502128601,"cone",1024,1
"bank",0.884955644607544,2,0.866855502128601,"cone",512,1
"bank",0.886725664138794,8,0.866005641222,"cone",256,1
"bank",0.876106202602386,2,0.864022642374039,"rect",512,1
"bank",0.885840773582458,8,0.862322944402695,"cone",512,1
"bank",0.885840713977814,3,0.844192600250244,"rect",512,1
"bank",0.801769852638245,8,0.831444722414017,"rect",512,1
"bank",0.884955763816833,32,0.793484400212765,"cone",256,1
"bank",0.755752205848694,3,0.720963144302368,"rect",1024,1
"bank",0.884955644607544,4,0.72039657831192,"rect",1024,1
"bank",0.602654874324799,2,0.71841356754303,"rect",1024,1
"bank",0.115044251084328,32,0.573371094465256,"rect",512,0.1
"bank",0.884955763816833,32,0.490934827923775,"rect",256,0.1
"bank",0.115044251084328,32,0.133144482970238,"rect",512,1
