"dataset","learningrate","nhidden","nlayers","testAccuracy","valAccuracy","layerForm"
"blood",0.01,1024,32,0.764705836772919,0.803921639919281,"cone"
"blood",0.01,512,32,0.764705896377563,0.803921639919281,"cone"
"blood",0.01,256,32,0.764705896377563,0.803921639919281,"cone"
"blood",0.01,256,32,0.764705836772919,0.803921639919281,"rect"
"blood",0.1,1024,32,0.764705896377563,0.803921639919281,"cone"
"blood",0.1,512,32,0.764705836772919,0.803921639919281,"cone"
"blood",0.1,256,32,0.764705836772919,0.803921639919281,"cone"
"blood",1,1024,32,0.764705896377563,0.803921639919281,"cone"
"blood",1,1024,32,0.764705896377563,0.803921639919281,"rect"
"blood",1,512,32,0.764705836772919,0.803921639919281,"cone"
"blood",1,512,32,0.764705836772919,0.803921639919281,"rect"
"blood",1,256,32,0.764705836772919,0.803921639919281,"cone"
"blood",0.01,1024,16,0.764705896377563,0.803921639919281,"cone"
"blood",0.01,1024,16,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,512,16,0.764705896377563,0.803921639919281,"cone"
"blood",0.01,512,16,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,256,16,0.764705836772919,0.803921639919281,"cone"
"blood",0.01,256,16,0.764705836772919,0.803921639919281,"rect"
"blood",0.1,512,16,0.764705836772919,0.803921639919281,"cone"
"blood",0.1,256,16,0.764705896377563,0.803921639919281,"cone"
"blood",1,512,16,0.764705836772919,0.803921639919281,"rect"
"blood",0.01,1024,8,0.764705836772919,0.803921639919281,"cone"
"blood",0.01,1024,8,0.764705836772919,0.803921639919281,"rect"
"blood",0.01,512,8,0.764705896377563,0.803921639919281,"cone"
"blood",0.01,512,8,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,256,8,0.764705777168274,0.803921639919281,"cone"
"blood",0.01,256,8,0.764705896377563,0.803921639919281,"rect"
"blood",0.1,1024,8,0.764705896377563,0.803921639919281,"cone"
"blood",0.1,512,8,0.764705836772919,0.803921639919281,"cone"
"blood",0.1,512,8,0.764705836772919,0.803921639919281,"rect"
"blood",0.1,256,8,0.764705836772919,0.803921639919281,"cone"
"blood",0.1,256,8,0.770053446292877,0.803921639919281,"rect"
"blood",1,256,8,0.764705896377563,0.803921639919281,"cone"
"blood",1,256,8,0.764705836772919,0.803921639919281,"rect"
"blood",0.01,1024,4,0.764705777168274,0.803921639919281,"cone"
"blood",0.01,1024,4,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,512,4,0.764705836772919,0.803921639919281,"cone"
"blood",0.01,512,4,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,256,4,0.764705836772919,0.803921639919281,"cone"
"blood",0.01,256,4,0.764705896377563,0.803921639919281,"rect"
"blood",0.1,1024,4,0.764705777168274,0.803921639919281,"cone"
"blood",0.1,512,4,0.764705836772919,0.803921639919281,"cone"
"blood",0.1,512,4,0.764705896377563,0.803921639919281,"rect"
"blood",0.1,256,4,0.770053446292877,0.803921639919281,"cone"
"blood",0.1,256,4,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,1024,3,0.764705896377563,0.803921639919281,"cone"
"blood",0.01,1024,3,0.764705836772919,0.803921639919281,"rect"
"blood",0.01,512,3,0.770053505897522,0.803921639919281,"cone"
"blood",0.01,512,3,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,256,3,0.764705836772919,0.803921639919281,"cone"
"blood",0.01,256,3,0.764705896377563,0.803921639919281,"rect"
"blood",0.1,1024,3,0.764705896377563,0.803921639919281,"cone"
"blood",0.1,512,3,0.764705836772919,0.803921639919281,"cone"
"blood",0.1,256,3,0.764705896377563,0.803921639919281,"cone"
"blood",0.1,256,3,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,1024,2,0.764705896377563,0.803921639919281,"cone"
"blood",0.01,1024,2,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,512,2,0.764705836772919,0.803921639919281,"cone"
"blood",0.01,512,2,0.764705896377563,0.803921639919281,"rect"
"blood",0.01,256,2,0.770053386688232,0.803921639919281,"rect"
"blood",0.1,1024,2,0.764705896377563,0.803921639919281,"cone"
"blood",0.1,512,2,0.764705836772919,0.803921639919281,"cone"
"blood",0.1,256,2,0.764705836772919,0.803921639919281,"cone"
"blood",0.1,256,2,0.764705836772919,0.803921639919281,"rect"
"blood",0.1,512,2,0.764705896377563,0.801960855722427,"rect"
"blood",0.1,256,16,0.764705777168274,0.800000071525574,"rect"
"blood",0.1,512,3,0.764705836772919,0.800000071525574,"rect"
"blood",1,512,4,0.770053446292877,0.79803928732872,"cone"
"blood",0.1,1024,3,0.770053446292877,0.79803928732872,"rect"
"blood",0.1,1024,2,0.764705896377563,0.79803928732872,"rect"
"blood",0.1,1024,8,0.770053446292877,0.794117718935013,"rect"
"blood",0.1,512,16,0.737967848777771,0.792156934738159,"rect"
"blood",0.1,1024,4,0.770053446292877,0.790196150541306,"rect"
"blood",0.01,512,32,0.759358286857605,0.784313797950745,"rect"
"blood",0.1,1024,16,0.770053446292877,0.784313797950745,"cone"
"blood",1,256,4,0.770053505897522,0.784313797950745,"cone"
"blood",0.01,256,2,0.764705896377563,0.784313797950745,"cone"
"blood",1,256,2,0.770053446292877,0.780392229557037,"cone"
"blood",1,512,2,0.770053446292877,0.768627512454987,"rect"
"blood",1,1024,4,0.770053386688232,0.766666734218598,"cone"
"blood",1,256,3,0.770053446292877,0.758823591470718,"cone"
"blood",1,512,3,0.759358286857605,0.758823573589325,"rect"
"blood",1,1024,3,0.754010617733002,0.754902017116547,"cone"
"blood",1,1024,2,0.764705836772919,0.750980460643768,"rect"
"blood",1,512,3,0.754010677337646,0.747058868408203,"cone"
"blood",1,256,32,0.764705836772919,0.743137319386006,"rect"
"blood",1,1024,16,0.235294133424759,0.743137319386005,"rect"
"blood",1,1024,4,0.764705896377563,0.731372600793838,"rect"
"blood",1,512,2,0.754010677337646,0.725490236282349,"cone"
"blood",1,1024,2,0.732620298862457,0.723529475927353,"cone"
"blood",1,256,2,0.764705836772919,0.721568691730499,"rect"
"blood",1,512,8,0.561497330665588,0.711764770746231,"rect"
"blood",1,512,8,0.711229979991913,0.69019615650177,"cone"
"blood",1,1024,16,0.679144382476807,0.68431379199028,"cone"
"blood",1,512,4,0.764705896377563,0.682352983951569,"rect"
"blood",1,256,3,0.732620358467102,0.633333384990692,"rect"
"blood",1,1024,8,0.764705896377563,0.629411818087101,"rect"
"blood",1,256,4,0.598930478096008,0.615686345100403,"rect"
"blood",1,1024,3,0.582887709140778,0.558823579549789,"rect"
"blood",0.1,512,32,0.764705836772919,0.500000037252903,"rect"
"blood",1,256,16,0.764705777168274,0.500000037252903,"cone"
"blood",1,512,16,0.411764711141586,0.413725525140762,"cone"
"blood",1,256,16,0.764705836772919,0.378431396186352,"rect"
"blood",0.1,256,32,0.235294103622437,0.378431396186352,"rect"
"blood",1,1024,8,0.379679143428802,0.323529449105263,"cone"
"blood",0.1,1024,16,0.320855617523193,0.298039236664772,"rect"
"blood",0.01,1024,32,0.235294103622437,0.196078434586525,"rect"
"blood",0.1,1024,32,0.235294103622437,0.196078434586525,"rect"
