"dataset","valAccuracy","nlayers","nhidden","learningrate","layerForm","testAccuracy"
"pittsburg-bridges-MATERIAL",0.825,4,256,0.1,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.825,3,1024,0.01,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.825,2,512,1,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.825,2,512,0.01,"cone",0.923076927661896
"pittsburg-bridges-MATERIAL",0.8125,3,512,1,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.8125,8,1024,1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.8,16,1024,1,"cone",0.884615421295166
"pittsburg-bridges-MATERIAL",0.7875,4,512,1,"cone",0.807692408561707
"pittsburg-bridges-MATERIAL",0.7875,4,256,1,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.7875,2,256,0.1,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.775,3,256,1,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.775,2,1024,1,"cone",0.96153849363327
"pittsburg-bridges-MATERIAL",0.75,8,1024,1,"cone",0.923076927661896
"pittsburg-bridges-MATERIAL",0.75,2,1024,0.1,"cone",0.923076927661896
"pittsburg-bridges-MATERIAL",0.75,2,256,0.1,"cone",0.884615421295166
"pittsburg-bridges-MATERIAL",0.7375,4,1024,1,"cone",0.923076927661896
"pittsburg-bridges-MATERIAL",0.725,8,1024,0.1,"cone",0.807692408561707
"pittsburg-bridges-MATERIAL",0.725,2,512,0.1,"cone",0.923076927661896
"pittsburg-bridges-MATERIAL",0.7,16,512,1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.6875,2,256,1,"rect",0.807692348957062
"pittsburg-bridges-MATERIAL",0.6875,4,1024,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.675,4,512,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.675,3,1024,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.6625,4,512,0.01,"cone",0.884615421295166
"pittsburg-bridges-MATERIAL",0.6625,2,256,0.01,"cone",0.923076927661896
"pittsburg-bridges-MATERIAL",0.65,8,256,0.01,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.65,8,512,1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.6375,4,512,1,"rect",0.846153855323792
"pittsburg-bridges-MATERIAL",0.6375,8,1024,0.01,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.6375,4,1024,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.6375,4,256,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.6375,3,512,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,1024,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,256,0.01,"cone",0.730769276618958
"pittsburg-bridges-MATERIAL",0.625,32,1024,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,1024,0.1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,512,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,256,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,1024,1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,512,1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,256,1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,32,256,1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,1024,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,1024,0.01,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,512,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,512,0.01,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,256,0.01,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,256,0.01,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,512,0.1,"cone",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,512,0.1,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.625,16,256,0.1,"cone",0.769230842590332
