"dataset","nhidden","layerForm","testAccuracy","valAccuracy","learningrate","nlayers"
"abalone",256,"cone",0.630268275737762,0.649324363470078,0.1,16
"abalone",512,"cone",0.562260568141937,0.638175708055496,0.1,3
"abalone",1024,"cone",0.616858243942261,0.63614866733551,1,4
"abalone",1024,"cone",0.613984644412994,0.633783811330795,1,3
"abalone",256,"cone",0.633141756057739,0.631756776571274,1,3
"abalone",256,"cone",0.636015355587006,0.629729747772217,1,4
"abalone",512,"cone",0.61494255065918,0.625337874889374,1,16
"abalone",256,"cone",0.627394676208496,0.620945960283279,1,8
"abalone",512,"cone",0.616858184337616,0.620270293951035,1,3
"abalone",256,"cone",0.583333313465118,0.619932460784912,0.1,3
"abalone",1024,"cone",0.608237564563751,0.618918949365616,1,8
"abalone",256,"rect",0.602490425109863,0.618243277072906,1,2
"abalone",256,"cone",0.61590039730072,0.617229753732681,1,2
"abalone",256,"cone",0.611111104488373,0.612500011920929,1,16
"abalone",512,"cone",0.613026797771454,0.607770293951035,1,4
"abalone",512,"cone",0.600574672222137,0.605743265151978,1,2
"abalone",1024,"cone",0.590996146202087,0.596621644496918,1,16
"abalone",512,"rect",0.626436769962311,0.593918961286545,0.1,2
"abalone",512,"cone",0.624521136283875,0.593918943405152,0.1,8
"abalone",1024,"cone",0.617816090583801,0.592567592859268,1,2
"abalone",256,"rect",0.587164759635925,0.592229747772217,0.1,2
"abalone",256,"rect",0.627394676208496,0.587500017881393,1,8
"abalone",1024,"rect",0.575670480728149,0.586486518383026,0.1,2
"abalone",512,"rect",0.572796940803528,0.58547300696373,1,2
"abalone",1024,"cone",0.572796940803528,0.582770299911499,0.01,4
"abalone",512,"cone",0.599616825580597,0.580067604780197,0.1,2
"abalone",1024,"rect",0.564176201820374,0.580067604780197,0.1,3
"abalone",1024,"cone",0.542145609855652,0.579729771614075,0.1,2
"abalone",512,"cone",0.56800764799118,0.577702713012695,1,8
"abalone",512,"rect",0.527777791023254,0.572297316789627,0.1,3
"abalone",256,"rect",0.570881187915802,0.571621650457382,1,3
"abalone",512,"cone",0.594827592372894,0.570945960283279,0.01,2
"abalone",512,"rect",0.57662832736969,0.570270293951035,0.01,2
"abalone",1024,"rect",0.559386968612671,0.568918937444687,0.1,4
"abalone",256,"rect",0.593869745731354,0.568581104278564,0.01,2
"abalone",512,"rect",0.607279717922211,0.567905426025391,1,3
"abalone",1024,"rect",0.583333313465118,0.566216230392456,0.01,2
"abalone",1024,"cone",0.585249066352844,0.565878403186798,0.1,3
"abalone",1024,"cone",0.570881187915802,0.565202713012695,0.1,4
"abalone",1024,"cone",0.603448271751404,0.563175696134567,0.01,2
"abalone",256,"cone",0.55842912197113,0.562162178754807,0.1,8
"abalone",256,"cone",0.573754787445068,0.560135161876679,0.1,2
"abalone",1024,"rect",0.541187763214111,0.559459495544434,1,3
"abalone",256,"cone",0.527777791023254,0.55101352930069,0.01,3
"abalone",256,"rect",0.56704980134964,0.550000017881393,1,4
"abalone",1024,"rect",0.542145550251007,0.548310825228691,0.01,4
"abalone",512,"cone",0.573754787445068,0.544932466745377,0.1,4
"abalone",512,"cone",0.535440623760223,0.541891920566559,0.1,16
"abalone",1024,"rect",0.512452125549316,0.54155407845974,1,4
"abalone",1024,"rect",0.545019149780273,0.540540558099747,0.01,3
"abalone",256,"rect",0.559386968612671,0.534797316789627,0.1,16
"abalone",1024,"rect",0.534482717514038,0.532432460784912,0.1,8
"abalone",512,"rect",0.467432975769043,0.528716239333153,0.1,16
"abalone",1024,"rect",0.505747079849243,0.516216245293617,1,2
"abalone",512,"rect",0.550766289234161,0.51520271897316,0.01,3
"abalone",256,"rect",0.537356317043304,0.513175693154335,0.1,4
"abalone",1024,"rect",0.515325725078583,0.512837865948677,0.1,16
"abalone",256,"cone",0.550766289234161,0.512837845087051,0.01,2
"abalone",1024,"rect",0.336206883192062,0.512500008940697,1,8
"abalone",512,"rect",0.563218355178833,0.510810834169388,1,8
"abalone",512,"rect",0.543103456497192,0.510135146975517,0.1,4
"abalone",512,"rect",0.336206883192062,0.507770285010338,1,4
"abalone",512,"rect",0.549808382987976,0.506418943405151,0.01,4
"abalone",1024,"cone",0.503831386566162,0.503716245293617,0.01,8
