"dataset","valAccuracy","nhidden","nlayers","testAccuracy","layerForm","learningrate"
"flags",0.631578922271728,1024,2,0.416666686534882,"rect",0.1
"flags",0.552631586790085,512,3,0.458333373069763,"rect",0.1
"flags",0.526315808296204,512,4,0.5,"rect",0.01
"flags",0.526315808296204,512,4,0.416666686534882,"rect",0.1
"flags",0.526315808296204,256,3,0.375000029802322,"rect",0.01
"flags",0.526315808296204,256,2,0.375000029802322,"rect",0.1
"flags",0.521052628755569,512,3,0.416666686534882,"cone",1
"flags",0.500000014901161,512,2,0.458333343267441,"rect",1
"flags",0.484210538864136,512,8,0.395833373069763,"rect",0.1
"flags",0.484210515022278,256,3,0.416666686534882,"rect",0.1
"flags",0.478947380185127,1024,4,0.395833343267441,"rect",0.1
"flags",0.473684221506119,512,3,0.479166686534882,"cone",0.01
"flags",0.473684221506119,512,3,0.416666686534882,"rect",0.01
"flags",0.473684221506119,1024,3,0.437500029802322,"rect",0.1
"flags",0.473684221506119,256,2,0.333333343267441,"rect",0.01
"flags",0.473684221506119,512,2,0.4375,"cone",0.1
"flags",0.457894745469093,1024,3,0.520833373069763,"cone",0.1
"flags",0.447368428111076,1024,3,0.416666686534882,"cone",0.01
"flags",0.436842101812363,1024,3,0.5,"rect",0.01
"flags",0.431578952074051,512,2,0.4375,"rect",0.01
"flags",0.431578946113586,1024,2,0.395833343267441,"cone",1
"flags",0.426315793395042,256,3,0.354166686534882,"cone",1
"flags",0.426315793395042,1024,4,0.416666686534882,"cone",0.1
"flags",0.421052634716034,1024,2,0.395833373069763,"cone",0.1
"flags",0.421052634716034,256,2,0.479166686534882,"cone",0.1
"flags",0.41578948199749,512,8,0.4375,"cone",1
"flags",0.415789476037025,1024,2,0.416666686534882,"rect",0.01
"flags",0.415789476037025,1024,2,0.479166686534882,"rect",1
"flags",0.405263161659241,1024,3,0.395833343267441,"rect",1
"flags",0.405263158679009,1024,4,0.416666686534882,"cone",1
"flags",0.400000005960465,256,2,0.395833373069763,"rect",1
"flags",0.394736856222153,1024,4,0.541666686534882,"rect",0.01
"flags",0.394736841320992,256,4,0.4375,"cone",1
"flags",0.389473694562912,1024,8,0.395833373069763,"rect",0.1
"flags",0.38947369158268,256,3,0.354166686534882,"cone",0.1
"flags",0.389473682641983,512,2,0.416666686534882,"cone",1
"flags",0.384210523962975,256,8,0.333333343267441,"rect",0.1
"flags",0.384210523962975,512,3,0.416666686534882,"cone",0.1
"flags",0.384210523962975,512,4,0.375000029802322,"cone",1
"flags",0.368421047925949,256,4,0.395833373069763,"rect",0.1
"flags",0.368421047925949,256,2,0.479166686534882,"cone",0.01
"flags",0.363157889246941,512,2,0.375,"cone",0.01
"flags",0.357894730567932,512,4,0.416666686534882,"cone",0.1
