"dataset","valAccuracy","layerForm","nlayers","testAccuracy","nhidden","learningrate"
"soybean",0.972972989082337,"cone",2,0.888297855854034,256,0.1
"soybean",0.945945978164673,"cone",2,0.867021262645721,1024,0.1
"soybean",0.945945978164673,"rect",2,0.896276593208313,1024,0.1
"soybean",0.945945978164673,"rect",2,0.885638236999512,512,0.1
"soybean",0.932432472705841,"cone",3,0.875,1024,0.1
"soybean",0.918918967247009,"rect",4,0.856382966041565,256,0.1
"soybean",0.918918967247009,"rect",2,0.885638236999512,512,0.01
"soybean",0.918918967247009,"cone",2,0.848404288291931,512,0.1
"soybean",0.918918967247009,"rect",2,0.843085169792175,256,0.1
"soybean",0.913513565063477,"rect",3,0.88829779624939,1024,0.1
"soybean",0.913513565063477,"rect",4,0.875,1024,0.1
"soybean",0.913513565063476,"cone",2,0.877659559249878,256,1
"soybean",0.902702760696411,"rect",2,0.861702084541321,256,0.01
"soybean",0.891891956329346,"rect",3,0.875,512,0.1
"soybean",0.891891956329346,"rect",3,0.843085050582886,256,0.1
"soybean",0.889189195632935,"cone",2,0.832446813583374,1024,0.01
"soybean",0.886486554145813,"cone",3,0.829787254333496,512,0.01
"soybean",0.886486554145813,"cone",3,0.843085050582886,512,0.1
"soybean",0.883783853054047,"rect",4,0.824468076229095,256,0.01
"soybean",0.875675749778748,"rect",3,0.83776593208313,1024,0.01
"soybean",0.872973048686981,"cone",4,0.877659559249878,1024,0.1
"soybean",0.864864945411682,"rect",4,0.827127635478973,512,0.1
"soybean",0.864864945411682,"cone",2,0.874999940395355,1024,1
"soybean",0.864864885807037,"cone",3,0.840425491333008,256,0.1
"soybean",0.862162184715271,"cone",2,0.83776593208313,512,1
"soybean",0.859459543228149,"cone",4,0.819148898124695,256,1
"soybean",0.856756842136383,"cone",4,0.909574449062347,1024,1
"soybean",0.848648738861084,"cone",3,0.808510661125183,256,1
"soybean",0.845946025848389,"cone",4,0.792553186416626,512,1
"soybean",0.840540611743927,"cone",8,0.779255330562592,256,1
"soybean",0.837837934494019,"rect",2,0.843085050582886,1024,0.01
"soybean",0.837837874889374,"cone",4,0.811170220375061,256,0.01
"soybean",0.837837874889374,"cone",2,0.853723406791687,512,0.01
"soybean",0.82162172794342,"cone",3,0.867021262645721,512,1
"soybean",0.818918907642364,"cone",4,0.80053186416626,512,0.1
"soybean",0.816216325759888,"rect",3,0.821808576583862,256,0.01
"soybean",0.816216278076172,"cone",3,0.851063787937164,1024,0.01
"soybean",0.813513565063477,"rect",4,0.771276593208313,1024,0.01
"soybean",0.810810804367066,"cone",4,0.784574508666992,512,0.01
"soybean",0.805405497550964,"cone",3,0.848404228687286,1024,1
"soybean",0.802702701091766,"rect",3,0.813829779624939,256,1
"soybean",0.786486554145813,"cone",4,0.816489338874817,256,0.1
"soybean",0.783783853054047,"cone",3,0.805850982666016,256,0.01
"soybean",0.783783793449402,"rect",3,0.744680821895599,512,0.01
"soybean",0.781081140041351,"rect",2,0.835106372833252,512,1
"soybean",0.756756842136383,"rect",2,0.861702084541321,256,1
"soybean",0.756756782531738,"rect",2,0.779255270957947,1024,1
"soybean",0.745945978164673,"cone",8,0.747340440750122,1024,0.1
"soybean",0.732432436943054,"cone",4,0.747340381145477,1024,0.01
"soybean",0.718919003009796,"rect",4,0.771276593208313,512,0.01
"soybean",0.718918967247009,"rect",8,0.765957415103912,1024,0.1
"soybean",0.683783793449402,"cone",2,0.755319118499756,256,0.01
"soybean",0.662162184715271,"rect",8,0.715425491333008,256,0.1
"soybean",0.651351380348206,"rect",16,0.720744729042053,512,0.1
"soybean",0.643243277072907,"cone",8,0.683510601520538,512,0.1
"soybean",0.632432466745377,"rect",8,0.643617033958435,512,0.1
"soybean",0.605405420064926,"rect",3,0.656914949417114,1024,1
"soybean",0.597297316789627,"rect",3,0.632978737354279,512,1
"soybean",0.551351368427277,"rect",4,0.688829779624939,512,1
"soybean",0.521621650457382,"rect",4,0.699468076229095,256,1
"soybean",0.437837851047516,"cone",8,0.484042525291443,1024,1
"soybean",0.432432460784912,"cone",16,0.356382995843887,256,1
"soybean",0.427027055621147,"rect",16,0.513297855854034,256,0.1
"soybean",0.381081110239029,"cone",8,0.327127665281296,1024,0.01
"soybean",0.359459480643272,"rect",8,0.404255330562592,256,1
"soybean",0.356756776571274,"cone",8,0.276595771312714,256,0.01
"soybean",0.345945972204208,"cone",8,0.377659559249878,256,0.1
"soybean",0.305405420064926,"rect",8,0.353723436594009,256,0.01
"soybean",0.302702710032463,"cone",32,0.279255330562592,1024,0.01
"soybean",0.259459467232227,"cone",16,0.21542552113533,1024,0.01
"soybean",0.254054060578346,"rect",8,0.297872364521027,512,1
"soybean",0.24864865988493,"rect",8,0.316489368677139,512,0.01
"soybean",0.248648655414581,"cone",8,0.194148942828178,512,0.01
"soybean",0.24054054915905,"rect",8,0.327127665281296,1024,0.01
"soybean",0.237837845087051,"cone",16,0.122340425848961,1024,0.1
"soybean",0.237837843596935,"rect",16,0.236702129244804,512,1
"soybean",0.229729743488133,"cone",8,0.172872334718704,512,1
"soybean",0.224324332177639,"rect",4,0.239361703395844,1024,1
"soybean",0.189189195632935,"cone",32,0.135638296604156,512,0.01
"soybean",0.16216216981411,"cone",32,0.127659574151039,1024,0.1
"soybean",0.16216216981411,"cone",32,0.127659574151039,512,0.1
"soybean",0.151351357996464,"cone",16,0.138297870755196,256,0.01
"soybean",0.14864865578711,"rect",32,0.167553186416626,256,0.01
"soybean",0.145945954322815,"cone",16,0.146276593208313,256,0.1
"soybean",0.14054054543376,"cone",32,0.135638296604156,256,0.1
"soybean",0.135135143995285,"cone",16,0.138297870755196,512,0.01
"soybean",0.124324331432581,"cone",32,0.159574463963509,256,0.01
"soybean",0.121621627733111,"cone",16,0.191489353775978,512,1
"soybean",0.113513518124819,"rect",32,0.0265957452356815,512,0.1
"soybean",0.0945945985615254,"rect",32,0.135638296604156,512,1
"soybean",0.0945945981889963,"rect",8,0.143617033958435,1024,1
"soybean",0.0918918961659074,"cone",32,0.135638296604156,1024,1
"soybean",0.0864864908158779,"rect",16,0.135638296604156,1024,0.01
"soybean",0.0837837874889374,"cone",16,0.135638296604156,512,0.1
"soybean",0.0837837867438793,"rect",32,0.0638297870755196,256,1
"soybean",0.0810810849070549,"rect",16,0.135638296604156,512,0.01
"soybean",0.0810810849070549,"rect",16,0.135638296604156,256,0.01
"soybean",0.0783783813938499,"rect",16,0.135638296604156,256,1
"soybean",0.0675675703212619,"rect",16,0.0265957452356815,1024,1
"soybean",0.0594594620168209,"rect",32,0.127659574151039,1024,1
"soybean",0.0513513531535864,"cone",16,0.0239361710846424,1024,1
"soybean",0.0405405424535275,"cone",32,0.127659574151039,512,1
"soybean",0.0324324341490865,"rect",32,0.127659574151039,1024,0.1
"soybean",0.024324325285852,"rect",32,0.0212765969336033,256,0.1
"soybean",0.016216216981411,"rect",16,0.0265957452356815,1024,0.1
"soybean",0.00810810849070549,"rect",32,0.0638297870755196,512,0.01
"soybean",0.00810810849070549,"cone",32,0.0265957452356815,256,1
"soybean",0.00540540553629398,"rect",32,0.0265957452356815,1024,0.01
