"dataset","nhidden","testAccuracy","learningrate","valAccuracy","layerForm","nlayers"
"hepatitis",512,0.871794879436493,1,0.933333384990692,"rect",2
"hepatitis",1024,0.82051283121109,1,0.893333399295807,"rect",3
"hepatitis",512,0.769230782985687,1,0.886666733026505,"cone",8
"hepatitis",256,0.897435903549194,1,0.886666733026505,"rect",2
"hepatitis",1024,0.846153855323792,1,0.886666733026504,"rect",4
"hepatitis",256,0.846153855323792,1,0.886666733026504,"rect",3
"hepatitis",1024,0.82051283121109,1,0.853333401679993,"rect",2
"hepatitis",1024,0.871794879436493,0.1,0.840000063180923,"rect",16
"hepatitis",1024,0.794871807098389,0.01,0.826666736602783,"cone",2
"hepatitis",512,0.794871807098389,0.1,0.813333404064179,"rect",8
"hepatitis",256,0.82051283121109,1,0.806666737794876,"cone",3
"hepatitis",256,0.846153855323792,0.01,0.806666737794876,"rect",2
"hepatitis",512,0.846153855323792,1,0.806666731834412,"rect",4
"hepatitis",512,0.846153855323792,1,0.800000071525574,"cone",2
"hepatitis",512,0.82051283121109,1,0.800000065565109,"cone",3
"hepatitis",512,0.897435903549194,1,0.793333405256271,"rect",3
"hepatitis",1024,0.846153855323792,0.1,0.793333405256271,"rect",8
"hepatitis",512,0.692307710647583,1,0.786666738986969,"rect",8
"hepatitis",1024,0.846153855323792,1,0.78666672706604,"cone",2
"hepatitis",256,0.769230782985687,1,0.786666721105576,"cone",8
"hepatitis",256,0.871794879436493,1,0.780000072717667,"cone",2
"hepatitis",1024,0.846153855323792,0.01,0.766666740179062,"rect",3
"hepatitis",1024,0.871794879436493,0.01,0.766666740179062,"rect",2
"hepatitis",256,0.615384638309479,1,0.766666740179062,"rect",8
"hepatitis",1024,0.82051283121109,0.1,0.766666740179062,"rect",3
"hepatitis",256,0.846153855323792,0.01,0.766666734218598,"cone",3
"hepatitis",1024,0.846153855323792,0.1,0.753333407640457,"rect",4
"hepatitis",1024,0.871794879436493,1,0.753333395719528,"cone",4
"hepatitis",256,0.82051283121109,0.1,0.74666673541069,"rect",2
"hepatitis",256,0.82051283121109,0.1,0.73333340883255,"cone",8
"hepatitis",512,0.82051283121109,0.01,0.73333340883255,"rect",4
"hepatitis",1024,0.82051283121109,0.1,0.73333340883255,"rect",2
"hepatitis",512,0.82051283121109,1,0.73333340883255,"cone",4
"hepatitis",1024,0.846153855323792,1,0.733333396911621,"cone",3
"hepatitis",256,0.871794879436493,1,0.726666742563248,"cone",4
"hepatitis",1024,0.82051283121109,0.1,0.713333404064179,"cone",16
"hepatitis",512,0.82051283121109,0.1,0.706666743755341,"rect",3
"hepatitis",512,0.794871807098389,0.1,0.700000077486038,"rect",4
"hepatitis",512,0.82051283121109,0.1,0.700000077486038,"cone",2
"hepatitis",256,0.82051283121109,1,0.700000071525574,"rect",4
"hepatitis",1024,0.82051283121109,0.1,0.693333411216736,"cone",2
"hepatitis",1024,0.794871807098389,0.01,0.693333399295807,"cone",4
"hepatitis",512,0.794871807098389,0.01,0.693333393335342,"cone",4
"hepatitis",256,0.82051283121109,0.1,0.686666738986969,"cone",3
"hepatitis",256,0.794871807098389,0.1,0.680000078678131,"cone",2
"hepatitis",512,0.82051283121109,0.01,0.680000072717666,"cone",2
"hepatitis",1024,0.82051283121109,0.01,0.680000066757202,"rect",4
"hepatitis",256,0.794871807098389,0.1,0.673333412408829,"rect",8
"hepatitis",1024,0.82051283121109,0.1,0.673333412408829,"cone",3
"hepatitis",512,0.794871807098389,0.1,0.673333412408829,"cone",3
"hepatitis",512,0.794871807098389,0.1,0.673333406448364,"cone",4
"hepatitis",1024,0.794871807098389,1,0.6733334004879,"cone",16
"hepatitis",256,0.769230782985687,0.01,0.673333388566971,"rect",3
"hepatitis",1024,0.794871807098389,0.01,0.666666746139526,"cone",32
"hepatitis",512,0.794871807098389,0.01,0.666666746139526,"cone",32
"hepatitis",256,0.794871807098389,0.01,0.666666746139526,"cone",32
"hepatitis",256,0.794871807098389,0.01,0.666666746139526,"rect",32
