"dataset","nhidden","learningrate","valAccuracy","nlayers","layerForm","testAccuracy"
"pittsburg-bridges-TYPE",1024,0.01,1,32,"cone",0.115384623408318
"pittsburg-bridges-TYPE",256,1,1,8,"cone",0.230769246816635
"pittsburg-bridges-TYPE",1024,0.01,1,4,"cone",0.692307710647583
"pittsburg-bridges-TYPE",1024,0.01,1,4,"rect",0.5
"pittsburg-bridges-TYPE",256,0.01,1,4,"rect",0.615384638309479
"pittsburg-bridges-TYPE",512,0.1,1,4,"cone",0.653846204280853
"pittsburg-bridges-TYPE",512,0.1,1,4,"rect",0.653846144676208
"pittsburg-bridges-TYPE",256,0.1,1,4,"rect",0.730769276618958
"pittsburg-bridges-TYPE",1024,1,1,4,"cone",0.269230782985687
"pittsburg-bridges-TYPE",512,1,1,4,"cone",0.269230782985687
"pittsburg-bridges-TYPE",1024,0.01,1,3,"cone",0.5
"pittsburg-bridges-TYPE",1024,0.01,1,3,"rect",0.692307770252228
"pittsburg-bridges-TYPE",512,0.01,1,3,"rect",0.730769276618958
"pittsburg-bridges-TYPE",256,0.01,1,3,"rect",0.769230842590332
"pittsburg-bridges-TYPE",512,0.1,1,3,"rect",0.615384697914124
"pittsburg-bridges-TYPE",256,0.1,1,3,"cone",0.615384638309479
"pittsburg-bridges-TYPE",256,0.1,1,3,"rect",0.692307710647583
"pittsburg-bridges-TYPE",1024,0.01,1,2,"cone",0.653846204280853
"pittsburg-bridges-TYPE",1024,0.01,1,2,"rect",0.692307770252228
"pittsburg-bridges-TYPE",512,0.01,1,2,"cone",0.692307770252228
"pittsburg-bridges-TYPE",512,0.01,1,2,"rect",0.730769276618958
"pittsburg-bridges-TYPE",256,0.01,1,2,"rect",0.576923131942749
"pittsburg-bridges-TYPE",1024,0.1,1,2,"cone",0.615384697914124
"pittsburg-bridges-TYPE",1024,0.1,1,2,"rect",0.653846204280853
"pittsburg-bridges-TYPE",512,0.1,1,2,"cone",0.576923131942749
"pittsburg-bridges-TYPE",512,0.1,1,2,"rect",0.576923131942749
"pittsburg-bridges-TYPE",256,0.1,1,2,"cone",0.576923131942749
"pittsburg-bridges-TYPE",256,0.1,1,2,"rect",0.653846204280853
"pittsburg-bridges-TYPE",512,1,1,2,"rect",0.269230782985687
"pittsburg-bridges-TYPE",512,0.01,0.9,32,"cone",0.115384623408318
"pittsburg-bridges-TYPE",1024,0.01,0.9,8,"rect",0.576923131942749
"pittsburg-bridges-TYPE",512,0.1,0.9,8,"rect",0.615384638309479
"pittsburg-bridges-TYPE",256,0.1,0.9,8,"rect",0.538461565971375
"pittsburg-bridges-TYPE",512,0.01,0.9,4,"rect",0.653846144676208
"pittsburg-bridges-TYPE",1024,0.1,0.9,4,"rect",0.576923131942749
"pittsburg-bridges-TYPE",1024,0.1,0.9,3,"rect",0.5
"pittsburg-bridges-TYPE",1024,1,0.9,3,"rect",0.307692319154739
"pittsburg-bridges-TYPE",1024,1,0.9,2,"cone",0.615384638309479
"pittsburg-bridges-TYPE",512,0.01,0.8,4,"cone",0.538461565971375
"pittsburg-bridges-TYPE",1024,0.1,0.8,4,"cone",0.5
"pittsburg-bridges-TYPE",256,0.1,0.8,4,"cone",0.576923131942749
"pittsburg-bridges-TYPE",1024,1,0.8,4,"rect",0.5
"pittsburg-bridges-TYPE",512,0.1,0.8,3,"cone",0.5
"pittsburg-bridges-TYPE",256,1,0.8,2,"cone",0.346153855323792
"pittsburg-bridges-TYPE",256,1,0.8,2,"rect",0.269230782985687
"pittsburg-bridges-TYPE",512,1,0.7,3,"rect",0.307692319154739
"pittsburg-bridges-TYPE",256,1,0.7,3,"rect",0.538461565971375
"pittsburg-bridges-TYPE",1024,1,0.7,2,"rect",0.346153855323792
"pittsburg-bridges-TYPE",512,1,0.7,2,"cone",0.307692319154739
"pittsburg-bridges-TYPE",512,0.01,0.6,32,"rect",0.0384615398943424
"pittsburg-bridges-TYPE",512,1,0.6,4,"rect",0.384615421295166
"pittsburg-bridges-TYPE",256,1,0.6,4,"rect",0.384615421295166
"pittsburg-bridges-TYPE",1024,0.1,0.6,3,"cone",0.692307770252228
"pittsburg-bridges-TYPE",1024,0.01,0.5,32,"rect",0.15384615957737
"pittsburg-bridges-TYPE",1024,0.1,0.5,32,"cone",0.115384623408318
"pittsburg-bridges-TYPE",512,1,0.5,32,"rect",0.115384623408318
"pittsburg-bridges-TYPE",1024,1,0.5,16,"cone",0.115384623408318
"pittsburg-bridges-TYPE",1024,0.1,0.5,8,"rect",0.192307695746422
"pittsburg-bridges-TYPE",256,1,0.5,4,"cone",0.5
"pittsburg-bridges-TYPE",256,0.01,0.5,3,"cone",0.576923131942749
"pittsburg-bridges-TYPE",256,1,0.4,16,"rect",0.5
"pittsburg-bridges-TYPE",512,0.01,0.4,8,"rect",0.5
"pittsburg-bridges-TYPE",1024,1,0.4,3,"cone",0.46153849363327
"pittsburg-bridges-TYPE",256,1,0.4,3,"cone",0.538461565971375
"pittsburg-bridges-TYPE",256,1,0.3,32,"rect",0.115384623408318
"pittsburg-bridges-TYPE",1024,0.1,0.3,16,"rect",0.0769230797886848
"pittsburg-bridges-TYPE",512,1,0.3,16,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",512,1,0.3,16,"rect",0.5
"pittsburg-bridges-TYPE",512,0.01,0.3,8,"cone",0.192307710647583
"pittsburg-bridges-TYPE",1024,1,0.3,8,"rect",0.115384623408318
"pittsburg-bridges-TYPE",256,1,0.3,8,"rect",0.46153849363327
"pittsburg-bridges-TYPE",512,1,0.3,3,"cone",0.423076957464218
"pittsburg-bridges-TYPE",1024,0.1,0.1,32,"rect",0.5
"pittsburg-bridges-TYPE",512,0.1,0.1,32,"rect",0.15384615957737
"pittsburg-bridges-TYPE",256,1,0.1,32,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",256,1,0.1,16,"cone",0
"pittsburg-bridges-TYPE",256,0.01,0.1,8,"rect",0.5
"pittsburg-bridges-TYPE",512,1,0.1,8,"rect",0.15384615957737
"pittsburg-bridges-TYPE",256,0.01,0,32,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",256,0.01,0,32,"rect",0.0769230797886848
"pittsburg-bridges-TYPE",512,0.1,0,32,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",256,0.1,0,32,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",256,0.1,0,32,"rect",0.15384615957737
"pittsburg-bridges-TYPE",1024,1,0,32,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",1024,1,0,32,"rect",0.0769230797886848
"pittsburg-bridges-TYPE",512,1,0,32,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",1024,0.01,0,16,"cone",0.5
"pittsburg-bridges-TYPE",1024,0.01,0,16,"rect",0.5
"pittsburg-bridges-TYPE",512,0.01,0,16,"cone",0.5
"pittsburg-bridges-TYPE",512,0.01,0,16,"rect",0.5
"pittsburg-bridges-TYPE",256,0.01,0,16,"cone",0.5
"pittsburg-bridges-TYPE",256,0.01,0,16,"rect",0.346153855323792
"pittsburg-bridges-TYPE",1024,0.1,0,16,"cone",0.269230782985687
"pittsburg-bridges-TYPE",512,0.1,0,16,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",512,0.1,0,16,"rect",0.5
"pittsburg-bridges-TYPE",256,0.1,0,16,"cone",0.0769230797886848
"pittsburg-bridges-TYPE",256,0.1,0,16,"rect",0.230769246816635
"pittsburg-bridges-TYPE",1024,1,0,16,"rect",0.15384615957737
"pittsburg-bridges-TYPE",1024,0.01,0,8,"cone",0.423076927661896
"pittsburg-bridges-TYPE",256,0.01,0,8,"cone",0.5
"pittsburg-bridges-TYPE",1024,0.1,0,8,"cone",0.5
"pittsburg-bridges-TYPE",512,0.1,0,8,"cone",0.5
"pittsburg-bridges-TYPE",256,0.1,0,8,"cone",0.5
"pittsburg-bridges-TYPE",1024,1,0,8,"cone",0.538461565971375
"pittsburg-bridges-TYPE",512,1,0,8,"cone",0.0384615398943424
"pittsburg-bridges-TYPE",256,0.01,0,4,"cone",0.538461565971375
"pittsburg-bridges-TYPE",512,0.01,0,3,"cone",0.0384615398943424
"pittsburg-bridges-TYPE",256,0.01,0,2,"cone",0.423076987266541
