"dataset","nhidden","nlayers","testAccuracy","valAccuracy","learningrate","layerForm"
"seeds",1024,4,0.865384697914124,0.900000023841858,1,"cone"
"seeds",512,4,0.846153855323792,0.885714316368103,0.1,"cone"
"seeds",512,2,0.884615421295166,0.878571444749832,0.01,"cone"
"seeds",1024,3,0.903846204280853,0.871428632736206,0.01,"cone"
"seeds",256,4,0.884615421295166,0.871428632736206,0.1,"rect"
"seeds",1024,3,0.884615421295166,0.871428626775742,1,"cone"
"seeds",1024,3,0.923076987266541,0.864285778999329,0.1,"cone"
"seeds",1024,4,0.826923131942749,0.864285778999329,0.1,"rect"
"seeds",256,8,0.865384638309479,0.8642857670784,0.1,"rect"
"seeds",512,8,0.923076987266541,0.864285761117935,1,"rect"
"seeds",512,3,0.923076987266541,0.864285761117935,0.01,"cone"
"seeds",1024,3,0.884615421295166,0.857142925262451,0.1,"rect"
"seeds",512,3,0.884615421295166,0.857142925262451,0.1,"cone"
"seeds",256,3,0.846153855323792,0.857142925262451,0.1,"rect"
"seeds",512,3,0.903846204280853,0.857142925262451,1,"rect"
"seeds",1024,2,0.884615421295166,0.857142925262451,0.01,"cone"
"seeds",256,2,0.865384697914124,0.857142925262451,0.01,"cone"
"seeds",1024,2,0.846153914928436,0.857142925262451,0.1,"rect"
"seeds",512,2,0.903846204280853,0.857142925262451,0.1,"cone"
"seeds",256,2,0.884615421295166,0.857142925262451,0.1,"rect"
"seeds",512,4,0.903846204280853,0.857142919301987,1,"rect"
"seeds",512,4,0.884615421295166,0.857142865657806,0.01,"rect"
"seeds",256,3,0.903846204280853,0.857142865657806,0.01,"rect"
"seeds",1024,2,0.903846204280853,0.850000065565109,0.01,"rect"
"seeds",512,3,0.865384697914124,0.850000065565109,0.1,"rect"
"seeds",256,8,0.903846204280853,0.850000011920929,0.1,"cone"
"seeds",256,3,0.923076987266541,0.850000011920929,0.01,"cone"
"seeds",1024,2,0.865384697914124,0.842857205867767,0.1,"cone"
"seeds",512,8,0.826923131942749,0.842857170104981,1,"cone"
"seeds",512,8,0.75,0.835714304447174,0.1,"cone"
"seeds",512,2,0.826923131942749,0.828571486473084,0.1,"rect"
"seeds",1024,4,0.903846204280853,0.828571486473084,0.01,"rect"
"seeds",256,2,0.923076987266541,0.828571486473084,0.1,"cone"
"seeds",1024,2,0.673076927661896,0.828571486473084,1,"rect"
"seeds",256,4,0.846153914928436,0.821428602933884,0.1,"cone"
"seeds",1024,8,0.788461565971375,0.821428596973419,1,"rect"
"seeds",256,3,0.903846204280853,0.814285755157471,0.1,"cone"
"seeds",1024,3,0.807692348957062,0.814285749197006,0.01,"rect"
"seeds",256,4,0.846153914928436,0.807142907381058,1,"cone"
"seeds",1024,8,0.884615480899811,0.8071428835392,0.1,"cone"
"seeds",256,4,0.903846204280853,0.807142871618271,0.01,"cone"
"seeds",1024,2,0.884615421295166,0.792857187986374,1,"cone"
"seeds",256,8,0.769230842590332,0.792857187986374,1,"rect"
"seeds",512,4,0.769230782985687,0.785714328289032,1,"cone"
"seeds",512,8,0.865384638309479,0.785714328289032,0.1,"rect"
"seeds",1024,4,0.846153855323792,0.785714328289032,0.01,"cone"
"seeds",1024,4,0.865384697914124,0.785714328289032,0.1,"cone"
"seeds",512,3,0.865384697914124,0.785714328289032,1,"cone"
"seeds",512,2,0.865384697914124,0.785714328289032,0.01,"rect"
"seeds",256,2,0.846153914928436,0.785714328289032,0.01,"rect"
"seeds",512,3,0.807692408561707,0.77857146859169,0.01,"rect"
"seeds",512,4,0.75,0.757142889499664,0.01,"cone"
"seeds",256,3,0.903846204280853,0.750000035762787,1,"cone"
"seeds",512,8,0.692307770252228,0.750000023841858,0.01,"cone"
"seeds",1024,8,0.826923131942749,0.742857176065445,0.1,"rect"
"seeds",512,4,0.826923131942749,0.742857176065445,0.1,"rect"
"seeds",256,2,0.865384697914124,0.742857176065445,1,"cone"
"seeds",256,8,0.807692289352417,0.728571474552155,0.01,"rect"
"seeds",256,3,0.826923131942749,0.728571456670761,1,"rect"
"seeds",256,4,0.865384697914124,0.721428596973419,1,"rect"
"seeds",256,4,0.788461565971375,0.721428591012955,0.01,"rect"
"seeds",512,2,0.46153849363327,0.707142895460129,1,"rect"
"seeds",256,8,0.692307710647583,0.700000041723251,1,"cone"
"seeds",512,2,0.826923131942749,0.700000023841858,1,"cone"
"seeds",256,2,0.750000059604645,0.657142907381058,1,"rect"
"seeds",1024,4,0.807692408561707,0.650000047683716,1,"rect"
"seeds",1024,8,0.692307710647583,0.635714316368103,0.01,"rect"
"seeds",1024,8,0.615384697914124,0.628571474552155,0.01,"cone"
"seeds",512,16,0.615384697914124,0.628571462631226,0.01,"cone"
"seeds",1024,3,0.730769276618958,0.614285755157471,1,"rect"
"seeds",512,16,0.346153855323792,0.535714322328567,0.01,"rect"
"seeds",256,16,0.615384697914124,0.5071428835392,0.01,"rect"
"seeds",256,16,0.653846144676208,0.5071428835392,0.1,"rect"
"seeds",512,8,0.403846144676208,0.492857164144516,0.01,"rect"
"seeds",256,8,0.576923131942749,0.492857164144516,0.01,"cone"
"seeds",512,16,0.653846144676208,0.478571462631226,0.1,"cone"
"seeds",1024,16,0.576923131942749,0.457142874598503,0.01,"rect"
"seeds",1024,32,0.346153855323792,0.428571462631226,0.01,"rect"
"seeds",256,32,0.346153855323792,0.428571462631226,0.1,"cone"
"seeds",1024,32,0.346153855323792,0.428571462631226,1,"rect"
"seeds",256,32,0.346153855323792,0.428571462631226,1,"cone"
"seeds",256,32,0.346153855323792,0.428571462631226,1,"rect"
"seeds",256,16,0.346153855323792,0.428571462631226,0.1,"cone"
"seeds",256,16,0.346153855323792,0.428571462631226,1,"rect"
"seeds",512,32,0.326923102140427,0.407142889499664,1,"rect"
"seeds",256,32,0.346153855323792,0.400000029802322,0.1,"rect"
"seeds",1024,32,0.326923102140427,0.39285717010498,1,"cone"
"seeds",1024,16,0.326923102140427,0.364285743236542,1,"rect"
"seeds",256,16,0.326923072338104,0.364285725355148,0.01,"cone"
"seeds",512,16,0.326923072338104,0.364285725355148,1,"cone"
"seeds",512,32,0.326923072338104,0.357142877578735,0.1,"rect"
"seeds",1024,32,0.326923072338104,0.357142871618271,0.1,"rect"
"seeds",256,32,0.326923072338104,0.357142865657806,0.01,"cone"
"seeds",512,32,0.326923072338104,0.357142865657806,0.1,"cone"
"seeds",1024,16,0.326923072338104,0.357142865657806,0.1,"rect"
"seeds",256,16,0.326923072338104,0.357142865657806,1,"cone"
"seeds",512,32,0.5,0.314285731315613,0.01,"cone"
"seeds",1024,32,0.326923072338104,0.314285725355148,0.1,"cone"
"seeds",256,32,0.326923102140427,0.300000017881393,0.01,"rect"
"seeds",512,16,0.326923102140427,0.278571450710297,1,"rect"
"seeds",512,32,0.326923102140427,0.235714304447174,1,"cone"
"seeds",1024,32,0.326923102140427,0.214285731315613,0.01,"cone"
"seeds",512,32,0.326923102140427,0.214285731315613,0.01,"rect"
"seeds",1024,16,0.326923102140427,0.214285731315613,0.01,"cone"
"seeds",1024,16,0.326923102140427,0.214285731315613,0.1,"cone"
"seeds",512,16,0.326923102140427,0.214285731315613,0.1,"rect"
"seeds",1024,16,0.326923102140427,0.214285731315613,1,"cone"
"seeds",1024,8,0.326923102140427,0.214285731315613,1,"cone"
