"dataset","testAccuracy","nlayers","nhidden","layerForm","valAccuracy","learningrate"
"tic-tac-toe",0.983263611793518,8,1024,"cone",1,1
"tic-tac-toe",0.962343096733093,2,512,"cone",0.986666679382324,1
"tic-tac-toe",0.97907954454422,4,1024,"cone",0.985333347320557,1
"tic-tac-toe",0.962343037128448,8,256,"cone",0.982666683197022,1
"tic-tac-toe",0.987447679042816,3,512,"cone",0.981333351135254,1
"tic-tac-toe",0.983263611793518,2,1024,"cone",0.973333358764649,1
"tic-tac-toe",0.987447738647461,8,512,"cone",0.972000026702881,1
"tic-tac-toe",0.920502066612244,3,1024,"cone",0.966666698455811,1
"tic-tac-toe",0.949790775775909,2,256,"rect",0.960000038146973,1
"tic-tac-toe",0.941422581672668,2,1024,"rect",0.958666700124741,1
"tic-tac-toe",0.92887020111084,3,256,"rect",0.931999999284744,1
"tic-tac-toe",0.949790716171265,4,512,"rect",0.921333312988281,1
"tic-tac-toe",0.857740581035614,4,512,"cone",0.920000016689301,1
"tic-tac-toe",0.878661096096039,2,1024,"rect",0.918666690587998,0.01
"tic-tac-toe",0.853556513786316,2,512,"rect",0.878666663169861,1
"tic-tac-toe",0.807531356811523,3,512,"rect",0.850666630268097,0.01
"tic-tac-toe",0.820083737373352,2,256,"cone",0.846666675806046,1
"tic-tac-toe",0.857740581035614,4,256,"rect",0.845333361625671,1
"tic-tac-toe",0.815899550914764,2,512,"rect",0.82666666507721,0.01
"tic-tac-toe",0.740585684776306,3,1024,"rect",0.813333332538605,0.1
"tic-tac-toe",0.71129709482193,3,512,"rect",0.800000011920929,0.1
"tic-tac-toe",0.811715483665466,4,1024,"rect",0.799999994039536,0.01
"tic-tac-toe",0.744769811630249,8,1024,"rect",0.798666679859162,1
"tic-tac-toe",0.857740581035614,3,512,"rect",0.798666620254517,1
"tic-tac-toe",0.723849415779114,2,1024,"cone",0.793333351612091,0.1
"tic-tac-toe",0.765690326690674,3,1024,"rect",0.790666687488556,0.01
"tic-tac-toe",0.807531356811523,2,1024,"cone",0.789333337545395,0.01
"tic-tac-toe",0.728033483028412,2,1024,"rect",0.78266669511795,0.1
"tic-tac-toe",0.723849356174469,4,1024,"rect",0.776000028848648,0.1
"tic-tac-toe",0.719665288925171,3,256,"cone",0.766666674613953,0.01
"tic-tac-toe",0.723849415779114,4,512,"rect",0.761333340406418,0.01
"tic-tac-toe",0.698744714260101,2,256,"cone",0.760000038146973,0.01
"tic-tac-toe",0.69037652015686,2,256,"rect",0.7506667137146,0.01
"tic-tac-toe",0.698744773864746,3,256,"cone",0.742666667699814,1
"tic-tac-toe",0.677824258804321,2,512,"rect",0.742666637897491,0.1
"tic-tac-toe",0.682008326053619,2,256,"rect",0.739999997615814,0.1
"tic-tac-toe",0.75313800573349,3,1024,"cone",0.729333317279816,0.01
"tic-tac-toe",0.707112967967987,16,1024,"cone",0.727999979257584,1
"tic-tac-toe",0.736401677131653,4,1024,"rect",0.725333279371262,1
"tic-tac-toe",0.652719676494598,2,512,"cone",0.718666672706604,0.1
"tic-tac-toe",0.677824258804321,4,512,"rect",0.715999984741211,0.1
"tic-tac-toe",0.652719616889954,3,1024,"cone",0.714666664600372,0.1
"tic-tac-toe",0.73221755027771,16,1024,"rect",0.704000008106232,0.1
"tic-tac-toe",0.652719616889954,3,256,"cone",0.696000003814697,0.1
"tic-tac-toe",0.652719616889954,8,1024,"rect",0.694666665792465,0.1
"tic-tac-toe",0.652719616889954,4,1024,"cone",0.690666675567627,0.1
"tic-tac-toe",0.665271997451782,3,512,"cone",0.68933333158493,0.01
"tic-tac-toe",0.652719616889954,3,256,"rect",0.688000005483627,0.1
"tic-tac-toe",0.652719616889954,2,256,"cone",0.688000005483627,0.1
"tic-tac-toe",0.652719616889954,32,1024,"rect",0.687999999523163,0.01
"tic-tac-toe",0.652719616889954,3,512,"cone",0.68666667342186,0.1
"tic-tac-toe",0.652719616889954,16,1024,"cone",0.68400000333786,0.1
"tic-tac-toe",0.652719676494598,8,512,"rect",0.68400000333786,0.01
"tic-tac-toe",0.652719616889954,4,256,"rect",0.68400000333786,0.01
"tic-tac-toe",0.652719616889954,8,1024,"cone",0.682666671276092,0.1
"tic-tac-toe",0.652719676494598,4,256,"cone",0.682666671276092,0.1
"tic-tac-toe",0.652719616889954,8,512,"cone",0.681333339214325,0.1
"tic-tac-toe",0.652719616889954,4,256,"cone",0.681333339214325,0.01
"tic-tac-toe",0.652719616889954,32,1024,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,32,512,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,32,512,"rect",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,32,256,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,32,256,"rect",0.680000007152557,0.01
"tic-tac-toe",0.652719676494598,32,1024,"cone",0.680000007152557,0.1
"tic-tac-toe",0.652719616889954,32,512,"cone",0.680000007152557,0.1
"tic-tac-toe",0.652719616889954,32,256,"cone",0.680000007152557,0.1
"tic-tac-toe",0.652719616889954,32,1024,"cone",0.680000007152557,1
"tic-tac-toe",0.652719616889954,32,1024,"rect",0.680000007152557,1
"tic-tac-toe",0.652719616889954,32,512,"cone",0.680000007152557,1
"tic-tac-toe",0.652719616889954,32,256,"cone",0.680000007152557,1
"tic-tac-toe",0.652719616889954,16,1024,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,16,1024,"rect",0.680000007152557,0.01
"tic-tac-toe",0.652719676494598,16,512,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,16,512,"rect",0.680000007152557,0.01
"tic-tac-toe",0.652719676494598,16,256,"cone",0.680000007152557,0.01
"tic-tac-toe",0.652719616889954,16,256,"rect",0.680000007152557,0.01
