"dataset","testAccuracy","nhidden","nlayers","valAccuracy","learningrate","layerForm"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,4,1,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,4,1,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,2,1,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,2,1,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.919999957084656,1024,2,0.966666668653488,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,2,0.933333337306976,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.799999952316284,512,16,0.900000005960464,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,4,0.900000005960464,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,2,0.900000005960464,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,3,0.833333343267441,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.839999973773956,512,8,0.800000011920929,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,3,0.800000011920929,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,3,0.800000011920929,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,8,0.766666680574417,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.959999978542328,256,4,0.766666680574417,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,3,0.766666680574417,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,2,0.766666680574417,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,4,0.733333349227905,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,3,0.733333349227905,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,3,0.733333349227905,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.919999957084656,1024,3,0.733333349227905,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,3,0.733333349227905,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,2,0.733333349227905,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,2,0.733333349227905,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.919999957084656,512,2,0.733333349227905,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,16,0.700000017881393,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,4,0.700000017881393,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,4,0.700000017881393,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,4,0.700000017881393,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,3,0.700000017881393,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,3,0.700000017881393,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,2,0.700000017881393,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,32,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,32,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,32,0.666666686534881,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,32,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,32,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,32,0.666666686534881,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,32,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,32,0.666666686534881,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,32,0.666666686534881,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,32,0.666666686534881,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,32,0.666666686534881,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,32,0.666666686534881,1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,16,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,16,0.666666686534881,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,16,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,16,0.666666686534881,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,16,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,16,0.666666686534881,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,16,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,16,0.666666686534881,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,16,0.666666686534881,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,16,0.666666686534881,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,8,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,8,0.666666686534881,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,8,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,8,0.666666686534881,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,8,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,8,0.666666686534881,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.839999973773956,1024,8,0.666666686534881,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,8,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,8,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,8,0.666666686534881,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,8,0.666666686534881,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,4,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,4,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,4,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,4,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,4,0.666666686534881,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.600000023841858,512,4,0.666666686534881,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,3,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,3,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,3,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,3,0.666666686534881,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,2,0.666666686534881,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,2,0.666666686534881,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,2,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,2,0.666666686534881,0.1,"cone"
"pittsburg-bridges-T-OR-D",0.919999957084656,256,2,0.666666686534881,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,32,0.633333352208137,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.839999973773956,512,16,0.633333352208137,1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,16,0.633333352208137,1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,8,0.633333352208137,1,"rect"
"pittsburg-bridges-T-OR-D",0.839999973773956,256,8,0.633333352208137,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,8,0.633333352208137,1,"rect"
"pittsburg-bridges-T-OR-D",0.639999985694885,512,4,0.633333352208137,1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,32,0.600000017881393,0.1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,256,16,0.600000017881393,1,"cone"
"pittsburg-bridges-T-OR-D",0.799999952316284,512,8,0.600000017881393,1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,16,0.600000017881393,1,"rect"
"pittsburg-bridges-T-OR-D",0.879999995231628,512,16,0.600000017881393,1,"cone"
"pittsburg-bridges-T-OR-D",0.399999976158142,512,3,0.566666683554649,1,"rect"
"pittsburg-bridges-T-OR-D",0.759999990463257,512,3,0.566666683554649,1,"cone"
"pittsburg-bridges-T-OR-D",0.359999984502792,1024,3,0.533333349227905,1,"rect"
"pittsburg-bridges-T-OR-D",0.319999992847443,1024,8,0.500000014901161,1,"cone"
"pittsburg-bridges-T-OR-D",0.879999995231628,1024,2,0.500000014901161,1,"rect"
"pittsburg-bridges-T-OR-D",0.600000023841858,256,4,0.466666680574417,1,"rect"
"pittsburg-bridges-T-OR-D",0.479999989271164,256,2,0.466666680574417,1,"rect"
"pittsburg-bridges-T-OR-D",0.759999990463257,1024,4,0.466666680574417,1,"cone"
"pittsburg-bridges-T-OR-D",0.600000023841858,256,3,0.433333346247673,1,"rect"
"pittsburg-bridges-T-OR-D",0.479999989271164,512,2,0.433333346247673,1,"rect"
"pittsburg-bridges-T-OR-D",0.119999997317791,512,32,0.433333346247673,0.01,"rect"
"pittsburg-bridges-T-OR-D",0.719999969005585,1024,4,0.433333346247673,1,"rect"
"pittsburg-bridges-T-OR-D",0.119999997317791,1024,32,0.400000011920929,1,"rect"
"pittsburg-bridges-T-OR-D",0.119999997317791,1024,32,0.333333343267441,0.01,"cone"
"pittsburg-bridges-T-OR-D",0.119999997317791,512,32,0.333333343267441,1,"rect"
"pittsburg-bridges-T-OR-D",0.119999997317791,256,16,0.333333343267441,0.1,"cone"
