"dataset","learningrate","nlayers","testAccuracy","layerForm","nhidden","valAccuracy"
"pendigits",0.1,8,0.973413288593292,"cone",512,0.997570848464966
"pendigits",1,3,0.975128531455994,"rect",256,0.997166001796723
"pendigits",1,4,0.973413348197937,"rect",512,0.997031056880951
"pendigits",0.1,16,0.972555756568909,"rect",256,0.997031021118164
"pendigits",1,4,0.975128591060638,"cone",512,0.996761155128479
"pendigits",1,8,0.969411015510559,"rect",512,0.996626204252243
"pendigits",1,3,0.977701544761658,"cone",256,0.99662618637085
"pendigits",1,8,0.973985075950623,"rect",256,0.996491253376007
"pendigits",1,4,0.969696938991547,"cone",1024,0.996221309900284
"pendigits",0.1,16,0.974556803703308,"cone",1024,0.996086359024048
"pendigits",0.01,3,0.973127484321594,"rect",512,0.995951449871063
"pendigits",1,8,0.967123985290527,"cone",256,0.995951437950134
"pendigits",0.1,3,0.973985075950623,"rect",256,0.995951437950134
"pendigits",0.1,2,0.974556744098663,"cone",256,0.995951408147812
"pendigits",0.1,2,0.969411015510559,"rect",256,0.995816481113434
"pendigits",1,8,0.971412181854248,"cone",512,0.995816475152969
"pendigits",0.01,2,0.969696938991547,"rect",512,0.995816469192505
"pendigits",0.1,16,0.973985075950623,"rect",1024,0.995681536197663
"pendigits",1,16,0.970268607139587,"rect",256,0.995681530237198
"pendigits",0.1,8,0.971983969211578,"cone",256,0.995681524276733
"pendigits",0.1,3,0.971412181854248,"rect",512,0.995411634445191
"pendigits",1,8,0.969411015510559,"cone",1024,0.995411628484726
"pendigits",1,3,0.972841501235962,"rect",512,0.99527667760849
"pendigits",1,2,0.965408802032471,"rect",1024,0.995276665687561
"pendigits",1,4,0.97427099943161,"cone",256,0.995006769895554
"pendigits",0.1,16,0.970268666744232,"cone",256,0.99500675201416
"pendigits",0.01,8,0.966552257537842,"cone",1024,0.995006722211838
"pendigits",1,2,0.972841560840607,"cone",512,0.994871783256531
"pendigits",1,2,0.971412181854248,"cone",256,0.99473682641983
"pendigits",1,16,0.965408802032471,"cone",256,0.994601929187775
"pendigits",0.01,8,0.972841501235962,"rect",512,0.994601905345917
"pendigits",0.01,4,0.973985075950623,"rect",256,0.994601905345917
"pendigits",0.01,3,0.963979363441467,"rect",256,0.994601905345917
"pendigits",0.01,2,0.971412122249603,"cone",256,0.994601905345917
"pendigits",0.01,2,0.97369921207428,"cone",512,0.994601893424988
"pendigits",0.1,2,0.977987408638,"cone",512,0.994601881504059
"pendigits",0.01,2,0.968839287757874,"rect",256,0.994601857662201
"pendigits",1,3,0.971412181854248,"cone",1024,0.994466948509216
"pendigits",1,2,0.974270939826965,"cone",1024,0.994466912746429
"pendigits",0.1,3,0.972555696964264,"cone",256,0.994331979751587
"pendigits",0.01,8,0.973413348197937,"rect",256,0.994197052717209
"pendigits",0.1,8,0.973127484321594,"cone",1024,0.99419704079628
"pendigits",1,2,0.972841620445251,"rect",256,0.994062054157257
"pendigits",1,3,0.966266393661499,"rect",1024,0.993927150964737
"pendigits",0.01,16,0.970268666744232,"cone",512,0.993927133083343
"pendigits",0.01,16,0.97427099943161,"rect",256,0.99392711520195
"pendigits",1,4,0.975414454936981,"rect",256,0.993792164325714
"pendigits",1,8,0.967981696128845,"rect",1024,0.9936572432518
"pendigits",1,3,0.969411015510559,"cone",512,0.993657237291336
"pendigits",0.01,16,0.969982802867889,"rect",512,0.993657225370407
"pendigits",1,4,0.976558029651642,"rect",1024,0.9935222864151
"pendigits",1,16,0.966838121414185,"rect",1024,0.993522280454636
"pendigits",0.01,8,0.9679816365242,"cone",256,0.993522262573242
"pendigits",0.1,8,0.972555756568909,"rect",256,0.993252390623093
"pendigits",0.1,2,0.976557910442352,"rect",512,0.993252378702164
"pendigits",0.1,16,0.967409908771515,"rect",512,0.99325236082077
"pendigits",1,2,0.971412181854248,"rect",512,0.993117415904999
"pendigits",1,16,0.974842727184296,"cone",1024,0.992847508192062
"pendigits",1,16,0.949685454368591,"rect",512,0.992307716608048
"pendigits",1,16,0.965122878551483,"cone",512,0.991767889261246
"pendigits",0.01,16,0.964551150798798,"cone",256,0.990823233127594
"pendigits",0.1,32,0.9679816365242,"rect",1024,0.989608615636826
"pendigits",0.1,32,0.965408742427826,"rect",256,0.989473700523376
"pendigits",0.01,32,0.963121712207794,"rect",1024,0.989203810691833
"pendigits",0.01,32,0.965694665908813,"rect",512,0.987584376335144
"pendigits",0.01,32,0.954545378684998,"cone",1024,0.985829961299896
"pendigits",0.1,2,0.961406469345093,"rect",1024,0.984885287284851
"pendigits",0.1,32,0.934819877147675,"cone",1024,0.969770580530167
"pendigits",0.1,16,0.951400756835938,"cone",512,0.968825948238373
"pendigits",0.1,4,0.945111393928528,"cone",512,0.965047252178192
"pendigits",0.1,3,0.923956513404846,"rect",1024,0.940890717506409
"pendigits",0.1,4,0.893081724643707,"rect",512,0.926585704088211
"pendigits",0.01,32,0.886792361736298,"cone",256,0.920512866973877
"pendigits",0.01,32,0.887650072574615,"cone",512,0.919703131914139
"pendigits",0.1,2,0.909662663936615,"cone",1024,0.91727397441864
"pendigits",0.01,3,0.869639813899994,"cone",512,0.91605938076973
"pendigits",0.01,2,0.898513436317444,"cone",1024,0.91551958322525
"pendigits",0.1,3,0.857918798923492,"cone",1024,0.911201095581055
"pendigits",0.01,2,0.869353890419006,"rect",1024,0.90188934803009
"pendigits",0.1,4,0.825328707695007,"cone",256,0.888124197721481
"pendigits",0.1,4,0.853630661964417,"rect",256,0.87921729683876
"pendigits",0.1,3,0.848484814167023,"cone",512,0.876788139343262
"pendigits",0.01,3,0.809605479240417,"cone",256,0.846153861284256
"pendigits",0.01,4,0.777873039245605,"cone",256,0.820107972621918
"pendigits",0.1,4,0.730417430400848,"rect",1024,0.815249675512314
"pendigits",0.01,3,0.770440220832825,"rect",1024,0.809986507892609
