"dataset","layerForm","testAccuracy","learningrate","valAccuracy","nlayers","nhidden"
"mushroom","rect",0.999015331268311,0.01,0.999999940395355,32,256
"mushroom","rect",1.00000011920929,0.01,0.999999940395355,16,256
"mushroom","rect",1.00000011920929,0.1,0.999999940395355,16,1024
"mushroom","cone",1.00000011920929,1,0.999999940395355,16,1024
"mushroom","cone",0.999507665634155,1,0.999999940395355,16,512
"mushroom","rect",1.00000011920929,1,0.999999940395355,16,512
"mushroom","rect",0.999507665634155,1,0.999999940395355,16,256
"mushroom","cone",1.00000011920929,0.01,0.999999940395355,8,256
"mushroom","rect",0.998522937297821,0.01,0.999999940395355,8,256
"mushroom","rect",1.00000011920929,1,0.999999940395355,8,1024
"mushroom","cone",1.00000011920929,1,0.999999940395355,8,512
"mushroom","rect",1.00000011920929,1,0.999999940395355,8,512
"mushroom","cone",1.00000011920929,1,0.999999940395355,8,256
"mushroom","rect",1.00000011920929,1,0.999999940395355,8,256
"mushroom","cone",0.999015271663666,0.01,0.999999940395355,4,512
"mushroom","cone",0.9995077252388,0.01,0.999999940395355,4,256
"mushroom","cone",1.00000011920929,0.1,0.999999940395355,4,1024
"mushroom","rect",1.00000011920929,0.1,0.999999940395355,4,256
"mushroom","cone",1.00000011920929,1,0.999999940395355,4,1024
"mushroom","rect",0.997045814990997,1,0.999999940395355,4,1024
"mushroom","cone",1.00000011920929,1,0.999999940395355,4,512
"mushroom","rect",1.00000011920929,1,0.999999940395355,4,512
"mushroom","cone",0.999015331268311,1,0.999999940395355,4,256
"mushroom","rect",1.00000011920929,1,0.999999940395355,4,256
"mushroom","cone",0.998522937297821,0.01,0.999999940395355,3,512
"mushroom","cone",0.999015331268311,0.1,0.999999940395355,3,1024
"mushroom","cone",1.00000011920929,0.1,0.999999940395355,3,256
"mushroom","rect",1.00000011920929,0.1,0.999999940395355,3,256
"mushroom","cone",1.00000011920929,1,0.999999940395355,3,1024
"mushroom","rect",1.00000011920929,1,0.999999940395355,3,1024
"mushroom","cone",0.9995077252388,1,0.999999940395355,3,512
"mushroom","rect",1.00000011920929,1,0.999999940395355,3,512
"mushroom","cone",1.00000011920929,1,0.999999940395355,3,256
"mushroom","rect",1.00000011920929,1,0.999999940395355,3,256
"mushroom","cone",1.00000011920929,0.01,0.999999940395355,2,1024
"mushroom","rect",1.00000011920929,0.01,0.999999940395355,2,512
"mushroom","rect",0.9995077252388,0.01,0.999999940395355,2,256
"mushroom","rect",1.00000011920929,0.1,0.999999940395355,2,512
"mushroom","rect",1.00000011920929,0.1,0.999999940395355,2,256
"mushroom","rect",1.00000011920929,1,0.999999940395355,2,1024
"mushroom","cone",1.00000011920929,1,0.999999940395355,2,512
"mushroom","rect",1.00000011920929,1,0.999999940395355,2,512
"mushroom","cone",1.00000011920929,1,0.999999940395355,2,256
"mushroom","rect",1.00000011920929,1,0.999999940395355,2,256
"mushroom","cone",1.00000011920929,0.01,0.99983993768692,16,1024
"mushroom","cone",1.00000011920929,0.1,0.99983993768692,16,256
"mushroom","rect",1.00000011920929,1,0.99983993768692,16,1024
"mushroom","cone",1.00000011920929,1,0.998879933357239,8,1024
"mushroom","cone",0.999015331268311,0.01,0.998879927396774,3,256
"mushroom","rect",0.998522996902466,0.01,0.99871996641159,2,1024
"mushroom","cone",0.9995077252388,0.01,0.998719930648804,3,1024
"mushroom","rect",0.998030543327332,0.1,0.998559927940369,32,512
"mushroom","cone",1.00000011920929,1,0.998399931192398,16,256
"mushroom","rect",0.997538208961487,0.01,0.998079949617386,4,256
"mushroom","cone",0.998522937297821,0.01,0.998079937696457,2,256
"mushroom","cone",0.989660263061523,0.01,0.997279924154282,32,512
"mushroom","cone",0.998030602931976,1,0.996639919281006,2,1024
"mushroom","cone",0.996553421020508,0.1,0.99519989490509,8,256
"mushroom","rect",0.997045874595642,0.1,0.995039927959442,2,1024
"mushroom","cone",0.995568752288818,0.01,0.993599891662598,2,512
"mushroom","cone",0.999015331268311,0.1,0.993119901418686,4,512
"mushroom","rect",0.997045814990997,0.1,0.992639917135239,16,512
"mushroom","cone",0.996553421020508,0.1,0.992319923639298,16,1024
"mushroom","rect",0.991137385368347,0.01,0.991359949111938,3,512
"mushroom","rect",0.992614507675171,0.1,0.987999939918518,3,512
"mushroom","rect",0.991137385368347,0.01,0.987039947509766,3,256
"mushroom","rect",0.993106782436371,0.1,0.984959936141968,3,1024
"mushroom","cone",0.977351009845734,0.1,0.979359918832779,2,512
"mushroom","rect",0.978828191757202,0.01,0.973599910736084,4,1024
"mushroom","cone",0.986706137657166,0.1,0.969279932975769,4,256
"mushroom","rect",0.964057207107544,0.1,0.967679929733276,8,512
"mushroom","cone",0.975381672382355,0.1,0.966879957914352,8,512
"mushroom","rect",0.976858735084534,0.01,0.960799938440323,4,512
"mushroom","rect",0.98769074678421,0.1,0.959039944410324,4,512
"mushroom","cone",0.954702198505402,0.1,0.950879925489426,3,512
"mushroom","cone",0.939931154251099,0.1,0.935039949417114,2,1024
"mushroom","cone",0.890201926231384,0.01,0.915999937057495,32,256
"mushroom","rect",0.860167443752289,0.1,0.891839951276779,16,256
"mushroom","rect",0.923683047294617,0.01,0.887679940462112,3,1024
"mushroom","cone",0.903495907783508,0.1,0.885919958353043,2,256
"mushroom","cone",0.839980363845825,0.01,0.87487998008728,16,256
"mushroom","rect",0.953717470169067,0.1,0.869439965486526,4,1024
"mushroom","rect",0.850320100784302,0.1,0.854879945516586,8,256
"mushroom","cone",0.610044360160828,0.1,0.73279994726181,8,1024
"mushroom","rect",0.634170413017273,0.01,0.714399975538254,8,512
"mushroom","cone",0.571639597415924,0.01,0.678239977359772,16,512
"mushroom","rect",0.523387491703033,0.1,0.656159973144531,8,1024
"mushroom","cone",0.572131991386414,0.01,0.634559962153435,4,1024
"mushroom","cone",0.749384582042694,0.01,0.611839985847473,8,512
"mushroom","rect",0.48202857375145,0.01,0.591839987039566,16,1024
