"dataset","testAccuracy","nlayers","learningrate","valAccuracy","layerForm","nhidden"
"plant-texture",0.819999933242798,3,1,0.885436892509461,"cone",1024
"plant-texture",0.820000052452087,4,1,0.883495181798935,"cone",512
"plant-texture",0.835000038146973,4,1,0.875728142261505,"cone",1024
"plant-texture",0.820000052452087,3,1,0.875728142261505,"rect",512
"plant-texture",0.794999957084656,2,0.1,0.873786425590515,"rect",1024
"plant-texture",0.807500004768372,2,1,0.872815555334091,"cone",512
"plant-texture",0.794999957084656,2,0.1,0.87281551361084,"rect",256
"plant-texture",0.799999952316284,2,1,0.863106817007065,"rect",512
"plant-texture",0.732499957084656,2,0.1,0.854368966817856,"cone",256
"plant-texture",0.822499990463257,4,1,0.852427238225937,"rect",512
"plant-texture",0.752499938011169,2,0.1,0.844660222530365,"cone",512
"plant-texture",0.764999985694885,3,1,0.835922360420227,"cone",256
"plant-texture",0.792499959468842,2,1,0.834951454401016,"cone",1024
"plant-texture",0.817499995231628,4,1,0.833980637788773,"cone",256
"plant-texture",0.794999957084656,2,1,0.833980584144592,"rect",256
"plant-texture",0.759999990463257,2,0.1,0.831067955493927,"rect",512
"plant-texture",0.740000009536743,3,0.1,0.829126238822937,"rect",1024
"plant-texture",0.727499961853027,2,0.01,0.818446624279022,"rect",512
"plant-texture",0.817499995231628,3,1,0.818446612358093,"cone",512
"plant-texture",0.752499997615814,2,1,0.815533995628357,"cone",256
"plant-texture",0.802500009536743,2,1,0.80388348698616,"rect",1024
"plant-texture",0.654999971389771,3,0.1,0.796116518974304,"cone",512
"plant-texture",0.745000064373016,3,0.1,0.794174748659134,"cone",256
"plant-texture",0.725000023841858,3,0.1,0.791262203454971,"rect",512
"plant-texture",0.714999973773956,3,0.01,0.791262167692185,"rect",256
"plant-texture",0.784999966621399,3,1,0.791262143850327,"rect",256
"plant-texture",0.697499990463257,2,0.1,0.77961163520813,"cone",1024
"plant-texture",0.742499947547913,4,1,0.776699048280716,"rect",256
"plant-texture",0.735000014305115,2,0.01,0.773786449432373,"rect",256
"plant-texture",0.727499961853027,2,0.01,0.770873785018921,"rect",1024
"plant-texture",0.70249992609024,2,0.01,0.768932044506073,"cone",512
"plant-texture",0.659999966621399,3,0.01,0.760194194316864,"rect",1024
"plant-texture",0.724999964237213,2,0.01,0.747572839260101,"cone",256
"plant-texture",0.679999947547913,2,0.01,0.746601957082748,"cone",1024
"plant-texture",0.709999918937683,8,1,0.742718464136124,"cone",1024
"plant-texture",0.717499971389771,4,0.1,0.740776687860489,"cone",256
"plant-texture",0.712499976158142,4,0.1,0.732038879394531,"rect",256
"plant-texture",0.642499923706055,4,0.1,0.731067943572998,"cone",512
"plant-texture",0.672500014305115,3,0.1,0.722330117225647,"rect",256
"plant-texture",0.704999983310699,3,1,0.72038836479187,"rect",1024
"plant-texture",0.67249995470047,3,0.01,0.718446612358093,"cone",256
"plant-texture",0.657500028610229,4,0.1,0.717475742101669,"rect",1024
"plant-texture",0.707499980926514,3,0.1,0.716504859924317,"cone",1024
"plant-texture",0.639999985694885,4,0.1,0.708737856149674,"rect",512
"plant-texture",0.604999959468842,3,0.01,0.704854381084442,"rect",512
"plant-texture",0.632499933242798,3,0.01,0.702912652492523,"cone",512
"plant-texture",0.667499959468842,8,1,0.690291291475296,"cone",512
"plant-texture",0.632499933242798,3,0.01,0.678640800714493,"cone",1024
"plant-texture",0.627499938011169,4,1,0.672815573215485,"rect",1024
"plant-texture",0.632499933242798,4,0.01,0.672815543413162,"rect",512
"plant-texture",0.5625,4,0.01,0.630097091197968,"rect",256
"plant-texture",0.574999988079071,4,0.1,0.616504836082458,"cone",1024
"plant-texture",0.602499961853027,4,0.01,0.582524281740189,"cone",256
"plant-texture",0.42249995470047,4,0.01,0.554368937015533,"cone",1024
"plant-texture",0.474999964237213,8,0.1,0.55436891913414,"cone",256
"plant-texture",0.517499983310699,4,0.01,0.544660180807114,"cone",512
"plant-texture",0.492499947547913,4,0.01,0.524271827936173,"rect",1024
"plant-texture",0.409999966621399,8,1,0.506796136498451,"rect",256
"plant-texture",0.444999992847443,8,0.1,0.44563105404377,"cone",512
"plant-texture",0.384999990463257,8,0.1,0.391262152791023,"rect",1024
"plant-texture",0.427499979734421,16,0.1,0.370873793959618,"rect",1024
"plant-texture",0.339999943971634,8,0.1,0.332038843631744,"cone",1024
"plant-texture",0.324999988079071,16,0.1,0.297087383270264,"rect",256
"plant-texture",0.274999976158142,16,0.1,0.273786401748657,"cone",512
"plant-texture",0.269999980926514,8,1,0.268932047486305,"cone",256
"plant-texture",0.229999989271164,8,1,0.237864072620869,"rect",512
"plant-texture",0.159999996423721,16,0.1,0.220388355851173,"cone",1024
"plant-texture",0.230000004172325,16,0.1,0.219417481124401,"rect",512
"plant-texture",0.152499988675117,8,0.1,0.167961165308952,"rect",512
"plant-texture",0.149999991059303,8,0.1,0.155339809507132,"rect",256
"plant-texture",0.0674999952316284,16,1,0.153398060798645,"cone",256
"plant-texture",0.0874999985098839,8,0.01,0.0825242727994919,"rect",512
"plant-texture",0.0649999976158142,8,0.01,0.0737864065915346,"rect",256
"plant-texture",0.0550000034272671,8,0.01,0.0533980591222644,"cone",1024
"plant-texture",0.0174999982118607,8,0.01,0.034951457194984,"cone",512
"plant-texture",0.00999999977648258,32,0.01,0.0300970880314708,"rect",512
"plant-texture",0.0249999985098839,16,0.1,0.029126213863492,"cone",256
