"dataset","learningrate","layerForm","valAccuracy","nhidden","nlayers","testAccuracy"
"yeast",0.01,"rect",0.594339609146118,256,2,0.490566074848175
"yeast",0.01,"rect",0.568867927789688,512,2,0.49056601524353
"yeast",0.01,"rect",0.567924529314041,1024,2,0.498652279376984
"yeast",1,"cone",0.566037738323212,256,2,0.547169804573059
"yeast",1,"cone",0.546226412057877,512,3,0.436657667160034
"yeast",1,"cone",0.534905660152435,512,4,0.463611841201782
"yeast",0.1,"rect",0.533962270617485,512,3,0.509433925151825
"yeast",0.1,"rect",0.532075476646423,256,3,0.369272232055664
"yeast",0.1,"rect",0.525471696257591,1024,2,0.517520189285278
"yeast",0.1,"rect",0.513207557797432,512,2,0.42318058013916
"yeast",1,"cone",0.5132075548172,1024,2,0.501347720623016
"yeast",0.1,"rect",0.513207551836968,256,2,0.495956808328629
"yeast",0.01,"rect",0.512264150381088,1024,4,0.436657696962357
"yeast",0.01,"cone",0.51037737429142,1024,3,0.493261456489563
"yeast",0.01,"rect",0.508490577340126,1024,3,0.539083540439606
"yeast",0.1,"cone",0.506603783369064,1024,3,0.455525577068329
"yeast",1,"cone",0.505660402774811,512,2,0.487870663404465
"yeast",0.1,"cone",0.504716992378235,1024,2,0.428571462631226
"yeast",0.1,"rect",0.504716989398003,512,4,0.390835553407669
"yeast",0.1,"rect",0.503773593902588,1024,4,0.512129366397858
"yeast",1,"cone",0.501886811852455,1024,4,0.460916459560394
"yeast",1,"rect",0.497169822454453,512,4,0.444743931293488
"yeast",0.1,"rect",0.493396231532097,1024,3,0.439353108406067
"yeast",1,"cone",0.492452839016914,256,4,0.404312640428543
"yeast",0.01,"cone",0.489622649550438,1024,2,0.450134754180908
"yeast",0.01,"cone",0.486792457103729,256,2,0.536388158798218
"yeast",1,"cone",0.485849067568779,256,3,0.428571432828903
"yeast",0.01,"cone",0.484905672073364,256,3,0.536388158798218
"yeast",0.1,"cone",0.483962270617485,256,2,0.401617228984833
"yeast",0.01,"rect",0.4783018887043,512,3,0.469002664089203
"yeast",0.01,"rect",0.47547170817852,512,4,0.42587599158287
"yeast",0.01,"cone",0.470754736661911,512,3,0.431266844272614
"yeast",1,"cone",0.469811329245567,1024,3,0.528301894664764
"yeast",0.01,"rect",0.469811326265335,256,3,0.458220988512039
"yeast",1,"rect",0.46886793076992,256,3,0.318059265613556
"yeast",0.1,"cone",0.465094354748726,512,2,0.479784369468689
"yeast",0.1,"cone",0.461320757865906,1024,8,0.366576820611954
"yeast",1,"cone",0.455660384893417,1024,8,0.41778975725174
"yeast",0.1,"cone",0.450943401455879,256,3,0.374663084745407
"yeast",0.01,"rect",0.449056607484817,256,4,0.388140171766281
"yeast",0.1,"rect",0.445283028483391,256,16,0.363881379365921
"yeast",0.01,"cone",0.445283028483391,512,4,0.385444760322571
"yeast",0.1,"rect",0.441509431600571,256,4,0.334231793880463
"yeast",0.1,"cone",0.440566048026085,512,8,0.377358466386795
"yeast",0.01,"cone",0.43962265253067,1024,4,0.396226406097412
"yeast",0.1,"cone",0.437735858559609,512,4,0.350404292345047
"yeast",0.01,"cone",0.437735855579376,512,2,0.431266844272614
"yeast",1,"cone",0.435849076509476,256,8,0.436657667160034
