"dataset","learningrate","nlayers","layerForm","valAccuracy","nhidden","testAccuracy"
"plant-margin",1,2,"rect",0.843442571163178,256,0.759999990463257
"plant-margin",1,4,"cone",0.831147474050522,1024,0.797500014305115
"plant-margin",1,4,"cone",0.800819647312164,512,0.784999966621399
"plant-margin",1,3,"cone",0.792622888088226,512,0.787500023841858
"plant-margin",1,4,"cone",0.791803228855133,256,0.732499957084656
"plant-margin",1,3,"rect",0.777868819236755,256,0.740000009536743
"plant-margin",0.1,2,"rect",0.777868819236755,512,0.769999980926514
"plant-margin",0.1,2,"rect",0.775409805774689,256,0.712499976158142
"plant-margin",1,2,"cone",0.771311438083649,1024,0.714999973773956
"plant-margin",1,3,"cone",0.770491719245911,1024,0.762499928474426
"plant-margin",1,2,"cone",0.768852436542511,256,0.662499964237213
"plant-margin",1,3,"cone",0.766393423080445,256,0.737499952316284
"plant-margin",1,2,"cone",0.761475336551666,512,0.740000009536743
"plant-margin",0.01,2,"rect",0.752459001541138,512,0.707499921321869
"plant-margin",0.1,2,"cone",0.748360604047775,512,0.647499918937683
"plant-margin",0.01,3,"rect",0.746721315383911,512,0.610000014305115
"plant-margin",0.1,2,"rect",0.743442589044571,1024,0.689999938011169
"plant-margin",0.1,2,"cone",0.73934423327446,256,0.722499966621399
"plant-margin",0.1,3,"cone",0.730327826738357,256,0.70249992609024
"plant-margin",0.01,2,"rect",0.7295081615448,256,0.720000028610229
"plant-margin",0.01,2,"cone",0.712295061349869,512,0.654999971389771
"plant-margin",0.1,4,"cone",0.710655683279037,256,0.642499923706055
"plant-margin",0.1,3,"rect",0.708196711540222,512,0.677499949932098
"plant-margin",0.01,2,"cone",0.707377004623413,1024,0.612499952316284
"plant-margin",1,4,"rect",0.707376980781555,256,0.717499971389771
"plant-margin",0.1,2,"cone",0.705737674236298,1024,0.6875
"plant-margin",0.1,3,"rect",0.698360562324524,256,0.722499966621399
"plant-margin",0.01,2,"rect",0.693442589044571,1024,0.707499980926514
"plant-margin",0.1,3,"rect",0.692622941732407,1024,0.669999957084656
"plant-margin",1,3,"rect",0.681967186927795,1024,0.625
"plant-margin",0.1,4,"cone",0.681967157125473,512,0.67249995470047
