"dataset","layerForm","learningrate","testAccuracy","valAccuracy","nhidden","nlayers"
"heart-va","rect",0.01,0.280000001192093,0.444999998807907,256,2
"heart-va","cone",0.1,0.219999998807907,0.420000016689301,256,16
"heart-va","rect",0.01,0.199999988079071,0.400000005960465,512,32
"heart-va","cone",0.01,0.199999988079071,0.400000005960465,256,32
"heart-va","rect",0.1,0.299999982118607,0.380000008642674,1024,8
"heart-va","rect",0.01,0.339999973773956,0.380000007152557,1024,3
"heart-va","rect",0.01,0.339999973773956,0.3700000166893,512,2
"heart-va","rect",1,0.359999984502792,0.360000006854534,256,4
"heart-va","rect",0.1,0.339999973773956,0.355000022053719,256,2
"heart-va","cone",0.01,0.239999994635582,0.355000013113022,256,2
"heart-va","rect",0.1,0.459999978542328,0.350000011920929,1024,2
"heart-va","rect",0.01,0.359999984502792,0.345000013709068,1024,2
"heart-va","cone",1,0.239999979734421,0.340000005066395,1024,16
"heart-va","cone",1,0.319999992847443,0.330000013113022,512,8
"heart-va","rect",1,0.319999992847443,0.330000005662441,256,3
"heart-va","rect",0.01,0.359999984502792,0.325000017881393,512,4
"heart-va","rect",1,0.419999986886978,0.325000011920929,512,2
"heart-va","cone",1,0.340000003576279,0.320000010728836,1024,3
"heart-va","rect",1,0.339999973773956,0.320000006258488,256,2
"heart-va","cone",0.01,0.300000011920929,0.315000012516975,512,2
"heart-va","cone",1,0.399999976158142,0.315000011026859,256,2
"heart-va","rect",1,0.279999971389771,0.315000009536743,1024,3
"heart-va","rect",0.1,0.239999979734421,0.315000008046627,256,16
"heart-va","rect",1,0.239999979734421,0.315000003576279,512,4
"heart-va","cone",0.01,0.379999995231628,0.310000011324882,1024,3
"heart-va","cone",1,0.399999976158142,0.305000007152557,1024,2
"heart-va","cone",0.01,0.339999973773956,0.300000011920929,1024,2
"heart-va","rect",1,0.300000011920929,0.295000004768372,1024,8
"heart-va","rect",0.1,0.359999984502792,0.290000009536743,512,3
"heart-va","rect",0.1,0.399999976158142,0.290000009536743,1024,4
"heart-va","cone",1,0.239999979734421,0.290000005066395,256,16
"heart-va","cone",1,0.259999990463257,0.290000003576279,256,8
"heart-va","cone",1,0.359999984502792,0.28500000834465,512,2
"heart-va","rect",0.1,0.200000002980232,0.285000003129244,256,32
"heart-va","rect",0.1,0.319999992847443,0.280000004172325,512,32
"heart-va","rect",1,0.200000002980232,0.280000004172325,256,32
"heart-va","cone",1,0.279999971389771,0.275000007450581,512,3
"heart-va","cone",1,0.319999992847443,0.270000007748604,1024,8
"heart-va","rect",1,0.340000003576279,0.270000007748604,1024,2
"heart-va","rect",0.01,0.279999971389771,0.270000006258488,256,3
"heart-va","rect",1,0.259999990463257,0.265000010281801,512,3
"heart-va","cone",0.1,0.179999992251396,0.265000008046627,512,16
"heart-va","cone",0.1,0.299999982118607,0.265000008046627,256,2
"heart-va","rect",1,0.200000002980232,0.265000004321337,256,16
"heart-va","cone",1,0.279999971389771,0.265000004321337,256,3
"heart-va","rect",0.1,0.339999973773956,0.260000006854534,1024,3
"heart-va","rect",0.01,0.319999992847443,0.260000005364418,1024,4
"heart-va","cone",1,0.319999992847443,0.255000008642674,1024,4
"heart-va","cone",0.1,0.379999995231628,0.250000009313226,512,4
"heart-va","cone",0.1,0.179999992251396,0.245000006258488,256,8
"heart-va","rect",1,0.280000001192093,0.245000006258488,1024,4
"heart-va","cone",0.1,0.239999994635582,0.240000004321337,512,2
"heart-va","rect",0.1,0.239999979734421,0.240000003576279,1024,16
"heart-va","rect",1,0.199999988079071,0.23500000461936,1024,16
"heart-va","cone",0.1,0.439999967813492,0.230000005662441,1024,3
"heart-va","cone",0.1,0.359999984502792,0.230000005662441,1024,2
"heart-va","cone",0.1,0.200000002980232,0.230000003427267,1024,32
"heart-va","rect",0.1,0.319999992847443,0.230000003427267,1024,32
"heart-va","cone",0.1,0.300000011920929,0.230000002682209,256,3
"heart-va","rect",0.1,0.339999973773956,0.220000004768372,256,3
"heart-va","rect",0.1,0.339999973773956,0.220000004023314,512,2
"heart-va","rect",1,0.319999992847443,0.220000003278256,512,16
"heart-va","rect",0.1,0.339999973773956,0.220000003278255,512,4
"heart-va","rect",1,0.219999998807907,0.220000002533197,256,8
"heart-va","cone",0.01,0.360000014305115,0.220000001788139,256,3
"heart-va","rect",0.1,0.419999986886978,0.215000002086163,256,8
"heart-va","cone",0.01,0.319999992847443,0.21000000461936,1024,8
"heart-va","rect",1,0.239999979734421,0.210000004246831,512,8
"heart-va","cone",1,0.319999992847443,0.210000003129244,256,32
"heart-va","rect",0.01,0.239999979734421,0.200000002980232,1024,32
