"dataset","layerForm","testAccuracy","nlayers","learningrate","valAccuracy","nhidden"
"balance-scale","cone",0.858974397182465,8,1,0.820454597473145,256
"balance-scale","rect",0.92948716878891,3,0.01,0.820454597473145,512
"balance-scale","cone",0.89102566242218,2,0.01,0.818181872367859,512
"balance-scale","rect",0.89102566242218,2,0.01,0.818181872367859,256
"balance-scale","cone",0.897435903549194,16,0.1,0.818181866407395,256
"balance-scale","cone",0.916666626930237,4,1,0.818181854486466,256
"balance-scale","cone",0.903846144676208,3,1,0.818181848526001,256
"balance-scale","cone",0.897435903549194,2,0.01,0.815909147262573,256
"balance-scale","cone",0.89102566242218,8,1,0.81590912938118,1024
"balance-scale","rect",0.910256385803223,3,0.01,0.813636410236359,1024
"balance-scale","rect",0.903846144676208,4,1,0.811363673210144,256
"balance-scale","rect",0.865384638309479,8,0.1,0.811363661289215,512
"balance-scale","rect",0.89102566242218,3,0.01,0.804545485973358,256
"balance-scale","cone",0.89102566242218,4,1,0.804545480012894,512
"balance-scale","rect",0.903846204280853,16,0.1,0.802272766828537,1024
"balance-scale","cone",0.897435903549194,2,1,0.800000071525574,512
"balance-scale","rect",0.858974397182465,16,0.1,0.793181854486465,256
"balance-scale","rect",0.891025602817535,4,0.1,0.790909099578858,256
"balance-scale","rect",0.878205180168152,8,1,0.788636428117752,256
"balance-scale","cone",0.85256415605545,3,0.1,0.781818181276322,512
"balance-scale","rect",0.820512890815735,16,0.1,0.775,512
"balance-scale","cone",0.833333373069763,4,0.01,0.774999988079071,512
"balance-scale","rect",0.85256415605545,16,1,0.75,256
"balance-scale","cone",0.788461565971375,4,0.01,0.729545474052429,256
"balance-scale","cone",0.82051283121109,4,0.01,0.725,1024
"balance-scale","cone",0.865384638309479,3,0.01,0.720454573631287,512
"balance-scale","rect",0.743589758872986,8,0.01,0.711363661289215,1024
"balance-scale","rect",0.78205132484436,8,0.01,0.668181824684143,512
"balance-scale","rect",0.730769217014313,16,0.01,0.627272737026215,512
"balance-scale","cone",0.737179577350616,8,0.01,0.595454561710358,512
"balance-scale","cone",0.583333373069763,8,0.01,0.559090906381607,1024
"balance-scale","rect",0.46153849363327,16,1,0.511363646388054,512
"balance-scale","rect",0.596153855323792,8,0.01,0.484090927243233,256
"balance-scale","cone",0.384615421295166,32,0.01,0.481818205118179,1024
"balance-scale","rect",0.46153849363327,32,0.01,0.46363637149334,256
"balance-scale","cone",0.46153849363327,32,0.01,0.454545468091965,512
"balance-scale","cone",0.46153849363327,32,0.1,0.454545468091965,512
"balance-scale","cone",0.46153849363327,32,0.1,0.454545468091965,256
"balance-scale","cone",0.46153849363327,32,1,0.454545468091965,1024
"balance-scale","rect",0.46153849363327,32,1,0.454545468091965,1024
"balance-scale","rect",0.46153849363327,32,1,0.454545468091965,512
"balance-scale","cone",0.46153849363327,32,1,0.454545468091965,256
"balance-scale","rect",0.46153849363327,32,1,0.454545468091965,256
"balance-scale","cone",0.46153849363327,16,0.01,0.454545468091965,1024
"balance-scale","rect",0.46153849363327,16,0.01,0.454545468091965,1024
"balance-scale","cone",0.46153849363327,16,0.01,0.454545468091965,256
"balance-scale","cone",0.46153849363327,16,0.1,0.454545468091965,1024
"balance-scale","cone",0.46153849363327,16,1,0.454545468091965,512
"balance-scale","cone",0.46153849363327,8,0.1,0.454545468091965,256
"balance-scale","cone",0.46153849363327,32,0.1,0.434090924263001,1024
"balance-scale","cone",0.46153849363327,32,1,0.427272742986679,512
"balance-scale","cone",0.461538463830948,16,1,0.427272742986679,256
"balance-scale","cone",0.493589788675308,16,0.01,0.427272740006447,512
"balance-scale","rect",0.435897439718246,32,0.01,0.422727283835411,512
"balance-scale","cone",0.538461565971375,8,0.01,0.413636383414269,256
"balance-scale","rect",0.461538463830948,32,0.1,0.406818199157715,1024
"balance-scale","cone",0.46153849363327,8,0.1,0.402272745966911,512
"balance-scale","rect",0.46153849363327,32,0.1,0.393181836605072,256
"balance-scale","rect",0.461538463830948,32,0.01,0.386363655328751,1024
"balance-scale","cone",0.46153849363327,32,0.01,0.386363655328751,256
"balance-scale","rect",0.461538463830948,16,0.01,0.386363655328751,256
"balance-scale","rect",0.46153849363327,16,1,0.386363655328751,1024
"balance-scale","rect",0.461538463830948,32,0.1,0.370454561710358,512
