"dataset","nlayers","testAccuracy","layerForm","nhidden","learningrate","valAccuracy"
"spect",2,0.446236550807953,"cone",1024,1,0.375
"spect",32,0.548387110233307,"cone",1024,0.01,0.375
"spect",32,0.548387110233307,"cone",512,0.01,0.375
"spect",32,0.548387050628662,"cone",256,0.01,0.375
"spect",32,0.548387110233307,"rect",256,0.01,0.375
"spect",32,0.548387110233307,"cone",1024,0.1,0.375
"spect",32,0.548387050628662,"rect",1024,0.1,0.375
"spect",32,0.548387110233307,"cone",512,0.1,0.375
"spect",32,0.548387110233307,"cone",256,0.1,0.375
"spect",32,0.548387050628662,"cone",1024,1,0.375
"spect",32,0.548387110233307,"rect",1024,1,0.375
"spect",32,0.548387050628662,"cone",256,1,0.375
"spect",16,0.564516127109528,"rect",1024,0.01,0.375
"spect",16,0.548387050628662,"cone",512,0.01,0.375
"spect",16,0.548387050628662,"cone",256,0.01,0.375
"spect",16,0.548387050628662,"rect",256,0.01,0.375
"spect",16,0.548387110233307,"cone",1024,0.1,0.375
"spect",16,0.548387050628662,"cone",256,1,0.375
"spect",8,0.548387110233307,"cone",1024,0.01,0.375
"spect",8,0.548387050628662,"rect",1024,0.01,0.375
"spect",8,0.548387110233307,"cone",512,0.01,0.375
"spect",8,0.548387110233307,"cone",256,0.01,0.375
"spect",8,0.548387050628662,"rect",256,0.01,0.375
"spect",8,0.548387050628662,"cone",256,0.1,0.375
"spect",4,0.548387110233307,"cone",256,0.01,0.375
"spect",4,0.548387110233307,"cone",512,0.1,0.375
"spect",3,0.602150559425354,"cone",512,0.01,0.375
"spect",3,0.564516127109528,"rect",512,0.01,0.375
"spect",3,0.548387110233307,"cone",256,0.01,0.375
"spect",3,0.580645143985748,"cone",512,0.1,0.375
"spect",3,0.623655915260315,"cone",256,0.1,0.375
"spect",2,0.602150559425354,"cone",1024,0.01,0.375
"spect",2,0.532258093357086,"cone",256,0.01,0.375
"spect",2,0.61827951669693,"cone",1024,0.1,0.375
"spect",4,0.586021542549133,"cone",1024,0.1,0.3625
"spect",3,0.629032254219055,"cone",512,1,0.3375
"spect",2,0.650537610054016,"rect",256,0.1,0.3375
"spect",3,0.623655915260315,"rect",1024,0.01,0.325
"spect",2,0.575268805027008,"rect",1024,0.1,0.325
"spect",4,0.618279576301575,"rect",1024,0.1,0.325
"spect",3,0.634408593177795,"rect",512,0.1,0.3125
"spect",3,0.607526898384094,"rect",256,0.1,0.3125
"spect",2,0.612903237342834,"rect",512,0.01,0.3125
"spect",2,0.564516067504883,"cone",512,0.1,0.3
"spect",3,0.655913949012756,"rect",256,0.01,0.2875
"spect",2,0.661290347576141,"rect",512,0.1,0.2875
"spect",4,0.623655915260315,"rect",1024,0.01,0.2875
"spect",4,0.645161330699921,"rect",512,0.1,0.2875
"spect",2,0.629032254219055,"cone",256,1,0.2875
"spect",2,0.607526898384094,"cone",256,0.1,0.275
"spect",2,0.639784932136536,"rect",1024,0.01,0.2625
"spect",4,0.596774220466614,"cone",256,0.1,0.2625
"spect",4,0.602150559425354,"rect",256,0.1,0.2625
