"dataset","valAccuracy","nlayers","learningrate","testAccuracy","nhidden","layerForm"
"libras",0.733333384990692,3,0.01,0.744444489479065,1024,"cone"
"libras",0.728571462631226,2,0.01,0.666666746139526,256,"rect"
"libras",0.71904764175415,8,0.1,0.755555629730225,512,"cone"
"libras",0.714285755157471,4,0.1,0.72222226858139,512,"cone"
"libras",0.714285731315613,4,0.01,0.677777826786041,1024,"rect"
"libras",0.714285731315613,2,0.01,0.744444489479065,1024,"cone"
"libras",0.680952441692352,3,0.01,0.677777826786041,512,"cone"
"libras",0.680952417850494,8,0.1,0.733333349227905,1024,"cone"
"libras",0.671428632736206,4,0.1,0.788888931274414,1024,"cone"
"libras",0.666666746139526,4,0.01,0.633333325386047,512,"cone"
"libras",0.661904835700989,3,0.1,0.700000047683716,256,"cone"
"libras",0.657142931222916,2,0.1,0.733333349227905,512,"cone"
"libras",0.652381014823914,3,0.1,0.700000047683716,1024,"cone"
"libras",0.652380973100662,2,0.1,0.700000047683716,1024,"rect"
"libras",0.638095289468765,3,0.1,0.755555629730225,512,"rect"
"libras",0.638095277547836,8,0.1,0.677777826786041,256,"cone"
"libras",0.61904764175415,4,0.01,0.644444465637207,512,"rect"
"libras",0.61904764175415,4,0.01,0.688888907432556,256,"rect"
"libras",0.61904764175415,3,0.01,0.72222226858139,1024,"rect"
"libras",0.61904764175415,2,0.01,0.655555605888367,1024,"rect"
"libras",0.595238119363785,3,0.1,0.611111164093018,256,"rect"
"libras",0.590476214885712,3,0.1,0.677777826786041,1024,"rect"
"libras",0.580952405929565,2,0.1,0.577777802944183,512,"rect"
"libras",0.576190501451492,8,0.1,0.488888919353485,1024,"rect"
"libras",0.576190501451492,2,0.01,0.666666686534882,512,"cone"
"libras",0.576190501451492,2,0.1,0.633333325386047,256,"cone"
"libras",0.571428596973419,4,0.01,0.611111164093018,1024,"cone"
"libras",0.571428596973419,3,0.01,0.655555605888367,512,"rect"
"libras",0.561904788017273,4,0.1,0.600000023841858,1024,"rect"
"libras",0.5571428835392,4,0.1,0.688888907432556,256,"cone"
"libras",0.552380979061127,4,1,0.477777808904648,256,"cone"
"libras",0.523809552192688,8,0.01,0.344444453716278,256,"cone"
"libras",0.523809552192688,3,0.1,0.588888943195343,512,"cone"
"libras",0.523809552192688,2,1,0.566666722297668,256,"rect"
"libras",0.519047644734383,3,1,0.555555582046509,256,"cone"
"libras",0.514285743236542,2,0.01,0.622222304344177,256,"cone"
"libras",0.504761931300163,2,0.1,0.611111164093018,1024,"cone"
"libras",0.476190507411957,3,0.01,0.51111114025116,256,"rect"
"libras",0.476190507411957,2,0.01,0.577777862548828,512,"rect"
"libras",0.476190507411957,2,1,0.533333361148834,256,"cone"
"libras",0.457142886519432,8,0.1,0.433333337306976,512,"rect"
"libras",0.4571428835392,3,1,0.400000035762787,256,"rect"
"libras",0.433333343267441,2,1,0.555555582046509,1024,"cone"
"libras",0.428571462631226,4,0.01,0.577777862548828,256,"cone"
"libras",0.428571438789368,3,1,0.388888895511627,512,"cone"
"libras",0.423809537291527,4,0.1,0.411111116409302,256,"rect"
"libras",0.419047626852989,2,1,0.51111114025116,1024,"rect"
"libras",0.41428572833538,3,1,0.355555564165115,1024,"cone"
"libras",0.409523814916611,2,1,0.488888919353485,512,"cone"
"libras",0.404761922359466,4,0.1,0.433333367109299,512,"rect"
"libras",0.371428579092026,3,1,0.411111116409302,1024,"rect"
"libras",0.333333349227905,2,1,0.444444477558136,512,"rect"
"libras",0.333333343267441,4,1,0.333333373069763,512,"cone"
"libras",0.323809534311295,8,0.01,0.277777791023254,1024,"cone"
"libras",0.323809534311295,8,0.01,0.211111128330231,512,"rect"
"libras",0.309523820877075,4,1,0.266666680574417,512,"rect"
"libras",0.304761916399002,2,0.1,0.388888895511627,256,"rect"
"libras",0.29523810595274,4,1,0.377777814865112,1024,"rect"
"libras",0.28571429848671,4,1,0.355555593967438,1024,"cone"
"libras",0.276190489530563,8,0.1,0.366666674613953,256,"rect"
"libras",0.276190488040447,3,1,0.38888892531395,512,"rect"
"libras",0.247619058191776,8,0.01,0.288888901472092,1024,"rect"
"libras",0.238095253705978,16,0.01,0.166666686534882,1024,"cone"
"libras",0.233333346247673,8,1,0.26666671037674,1024,"cone"
"libras",0.209523817896843,3,0.01,0.277777791023254,256,"cone"
"libras",0.204761911928654,16,0.01,0.0666666701436043,256,"rect"
"libras",0.200000006705523,8,1,0.25555557012558,256,"cone"
"libras",0.19523810595274,8,1,0.16666667163372,512,"rect"
"libras",0.195238099992275,16,0.1,0.0888888910412788,1024,"cone"
"libras",0.190476199239492,8,1,0.0666666701436043,1024,"rect"
"libras",0.190476195514202,8,1,0.0888888910412788,512,"cone"
"libras",0.190476194024086,32,0.1,0.0666666701436043,512,"cone"
"libras",0.190476194024086,16,0.01,0.0666666701436043,1024,"rect"
"libras",0.171428578346968,16,1,0.122222222387791,256,"cone"
"libras",0.171428574994206,4,1,0.25555557012558,256,"rect"
"libras",0.142857148870826,16,0.1,0.222222238779068,256,"cone"
"libras",0.128571434319019,16,0.1,0.0666666701436043,512,"rect"
"libras",0.128571433573961,8,0.01,0.144444450736046,256,"rect"
"libras",0.12380952835083,32,1,0.0666666701436043,512,"rect"
"libras",0.123809527605772,16,0.1,0.0666666701436043,1024,"rect"
"libras",0.119047622382641,8,0.01,0.0666666701436043,512,"cone"
"libras",0.114285718277097,32,1,0.0666666701436043,512,"cone"
"libras",0.100000001862645,32,1,0.0666666701436043,256,"rect"
"libras",0.095238097012043,32,0.01,0.0666666701436043,512,"rect"
"libras",0.095238097012043,32,0.01,0.0666666701436043,256,"cone"
"libras",0.0904761925339699,32,0.1,0.0666666701436043,256,"rect"
"libras",0.0857142884284258,16,1,0.0888888910412788,512,"cone"
"libras",0.0857142876833677,32,0.01,0.0666666701436043,1024,"rect"
"libras",0.0857142873108387,32,0.1,0.0666666701436043,512,"rect"
"libras",0.0857142873108387,16,1,0.0666666701436043,512,"rect"
"libras",0.0809523824602365,32,1,0.0666666701436043,256,"cone"
"libras",0.0761904779821634,32,1,0.0666666701436043,1024,"rect"
"libras",0.0761904776096344,32,0.1,0.0666666701436043,256,"cone"
"libras",0.0761904776096344,16,1,0.0666666701436043,1024,"cone"
"libras",0.0714285735040903,16,1,0.0666666701436043,1024,"rect"
"libras",0.0666666690260172,16,1,0.0666666701436043,256,"rect"
"libras",0.0666666679084301,32,1,0.0666666701436043,1024,"cone"
"libras",0.0666666679084301,32,0.01,0.0666666701436043,512,"cone"
