"dataset","testAccuracy","nhidden","nlayers","valAccuracy","learningrate","layerForm"
"statlog-landsat",0.904000043869019,1024,8,0.940401804447174,1,"cone"
"statlog-landsat",0.912500023841858,256,4,0.939508962631226,1,"cone"
"statlog-landsat",0.890000104904175,256,3,0.938392853736878,1,"cone"
"statlog-landsat",0.912500083446503,512,4,0.938169676065445,1,"cone"
"statlog-landsat",0.890500068664551,256,2,0.937276804447174,0.1,"rect"
"statlog-landsat",0.906499981880188,256,2,0.937053608894348,1,"cone"
"statlog-landsat",0.901500105857849,256,2,0.934598201513291,1,"rect"
"statlog-landsat",0.891000032424927,256,3,0.933705395460129,0.01,"rect"
"statlog-landsat",0.901000022888184,1024,4,0.933035719394684,1,"cone"
"statlog-landsat",0.882500052452087,256,8,0.931250023841858,1,"rect"
"statlog-landsat",0.896499991416931,256,8,0.92946429848671,0.1,"cone"
"statlog-landsat",0.898000001907349,512,4,0.929241120815277,0.01,"rect"
"statlog-landsat",0.903999984264374,512,8,0.928571432828903,1,"cone"
"statlog-landsat",0.905500113964081,1024,2,0.927232152223587,1,"cone"
"statlog-landsat",0.891000092029572,1024,3,0.926785749197006,1,"cone"
"statlog-landsat",0.881999969482422,512,2,0.926339310407639,1,"cone"
"statlog-landsat",0.890000104904175,256,2,0.926339268684387,0.01,"cone"
"statlog-landsat",0.843500018119812,512,16,0.925000011920929,1,"cone"
"statlog-landsat",0.894000053405762,1024,16,0.924553573131561,1,"cone"
"statlog-landsat",0.887500047683716,256,4,0.924330359697342,1,"rect"
"statlog-landsat",0.907000064849854,512,2,0.924107170104981,1,"rect"
"statlog-landsat",0.907000005245209,256,3,0.92321429848671,0.1,"rect"
"statlog-landsat",0.880500078201294,256,16,0.921651786565781,0.1,"rect"
"statlog-landsat",0.850000023841858,1024,2,0.920982140302658,1,"rect"
"statlog-landsat",0.882500112056732,512,4,0.918526816368103,1,"rect"
"statlog-landsat",0.893999993801117,256,3,0.918080353736877,1,"rect"
"statlog-landsat",0.870500028133392,512,3,0.917633956670761,1,"rect"
"statlog-landsat",0.865000009536743,512,16,0.917633932828903,0.1,"rect"
"statlog-landsat",0.899000108242035,256,8,0.917633932828903,1,"cone"
"statlog-landsat",0.857000112533569,1024,16,0.914285725355148,0.1,"cone"
"statlog-landsat",0.88100004196167,512,16,0.913169658184052,0.1,"cone"
"statlog-landsat",0.868000090122223,256,16,0.911607164144516,1,"cone"
