"dataset","valAccuracy","nhidden","learningrate","testAccuracy","layerForm","nlayers"
"page-blocks",0.922081214189529,512,0.1,0.912280678749084,"rect",3
"page-blocks",0.921066009998322,512,0.01,0.900584816932678,"rect",32
"page-blocks",0.920304590463638,512,0.1,0.91301167011261,"rect",8
"page-blocks",0.920050764083862,256,0.01,0.913742661476135,"rect",32
"page-blocks",0.918274104595184,512,0.1,0.913742661476135,"rect",2
"page-blocks",0.916497486829758,256,0.1,0.906432747840881,"rect",4
"page-blocks",0.914467024803162,256,0.1,0.90350878238678,"rect",3
"page-blocks",0.913705599308014,1024,0.1,0.902777791023254,"cone",4
"page-blocks",0.913705593347549,256,0.1,0.904239773750305,"rect",2
"page-blocks",0.911675161123276,1024,0.01,0.906432747840881,"cone",3
"page-blocks",0.911675143241882,1024,0.01,0.907163739204407,"cone",4
"page-blocks",0.909644687175751,1024,0.1,0.902777791023254,"cone",2
"page-blocks",0.908375650644302,256,0.1,0.904970765113831,"cone",3
"page-blocks",0.908121848106384,256,0.1,0.900584757328033,"cone",2
"page-blocks",0.90812184214592,1024,0.1,0.901315808296204,"cone",3
"page-blocks",0.907360422611237,512,0.01,0.900584757328033,"cone",4
"page-blocks",0.906345182657242,512,0.1,0.900584816932678,"cone",2
"page-blocks",0.905076152086258,512,0.01,0.900584816932678,"rect",8
"page-blocks",0.905076152086258,256,0.01,0.899853765964508,"cone",4
"page-blocks",0.904568541049957,1024,0.1,0.899853825569153,"cone",32
"page-blocks",0.904060924053192,512,0.01,0.899853825569153,"cone",3
"page-blocks",0.90380711555481,1024,0.01,0.899122834205627,"rect",8
"page-blocks",0.90380711555481,256,0.01,0.901315808296204,"cone",3
"page-blocks",0.90380711555481,512,0.1,0.899853765964508,"cone",3
"page-blocks",0.903553307056427,1024,0.01,0.898391783237457,"cone",32
"page-blocks",0.903553307056427,512,0.01,0.898391783237457,"cone",32
"page-blocks",0.903553307056427,256,0.01,0.898391842842102,"cone",32
"page-blocks",0.903553307056427,256,0.1,0.898391783237457,"cone",32
"page-blocks",0.903553307056427,1024,1,0.898391842842102,"cone",32
"page-blocks",0.903553307056427,512,1,0.898391783237457,"cone",32
"page-blocks",0.903553307056427,256,1,0.898391783237457,"rect",32
"page-blocks",0.903553307056427,1024,0.01,0.898391783237457,"cone",16
"page-blocks",0.903553307056427,1024,0.01,0.898391842842102,"rect",16
"page-blocks",0.903553307056427,512,0.01,0.898391842842102,"cone",16
"page-blocks",0.903553307056427,512,0.01,0.898391842842102,"rect",16
"page-blocks",0.903553307056427,256,0.01,0.898391842842102,"cone",16
"page-blocks",0.903553307056427,256,0.01,0.898391842842102,"rect",16
"page-blocks",0.903553307056427,1024,0.1,0.898391783237457,"cone",16
"page-blocks",0.903553307056427,512,0.1,0.898391842842102,"cone",16
"page-blocks",0.903553307056427,256,0.1,0.898391842842102,"cone",16
"page-blocks",0.903553307056427,512,1,0.898391842842102,"rect",16
"page-blocks",0.903553307056427,1024,0.01,0.898391842842102,"cone",8
"page-blocks",0.903553307056427,512,0.01,0.898391842842102,"cone",8
"page-blocks",0.903553307056427,256,0.01,0.898391842842102,"cone",8
"page-blocks",0.903553307056427,256,0.01,0.900584816932678,"rect",8
"page-blocks",0.903553307056427,1024,0.1,0.899122834205627,"cone",8
"page-blocks",0.903553307056427,512,0.1,0.898391783237457,"cone",8
"page-blocks",0.903553307056427,256,0.1,0.898391842842102,"cone",8
"page-blocks",0.903553307056427,512,0.1,0.899122834205627,"cone",4
"page-blocks",0.903553307056427,256,0.1,0.899122774600983,"cone",4
"page-blocks",0.891116797924042,512,0.1,0.872807025909424,"cone",32
"page-blocks",0.881472092866898,1024,0.1,0.898391783237457,"rect",32
"page-blocks",0.846700543165207,1024,1,0.883771896362305,"cone",16
"page-blocks",0.843147215247154,256,0.1,0.898391842842102,"rect",32
"page-blocks",0.742131996154785,256,1,0.767543852329254,"cone",16
"page-blocks",0.594162455201149,256,1,0.685672521591187,"rect",8
"page-blocks",0.400761425495148,256,1,0.345029234886169,"rect",16
"page-blocks",0.190355331264436,1024,1,0.0051169591024518,"rect",32
"page-blocks",0.184771578013897,1024,1,0.0160818714648485,"rect",16
"page-blocks",0.104060914181173,512,1,0.0160818714648485,"rect",32
"page-blocks",0.0192893400788307,256,1,0.0051169591024518,"cone",32
