"dataset","valAccuracy","nhidden","learningrate","testAccuracy","layerForm","nlayers"
"page-blocks",0.982487279176712,512,1,0.96125739812851,"cone",8
"page-blocks",0.977664977312088,1024,1,0.961257219314575,"rect",8
"page-blocks",0.976649707555771,256,1,0.947368383407593,"cone",8
"page-blocks",0.974873077869415,256,1,0.956140279769897,"rect",4
"page-blocks",0.972842615842819,1024,1,0.967105209827423,"rect",3
"page-blocks",0.971066004037857,1024,1,0.946637392044067,"cone",8
"page-blocks",0.96675124168396,1024,1,0.956140398979187,"rect",4
"page-blocks",0.964974600076675,512,0.1,0.951754331588745,"rect",32
"page-blocks",0.958883237838745,1024,1,0.948099374771118,"rect",2
"page-blocks",0.955329948663712,512,1,0.929824590682983,"rect",3
"page-blocks",0.954060924053192,512,1,0.938596487045288,"rect",8
"page-blocks",0.953807121515274,256,1,0.942251443862915,"rect",2
"page-blocks",0.95279186964035,256,1,0.943713426589966,"cone",3
"page-blocks",0.951776677370072,256,1,0.944444417953491,"rect",3
"page-blocks",0.951522868871689,512,1,0.934210538864136,"rect",4
"page-blocks",0.950507616996765,256,1,0.935672521591187,"cone",4
"page-blocks",0.949238586425781,512,1,0.938596487045288,"cone",4
"page-blocks",0.948984789848328,512,1,0.93347954750061,"rect",2
"page-blocks",0.943147206306458,512,1,0.93347954750061,"cone",3
"page-blocks",0.942893403768539,1024,0.01,0.928362488746643,"rect",2
"page-blocks",0.941370588541031,1024,1,0.924707531929016,"cone",3
"page-blocks",0.941370570659638,512,1,0.916666626930237,"cone",16
"page-blocks",0.940609133243561,1024,1,0.931286573410034,"cone",4
"page-blocks",0.939340126514435,256,0.01,0.924707531929016,"rect",2
"page-blocks",0.937817263603211,1024,0.01,0.923976540565491,"rect",3
"page-blocks",0.93730965256691,512,0.1,0.926900625228882,"rect",16
"page-blocks",0.933248740434647,512,0.01,0.919590592384338,"rect",3
"page-blocks",0.932741141319275,512,0.1,0.916666626930237,"rect",4
"page-blocks",0.931979703903198,1024,0.01,0.915935635566711,"rect",4
"page-blocks",0.931472086906433,1024,0.1,0.914473652839661,"rect",16
"page-blocks",0.931218284368515,512,0.01,0.918128609657288,"cone",2
"page-blocks",0.930964481830597,512,1,0.918128609657288,"cone",2
"page-blocks",0.930710661411285,1024,0.1,0.916666626930237,"rect",3
"page-blocks",0.930456876754761,512,0.01,0.918128609657288,"rect",4
"page-blocks",0.930456864833832,1024,0.1,0.918859601020813,"rect",4
"page-blocks",0.929949253797531,256,0.1,0.921052575111389,"rect",16
"page-blocks",0.929695445299149,512,0.01,0.919590592384338,"rect",2
"page-blocks",0.927664995193481,1024,0.1,0.913742661476135,"rect",8
"page-blocks",0.927411168813705,256,0.01,0.916666626930237,"rect",3
"page-blocks",0.927157348394394,1024,0.1,0.915935635566711,"rect",2
"page-blocks",0.926903569698334,256,0.01,0.915204644203186,"rect",4
"page-blocks",0.926142156124115,256,0.1,0.913742661476135,"rect",8
"page-blocks",0.925380706787109,256,0.01,0.910818696022034,"cone",2
"page-blocks",0.923857873678207,1024,0.01,0.921783566474915,"rect",32
"page-blocks",0.923096472024918,1024,1,0.899853825569153,"cone",2
"page-blocks",0.922842645645142,1024,0.01,0.909356713294983,"cone",2
"page-blocks",0.922588860988617,256,1,0.908625721931458,"cone",2
