"dataset","learningrate","layerForm","nlayers","testAccuracy","nhidden","valAccuracy"
"statlog-shuttle",0.1,"rect",8,0.998759150505066,1024,0.999581456184387
"statlog-shuttle",0.01,"cone",3,0.998690187931061,512,0.999534964561463
"statlog-shuttle",0.01,"cone",4,0.999035000801086,1024,0.999441981315613
"statlog-shuttle",0.1,"rect",4,0.998621225357056,1024,0.999418735504151
"statlog-shuttle",1,"cone",4,0.998759150505066,512,0.999395489692688
"statlog-shuttle",0.1,"rect",3,0.998690187931061,1024,0.999302506446838
"statlog-shuttle",0.01,"rect",2,0.998690187931061,1024,0.999302506446838
"statlog-shuttle",0.01,"cone",3,0.998552262783051,1024,0.999279260635376
"statlog-shuttle",1,"rect",2,0.998690187931061,1024,0.999279260635376
"statlog-shuttle",0.01,"rect",4,0.999035000801086,512,0.999232769012451
"statlog-shuttle",0.1,"cone",4,0.998483300209045,1024,0.999232769012451
"statlog-shuttle",0.1,"cone",4,0.998552262783051,512,0.999163031578064
"statlog-shuttle",0.1,"rect",3,0.998069524765015,256,0.999163031578064
"statlog-shuttle",0.01,"rect",3,0.998621225357056,512,0.999139785766602
"statlog-shuttle",0.01,"rect",4,0.999172925949097,1024,0.999116539955139
"statlog-shuttle",0.01,"rect",3,0.998759150505066,1024,0.999116539955139
"statlog-shuttle",0.1,"rect",2,0.998690187931061,1024,0.999046802520752
"statlog-shuttle",1,"rect",8,0.99800056219101,256,0.999000310897827
"statlog-shuttle",0.1,"cone",3,0.997655749320984,512,0.999000310897827
"statlog-shuttle",1,"cone",4,0.998621225357056,1024,0.998977065086365
"statlog-shuttle",0.1,"cone",3,0.99841433763504,1024,0.998977065086365
"statlog-shuttle",1,"rect",4,0.998552262783051,512,0.998930585384369
"statlog-shuttle",1,"cone",4,0.99841433763504,256,0.99893057346344
"statlog-shuttle",1,"rect",3,0.998621225357056,512,0.99893057346344
"statlog-shuttle",0.01,"cone",8,0.997517824172974,1024,0.998907333612442
"statlog-shuttle",0.01,"rect",4,0.998345375061035,256,0.998907327651978
"statlog-shuttle",0.01,"cone",4,0.998897075653076,512,0.998884081840515
"statlog-shuttle",0.1,"cone",4,0.997793674468994,256,0.998860836029053
"statlog-shuttle",0.1,"rect",4,0.997931599617004,256,0.99883759021759
"statlog-shuttle",0.01,"cone",2,0.99800056219101,1024,0.99883759021759
"statlog-shuttle",0.1,"rect",3,0.995448887348175,512,0.998791110515595
"statlog-shuttle",1,"cone",3,0.99841433763504,1024,0.998791098594666
"statlog-shuttle",1,"rect",3,0.99813848733902,256,0.998791098594666
"statlog-shuttle",0.1,"cone",3,0.99813848733902,256,0.998767852783203
"statlog-shuttle",0.01,"rect",2,0.99827641248703,512,0.998767852783203
"statlog-shuttle",0.1,"rect",2,0.998690187931061,512,0.998767852783203
"statlog-shuttle",1,"cone",3,0.998828113079071,512,0.998674869537354
"statlog-shuttle",0.01,"rect",8,0.997586786746979,256,0.99865163564682
"statlog-shuttle",1,"cone",3,0.998207449913025,256,0.998628377914429
"statlog-shuttle",0.1,"cone",2,0.99800056219101,1024,0.998605132102966
"statlog-shuttle",1,"rect",16,0.99827641248703,512,0.998558640480042
"statlog-shuttle",0.01,"cone",3,0.998207449913025,256,0.998558640480042
"statlog-shuttle",0.01,"cone",8,0.998552262783051,512,0.998535394668579
"statlog-shuttle",0.1,"cone",8,0.99813848733902,1024,0.998465657234192
"statlog-shuttle",0.01,"rect",3,0.997724711894989,256,0.998465657234192
"statlog-shuttle",1,"rect",8,0.998069524765015,1024,0.99844241142273
"statlog-shuttle",1,"cone",8,0.99524199962616,1024,0.998372679948807
"statlog-shuttle",0.1,"rect",32,0.996966004371643,1024,0.99834942817688
