"dataset","learningrate","nlayers","testAccuracy","nhidden","valAccuracy","layerForm"
"statlog-australian-credit",0.01,2,0.680232584476471,512,0.629032254219055,"rect"
"statlog-australian-credit",0.01,2,0.680232584476471,256,0.629032254219055,"rect"
"statlog-australian-credit",0.1,2,0.680232584476471,1024,0.629032254219055,"cone"
"statlog-australian-credit",0.1,2,0.67441862821579,1024,0.629032254219055,"rect"
"statlog-australian-credit",0.1,2,0.680232584476471,512,0.629032254219055,"cone"
"statlog-australian-credit",0.1,2,0.680232584476471,512,0.629032254219055,"rect"
"statlog-australian-credit",0.1,2,0.680232584476471,256,0.629032254219055,"cone"
"statlog-australian-credit",0.1,2,0.680232584476471,256,0.629032254219055,"rect"
"statlog-australian-credit",0.01,3,0.680232584476471,256,0.627419346570969,"cone"
"statlog-australian-credit",1,3,0.656976759433746,512,0.627419346570969,"cone"
"statlog-australian-credit",1,8,0.668604671955109,256,0.624193543195725,"rect"
"statlog-australian-credit",1,4,0.680232584476471,1024,0.622580641508102,"rect"
"statlog-australian-credit",1,4,0.680232584476471,512,0.622580629587174,"cone"
"statlog-australian-credit",1,4,0.668604671955109,256,0.617741924524307,"cone"
"statlog-australian-credit",1,2,0.680232584476471,512,0.617741924524307,"rect"
"statlog-australian-credit",1,8,0.680232584476471,256,0.614516115188599,"cone"
"statlog-australian-credit",1,2,0.587209284305573,256,0.614516115188599,"rect"
"statlog-australian-credit",0.01,2,0.686046540737152,512,0.61290317773819,"cone"
"statlog-australian-credit",1,3,0.680232584476471,256,0.606451594829559,"cone"
"statlog-australian-credit",0.1,32,0.319767445325851,256,0.603225803375244,"rect"
"statlog-australian-credit",1,32,0.680232584476471,1024,0.603225803375244,"rect"
"statlog-australian-credit",1,16,0.680232584476471,256,0.603225803375244,"rect"
"statlog-australian-credit",1,8,0.680232584476471,512,0.603225803375244,"rect"
"statlog-australian-credit",1,2,0.633720934391022,256,0.598387092351913,"cone"
"statlog-australian-credit",1,2,0.668604671955109,512,0.598387080430985,"cone"
"statlog-australian-credit",1,2,0.691860496997833,1024,0.596774178743362,"cone"
"statlog-australian-credit",1,3,0.633720934391022,1024,0.595161277055741,"cone"
"statlog-australian-credit",1,2,0.639534890651703,1024,0.593548369407654,"rect"
"statlog-australian-credit",1,8,0.610465109348297,1024,0.58870966732502,"rect"
"statlog-australian-credit",1,4,0.680232584476471,256,0.587096762657166,"rect"
"statlog-australian-credit",1,3,0.651162803173065,512,0.587096756696701,"rect"
"statlog-australian-credit",0.01,32,0.680232584476471,1024,0.577419352531433,"rect"
"statlog-australian-credit",0.1,32,0.319767445325851,1024,0.577419352531433,"rect"
"statlog-australian-credit",1,32,0.680232584476471,256,0.577419352531433,"rect"
"statlog-australian-credit",1,16,0.67441862821579,512,0.574193540215492,"rect"
"statlog-australian-credit",1,3,0.447674423456192,256,0.561290317773819,"rect"
"statlog-australian-credit",1,3,0.436046540737152,1024,0.541935470700264,"rect"
"statlog-australian-credit",1,16,0.558139562606812,1024,0.535483855009079,"rect"
"statlog-australian-credit",1,4,0.639534890651703,1024,0.524193528294563,"cone"
"statlog-australian-credit",1,16,0.319767445325851,1024,0.370967745780945,"cone"
