"dataset","learningrate","layerForm","testAccuracy","nhidden","nlayers","valAccuracy"
"titanic",1,"rect",0.321818172931671,256,16,0.408176091313362
"titanic",1,"rect",0.321818172931671,256,8,0.391823890805245
"titanic",1,"cone",0.321818172931671,256,32,0.362264144420624
"titanic",1,"rect",0.321818202733994,512,8,0.345911937952042
"titanic",0.1,"cone",0.321818172931671,512,32,0.316352191567421
"titanic",0.01,"rect",0.321818172931671,1024,32,0.270440250635147
"titanic",0.01,"rect",0.321818172931671,512,32,0.270440250635147
"titanic",1,"rect",0.321818172931671,512,32,0.270440250635147
"titanic",0.1,"rect",0.321818172931671,1024,16,0.270440250635147
"titanic",1,"cone",0.321818172931671,1024,16,0.270440250635147
"titanic",1,"cone",0.321818172931671,512,16,0.270440250635147
"titanic",1,"cone",0.321818172931671,1024,4,0.270440250635147
